competition,method,matches,clusters,mean_score_residual,ci_95_lower,ci_95_upper,reliably_negative_residual,reliably_positive_residual
UCL,tie_or_match,1384,1056,-0.007273235143030096,-0.028538575905262573,0.01446781601622439,False,False
UCL,team_season,1384,478,-0.007273235143030096,-0.021154555709627508,0.006846131792384189,False,False
UCL,calendar_month,1384,65,-0.007273235143030096,-0.02809480718715765,0.011611413314307121,False,False
UCL,conservative_envelope,1384,,-0.007273235143030096,-0.028538575905262573,0.01446781601622439,False,False
UECL,tie_or_match,2073,1291,0.005187749216798846,-0.013003493423264133,0.022938322338593987,False,False
UECL,team_season,2073,864,0.005187749216798846,-0.007366520095488229,0.017562515325188127,False,False
UECL,calendar_month,2073,48,0.005187749216798846,-0.01203296433687323,0.022157222481042807,False,False
UECL,conservative_envelope,2073,,0.005187749216798846,-0.013003493423264133,0.022938322338593987,False,False
UEL,tie_or_match,1427,1155,-0.00420736388275424,-0.0261908576484551,0.018243703950465335,False,False
UEL,team_season,1427,538,-0.00420736388275424,-0.019540890070499802,0.010976487916655002,False,False
UEL,calendar_month,1427,57,-0.00420736388275424,-0.02825391353552413,0.01978649356775563,False,False
UEL,conservative_envelope,1427,,-0.00420736388275424,-0.02825391353552413,0.01978649356775563,False,False
