competition,loss,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,brier_1x2,tie_or_match,363,279,0.015370664087429054,-0.007357156861899722,0.03917849805187832,False,False
ALL,brier_1x2,team_season,363,174,0.015370664087429054,-0.0010265897756249673,0.031659828727774855,False,False
ALL,brier_1x2,calendar_month,363,47,0.015370664087429054,-0.008857322566115523,0.040262130503545566,False,False
ALL,brier_1x2,conservative_envelope,363,,0.015370664087429054,-0.008857322566115523,0.040262130503545566,False,False
ALL,log_loss_1x2,tie_or_match,363,279,0.023711690675408167,-0.009602524862178125,0.05881029282889457,False,False
ALL,log_loss_1x2,team_season,363,174,0.023711690675408167,-0.0005278167548227808,0.04741390251706321,False,False
ALL,log_loss_1x2,calendar_month,363,47,0.023711690675408167,-0.012038012044657043,0.060423140325512284,False,False
ALL,log_loss_1x2,conservative_envelope,363,,0.023711690675408167,-0.012038012044657043,0.060423140325512284,False,False
ALL,expected_score_mse,tie_or_match,363,279,0.00736494546366966,-0.0036048644636484228,0.01828312577446656,False,False
ALL,expected_score_mse,team_season,363,174,0.00736494546366966,-0.0002994533031763402,0.014814054522811647,False,False
ALL,expected_score_mse,calendar_month,363,47,0.00736494546366966,-0.004149942227157093,0.019430952415269903,False,False
ALL,expected_score_mse,conservative_envelope,363,,0.00736494546366966,-0.004149942227157093,0.019430952415269903,False,False
UCL,brier_1x2,tie_or_match,171,139,0.02948857768318547,-0.002770804818574835,0.06098730133423032,False,False
UCL,brier_1x2,team_season,171,78,0.02948857768318547,0.010194965885737718,0.048979287626500875,False,True
UCL,brier_1x2,calendar_month,171,41,0.02948857768318547,-0.002931951797942594,0.0645680787847186,False,False
UCL,brier_1x2,conservative_envelope,171,,0.02948857768318547,-0.002931951797942594,0.0645680787847186,False,False
UCL,log_loss_1x2,tie_or_match,171,139,0.03979805575894647,-0.008139291439809867,0.08576822057640154,False,False
UCL,log_loss_1x2,team_season,171,78,0.03979805575894647,0.011777398045168875,0.06878878061805317,False,True
UCL,log_loss_1x2,calendar_month,171,41,0.03979805575894647,-0.007696041867581131,0.09077615350132598,False,False
UCL,log_loss_1x2,conservative_envelope,171,,0.03979805575894647,-0.008139291439809867,0.09077615350132598,False,False
UCL,expected_score_mse,tie_or_match,171,139,0.014725080716422572,-0.0005306418945804205,0.029462283461189342,False,False
UCL,expected_score_mse,team_season,171,78,0.014725080716422572,0.00594541869746982,0.023727021961413183,False,True
UCL,expected_score_mse,calendar_month,171,41,0.014725080716422572,-0.0007116364800031829,0.03095852628459449,False,False
UCL,expected_score_mse,conservative_envelope,171,,0.014725080716422572,-0.0007116364800031829,0.03095852628459449,False,False
UECL,brier_1x2,tie_or_match,90,62,0.003605722256149974,-0.04726287500670947,0.05327060000405579,False,False
UECL,brier_1x2,team_season,90,52,0.003605722256149974,-0.0362412596776182,0.04717732637098974,False,False
UECL,brier_1x2,calendar_month,90,32,0.003605722256149974,-0.029294079432555156,0.040574156205739786,False,False
UECL,brier_1x2,conservative_envelope,90,,0.003605722256149974,-0.04726287500670947,0.05327060000405579,False,False
UECL,log_loss_1x2,tie_or_match,90,62,0.006745265470780303,-0.06729640931682913,0.07959665480027205,False,False
UECL,log_loss_1x2,team_season,90,52,0.006745265470780303,-0.05284074654545689,0.07156607000813585,False,False
UECL,log_loss_1x2,calendar_month,90,32,0.006745265470780303,-0.04435934345783749,0.06287232007431229,False,False
UECL,log_loss_1x2,conservative_envelope,90,,0.006745265470780303,-0.06729640931682913,0.07959665480027205,False,False
UECL,expected_score_mse,tie_or_match,90,62,0.00048556122337386744,-0.02299304372500227,0.024234581856331483,False,False
UECL,expected_score_mse,team_season,90,52,0.00048556122337386744,-0.018254611224164115,0.02077972904850544,False,False
UECL,expected_score_mse,calendar_month,90,32,0.00048556122337386744,-0.01464728781793617,0.018163919466611885,False,False
UECL,expected_score_mse,conservative_envelope,90,,0.00048556122337386744,-0.02299304372500227,0.024234581856331483,False,False
UEL,brier_1x2,tie_or_match,102,78,0.002083228204495437,-0.03889763496674437,0.04436481515093604,False,False
UEL,brier_1x2,team_season,102,69,0.002083228204495437,-0.028076429103427048,0.03397533402382967,False,False
UEL,brier_1x2,calendar_month,102,33,0.002083228204495437,-0.044927901974950876,0.04582818143839012,False,False
UEL,brier_1x2,conservative_envelope,102,,0.002083228204495437,-0.044927901974950876,0.04582818143839012,False,False
UEL,log_loss_1x2,tie_or_match,102,78,0.011713747921795041,-0.049175746918003194,0.0733872162677881,False,False
UEL,log_loss_1x2,team_season,102,69,0.011713747921795041,-0.03050492706759325,0.05718517729741455,False,False
UEL,log_loss_1x2,calendar_month,102,33,0.011713747921795041,-0.057120208440839135,0.07489372780405987,False,False
UEL,log_loss_1x2,conservative_envelope,102,,0.011713747921795041,-0.057120208440839135,0.07489372780405987,False,False
UEL,expected_score_mse,tie_or_match,102,78,0.00109594010490371,-0.01687609120227064,0.019460369340019237,False,False
UEL,expected_score_mse,team_season,102,69,0.00109594010490371,-0.012298260912265489,0.015073940014673014,False,False
UEL,expected_score_mse,calendar_month,102,33,0.00109594010490371,-0.018282198644604016,0.02004015812040657,False,False
UEL,expected_score_mse,conservative_envelope,102,,0.00109594010490371,-0.018282198644604016,0.02004015812040657,False,False
