fold,test_season,competition,groups,team_weight,ranking_score,pairwise_accuracy
1,2020/21,ALL,3,319,0.2885576986625655,0.5996894274085746
1,2020/21,UCL,1,80,0.2412279423506471,0.5849476024134646
1,2020/21,UECL,1,181,0.29701006994880685,0.6020255996023363
1,2020/21,UEL,1,58,0.3274628935271134,0.6048484848484849
2,2021/22,ALL,3,312,0.26034028261679104,0.5922622978113639
2,2021/22,UCL,1,78,0.33043907745391815,0.6214405360134003
2,2021/22,UECL,1,177,0.2602363699744265,0.5899837398373984
2,2021/22,UEL,1,57,0.1647382920975387,0.5595984943538268
3,2022/23,ALL,3,311,0.35410047208145623,0.6102633662789866
3,2022/23,UCL,1,77,0.28334625973421557,0.5965753424657534
3,2022/23,UECL,1,177,0.32274565867114396,0.6044577295470791
3,2022/23,UEL,1,57,0.5470456707544876,0.6920175989943433
4,2023/24,ALL,3,317,0.32388803358667395,0.614919895223666
4,2023/24,UCL,1,80,0.35767745440483256,0.6220597584233948
4,2023/24,UECL,1,162,0.3478479612817051,0.6206574959197948
4,2023/24,UEL,1,75,0.23609254089270423,0.5798258345428157
5,2024/25,ALL,3,323,0.2524656604132031,0.5901043695935656
5,2024/25,UCL,1,82,0.17761231739893701,0.5591626213592233
5,2024/25,UECL,1,164,0.280119474895483,0.5973809704034516
5,2024/25,UEL,1,77,0.2732805766739293,0.591983556012333
