competition,loss,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,brier_1x2,tie_or_match,4884,3502,-0.00040312507656434205,-0.0009838274500711488,0.0001762038514602159,False,False
ALL,brier_1x2,team_season,4884,1413,-0.00040312507656434205,-0.0008226448313843487,1.8746783315609858e-05,False,False
ALL,brier_1x2,calendar_month,4884,65,-0.00040312507656434205,-0.0008261205225159374,-1.3749029784380344e-05,True,False
ALL,brier_1x2,conservative_envelope,4884,,-0.00040312507656434205,-0.0009838274500711488,0.0001762038514602159,False,False
ALL,log_loss_1x2,tie_or_match,4884,3502,-0.0006138053520205723,-0.0014483566889144884,0.0002282080893590348,False,False
ALL,log_loss_1x2,team_season,4884,1413,-0.0006138053520205723,-0.001209020376168201,-1.0038023428778683e-05,True,False
ALL,log_loss_1x2,calendar_month,4884,65,-0.0006138053520205723,-0.0011874796803026642,-8.351331990231273e-05,True,False
ALL,log_loss_1x2,conservative_envelope,4884,,-0.0006138053520205723,-0.0014483566889144884,0.0002282080893590348,False,False
UCL,brier_1x2,tie_or_match,1384,1056,-0.0007398226460360049,-0.0017829692316528878,0.00027131340295789375,False,False
UCL,brier_1x2,team_season,1384,478,-0.0007398226460360049,-0.0015215652161040694,-1.2837956671757225e-05,True,False
UCL,brier_1x2,calendar_month,1384,65,-0.0007398226460360049,-0.002114158900677389,0.0006491284625211038,False,False
UCL,brier_1x2,conservative_envelope,1384,,-0.0007398226460360049,-0.002114158900677389,0.0006491284625211038,False,False
UCL,log_loss_1x2,tie_or_match,1384,1056,-0.0010584355999612677,-0.002554706506926816,0.00041291482942295015,False,False
UCL,log_loss_1x2,team_season,1384,478,-0.0010584355999612677,-0.0021980999656225518,1.60445212065492e-05,False,False
UCL,log_loss_1x2,calendar_month,1384,65,-0.0010584355999612677,-0.003077867120914332,0.0010316922480849797,False,False
UCL,log_loss_1x2,conservative_envelope,1384,,-0.0010584355999612677,-0.003077867120914332,0.0010316922480849797,False,False
UECL,brier_1x2,tie_or_match,2073,1291,-0.0003655748574452809,-0.0010305381510540062,0.0003236718918325341,False,False
UECL,brier_1x2,team_season,2073,864,-0.0003655748574452809,-0.0009080324477207025,9.922434752131176e-05,False,False
UECL,brier_1x2,calendar_month,2073,48,-0.0003655748574452809,-0.0010514533918988276,0.0002642075285752736,False,False
UECL,brier_1x2,conservative_envelope,2073,,-0.0003655748574452809,-0.0010514533918988276,0.0003236718918325341,False,False
UECL,log_loss_1x2,tie_or_match,2073,1291,-0.0006200256405852494,-0.0015646724181585104,0.0003390585697575401,False,False
UECL,log_loss_1x2,team_season,2073,864,-0.0006200256405852494,-0.0014210921810470214,5.210932773890202e-05,False,False
UECL,log_loss_1x2,calendar_month,2073,48,-0.0006200256405852494,-0.0015516289752278494,0.00022979917106831935,False,False
UECL,log_loss_1x2,conservative_envelope,2073,,-0.0006200256405852494,-0.0015646724181585104,0.0003390585697575401,False,False
UEL,brier_1x2,tie_or_match,1427,1155,-0.00013112239127004112,-0.0015091569167116742,0.0013074296999743508,False,False
UEL,brier_1x2,team_season,1427,538,-0.00013112239127004112,-0.00124445954527903,0.0009091727656088429,False,False
UEL,brier_1x2,calendar_month,1427,57,-0.00013112239127004112,-0.0010714712001243102,0.0008275219891759716,False,False
UEL,brier_1x2,conservative_envelope,1427,,-0.00013112239127004112,-0.0015091569167116742,0.0013074296999743508,False,False
UEL,log_loss_1x2,tie_or_match,1427,1155,-0.00017353701190529723,-0.002166989458729258,0.0018658180647038232,False,False
UEL,log_loss_1x2,team_season,1427,538,-0.00017353701190529723,-0.0017481515310015334,0.0013301823113437566,False,False
UEL,log_loss_1x2,calendar_month,1427,57,-0.00017353701190529723,-0.0016466448918962802,0.0013426793344700504,False,False
UEL,log_loss_1x2,conservative_envelope,1427,,-0.00017353701190529723,-0.002166989458729258,0.0018658180647038232,False,False
