model,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
PRE_SPECIFIED,brier_1x2,tie_or_match,4884,1612,-0.0001737777592129799,-0.0002815329317163566,-5.0016243882375866e-05,True,False
PRE_SPECIFIED,brier_1x2,team_season,4884,1413,-0.0001737777592129799,-0.00026112477808161726,-8.725800368245787e-05,True,False
PRE_SPECIFIED,brier_1x2,calendar_month,4884,65,-0.0001737777592129799,-0.0002876501135969787,-5.1681509363184066e-05,True,False
PRE_SPECIFIED,brier_1x2,conservative_envelope,4884,,-0.0001737777592129799,-0.0002876501135969787,-5.0016243882375866e-05,True,False
PRE_SPECIFIED,log_loss_1x2,tie_or_match,4884,1612,-0.0002498498216288256,-0.000401353712915173,-7.665240405675658e-05,True,False
PRE_SPECIFIED,log_loss_1x2,team_season,4884,1413,-0.0002498498216288256,-0.0003746243133067417,-0.00012528534815870986,True,False
PRE_SPECIFIED,log_loss_1x2,calendar_month,4884,65,-0.0002498498216288256,-0.000409759562940707,-8.317508506836495e-05,True,False
PRE_SPECIFIED,log_loss_1x2,conservative_envelope,4884,,-0.0002498498216288256,-0.000409759562940707,-7.665240405675658e-05,True,False
PRIOR_GRID_BEST,brier_1x2,tie_or_match,4884,1612,-0.00036623310070694695,-0.0005995059745078313,-0.00010587300085207448,True,False
PRIOR_GRID_BEST,brier_1x2,team_season,4884,1413,-0.00036623310070694695,-0.0005580170270546038,-0.00017615199826550497,True,False
PRIOR_GRID_BEST,brier_1x2,calendar_month,4884,65,-0.00036623310070694695,-0.0006238011081112974,-9.460336374918557e-05,True,False
PRIOR_GRID_BEST,brier_1x2,conservative_envelope,4884,,-0.00036623310070694695,-0.0006238011081112974,-9.460336374918557e-05,True,False
PRIOR_GRID_BEST,log_loss_1x2,tie_or_match,4884,1612,-0.0005269112837637884,-0.0008584251779774265,-0.00016302244580360394,True,False
PRIOR_GRID_BEST,log_loss_1x2,team_season,4884,1413,-0.0005269112837637884,-0.0008012830791231545,-0.0002562068086714703,True,False
PRIOR_GRID_BEST,log_loss_1x2,calendar_month,4884,65,-0.0005269112837637884,-0.0008917403978624673,-0.00015068385977628107,True,False
PRIOR_GRID_BEST,log_loss_1x2,conservative_envelope,4884,,-0.0005269112837637884,-0.0008917403978624673,-0.00015068385977628107,True,False
EXTENDED_BEST,brier_1x2,tie_or_match,4884,1612,-0.0002958620677781454,-0.00046823257443130516,-0.00011187746072897044,True,False
EXTENDED_BEST,brier_1x2,team_season,4884,1413,-0.0002958620677781454,-0.0004378947668433076,-0.00015205152557956107,True,False
EXTENDED_BEST,brier_1x2,calendar_month,4884,65,-0.0002958620677781454,-0.0005029287165403789,-8.348781368488655e-05,True,False
EXTENDED_BEST,brier_1x2,conservative_envelope,4884,,-0.0002958620677781454,-0.0005029287165403789,-8.348781368488655e-05,True,False
EXTENDED_BEST,log_loss_1x2,tie_or_match,4884,1612,-0.00042621011604636506,-0.0006716243667350406,-0.00016278266154214264,True,False
EXTENDED_BEST,log_loss_1x2,team_season,4884,1413,-0.00042621011604636506,-0.000631181042019192,-0.00021867812873631356,True,False
EXTENDED_BEST,log_loss_1x2,calendar_month,4884,65,-0.00042621011604636506,-0.0007132997165198387,-0.00012612377877696906,True,False
EXTENDED_BEST,log_loss_1x2,conservative_envelope,4884,,-0.00042621011604636506,-0.0007132997165198387,-0.00012612377877696906,True,False
