season,model_version,team_id,team_name,country,country_code,domestic_league,competition,entry_round,domestic_position,league_team_count,weighted_country_score,country_strength_uncapped_norm,league_strength_norm,league_strength,country_strength_saturated,country_tail_excess,country_tail_active,domestic_position_percentile,league_finish_score,cup_base_score,cup_double_bonus,domestic_achievement_uncapped_score,domestic_achievement_score,achievement_saturated,achievement_cap_active,domestic_prior,weighted_european_history,european_history_uncapped_norm,european_history_norm,european_prior,european_history_saturated,european_tail_excess,european_tail_active,weighted_season_exposure,weighted_match_exposure,european_exposure,effective_european_exposure,exposure_saturated,exposure_tail_excess,exposure_tail_active,saturation_count,ao_first_elo,ao_first_elo_rank,rating_source_type,validation_warnings
2025/26,v1.1,6,Continental Giants,Empireland,EXA,Empire Premier,UCL,League Phase,2.0,20.0,23.32,0.979498004388759,0.979498004388759,0.9835644980496214,False,0.0,False,0.9473684210526315,0.8131578947368421,0.0,0.0,0.8131578947368421,0.8131578947368421,False,False,766.52128570101,17.32,0.9551558310801842,0.9551558310801842,901.1654490536773,False,0.0,False,1.0,1.0,1.0,0.85,True,0.15000000000000002,False,1,880.9688245507772,1,European Evidence-Based Rating,
2025/26,v1.1,10,Double Crown Athletic,Midoria,EXB,Midoria Super League,UCL,Playoff Round,1.0,16.0,10.66,0.7538647649814211,0.7538647649814211,0.7976911176486042,False,0.0,False,1.0,1.0,0.62,0.08,1.08,1.08,False,False,763.5013715486118,7.32,0.695893132066181,0.695893132066181,792.275115467796,False,0.0,False,1.0,0.9212500000000001,0.9685,0.85,True,0.11850000000000005,False,1,787.9590538799184,2,European Evidence-Based Rating,
2025/26,v1.1,5,Few Match Wanderers,Empireland,EXA,Empire Premier,UECL,League Phase,6.0,20.0,23.32,0.979498004388759,0.979498004388759,0.9835644980496214,False,0.0,False,0.7368421052631579,0.6657894736842105,0.0,0.0,0.6657894736842105,0.6657894736842105,False,False,743.1748574338659,6.130000000000001,0.64519519057808,0.64519519057808,770.9819800427936,False,0.0,False,1.0,0.2833333333333333,0.7133333333333334,0.7133333333333334,False,0.0,False,0,763.010604894901,3,Mixed Domestic-European Estimate,
2025/26,v1.1,2,Midoria Champions,Midoria,EXB,Midoria Super League,UCL,Second Qualifying Round,1.0,16.0,10.66,0.7538647649814211,0.7538647649814211,0.7976911176486042,False,0.0,False,1.0,1.0,0.0,0.0,1.0,1.0,False,False,752.2551037650705,0.0,0.0,0.0,500.0,False,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,0,752.2551037650705,4,Pure Domestic Projection,
2025/26,v1.1,1,Metro Albion,Empireland,EXA,Empire Premier,UEL,League Phase,5.0,20.0,23.32,0.979498004388759,0.979498004388759,0.9835644980496214,False,0.0,False,0.7894736842105263,0.7026315789473684,0.0,0.0,0.7026315789473684,0.7026315789473684,False,False,749.011464500652,0.0,0.0,0.0,500.0,False,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,0,749.011464500652,5,Pure Domestic Projection,
2025/26,v1.1,8,Last Season Sparks,Midoria,EXB,Midoria Super League,UECL,Third Qualifying Round,3.0,16.0,10.66,0.7538647649814211,0.7538647649814211,0.7976911176486042,False,0.0,False,0.8666666666666667,0.7566666666666667,0.0,0.0,0.7566666666666667,0.7566666666666667,False,False,718.0477059234659,3.3000000000000003,0.4790948506821363,0.4790948506821363,701.2198372864973,False,0.0,False,0.33,0.33,0.33,0.33,False,0.0,False,0,712.4945092732662,6,Mixed Domestic-European Estimate,
2025/26,v1.1,3,Smallia Kings,Smallia,EXC,Smallia First League,UCL,First Qualifying Round,1.0,10.0,4.66,0.5320357675060585,0.5320357675060585,0.603604771049182,False,0.0,False,1.0,1.0,0.0,0.0,1.0,1.0,False,False,706.4507259676069,0.0,0.0,0.0,500.0,False,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,0,706.4507259676069,7,Pure Domestic Projection,
2025/26,v1.1,9,Distant History FC,Cupmark,EXD,Cupmark League,UECL,Second Qualifying Round,4.0,14.0,7.130000000000001,0.6431856450859721,0.6431856450859721,0.7025367939165832,False,0.0,False,0.7692307692307693,0.6884615384615385,0.0,0.0,0.6884615384615385,0.6884615384615385,False,False,688.8489675585623,2.6700000000000004,0.4270593134595889,0.4270593134595889,679.3649116530273,False,0.0,False,0.4,0.4,0.4,0.4,False,0.0,False,0,685.0553451963483,8,Mixed Domestic-European Estimate,
2025/26,v1.1,4,Cupmark Rangers,Cupmark,EXD,Cupmark League,UEL,Playoff Round,,,7.130000000000001,0.6431856450859721,0.6431856450859721,0.7025367939165832,False,0.0,False,,0.1,0.62,0.0,0.62,0.62,False,False,679.8501411222367,0.0,0.0,0.0,500.0,False,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,0,679.8501411222367,9,Pure Domestic Projection,
2025/26,v1.1,7,Low Score Veterans,Empireland,EXA,Empire Premier,UCL,League Phase,1.0,20.0,23.32,0.979498004388759,0.979498004388759,0.9835644980496214,False,0.0,False,1.0,1.0,0.0,0.0,1.0,1.0,False,False,796.1212215397106,0.5,0.13317855801757716,0.13317855801757716,555.9349943673824,False,0.0,False,1.0,1.0,1.0,0.85,True,0.15000000000000002,False,1,591.9629284432316,10,European Evidence-Based Rating,
