match_id,season,kickoff_utc,competition,round,home_team_id,away_team_id,tie_id,stage,is_knockout,is_tie_decider,advanced_team_id,home_goals,away_goals,is_neutral,decided_on_penalties,home_power_pre,away_power_pre,home_reserve_pre,away_reserve_pre,home_live_pre,away_live_pre,effective_rating_difference,expected_home_score,expected_score_semantics,home_win_probability,draw_probability,away_win_probability,probability_semantics,actual_home_score,goal_difference_enabled,goal_alpha,goal_tau,goal_difference_cap,goal_difference,goal_multiplier,power_delta,home_reserve_delta,away_reserve_delta,home_power_post,away_power_post,home_reserve_post,away_reserve_post,home_live_post,away_live_post,winner_probability,progression_reserve_added,trophy_reserve_added,model_version,config_id
pilot20-001,2026/27,2026-09-10T17:00:00Z,UCL,League Stage,T01,T08,,LEAGUE,False,False,,4,0,False,False,1940.0,1240.0,0.0,0.0,1940.0,1240.0,848.544266191325,0.9120047328130483,"normalized match points: win=1, draw=0.5, loss=0",0.8734837247460169,0.07704201613406275,0.049474259119920344,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,False,0.0,300.0,4,4,1.0,9.149834674816727,0.0,0.0,1949.1498346748167,1230.8501653251833,0.0,0.0,1949.1498346748167,1230.8501653251833,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-002,2026/27,2026-09-10T17:05:00Z,UCL,League Stage,T02,T07,,LEAGUE,False,False,,2,0,False,False,1840.0,1340.0,0.0,0.0,1840.0,1340.0,648.544266191325,0.8565855346166812,"normalized match points: win=1, draw=0.5, loss=0",0.797619091495656,0.11793288624205024,0.0844480222622937,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,False,0.0,300.0,4,2,1.0,14.912377565110395,0.0,0.0,1854.9123775651103,1325.0876224348897,0.0,0.0,1854.9123775651103,1325.0876224348897,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-003,2026/27,2026-09-10T17:10:00Z,UCL,League Stage,T03,T06,,LEAGUE,False,False,,1,0,False,False,1740.0,1440.0,0.0,0.0,1740.0,1440.0,448.54426619132505,0.774878958145397,"normalized match points: win=1, draw=0.5, loss=0",0.6911470101283245,0.16746389603414505,0.1413890938375305,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,False,0.0,300.0,4,1,1.0,23.408307976563,0.0,0.0,1763.408307976563,1416.591692023437,0.0,0.0,1763.408307976563,1416.591692023437,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-004,2026/27,2026-09-10T17:15:00Z,UCL,League Stage,T04,T05,,LEAGUE,False,False,,3,0,False,False,1640.0,1540.0,0.0,0.0,1640.0,1540.0,248.54426619132505,0.6648363154098005,"normalized match points: win=1, draw=0.5, loss=0",0.5578784006311825,0.21391582955723593,0.22820576981158155,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,False,0.0,300.0,4,3,1.0,34.85065050700233,0.0,0.0,1674.8506505070022,1505.1493494929978,0.0,0.0,1674.8506505070022,1505.1493494929978,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-005,2026/27,2026-09-10T17:20:00Z,UEL,League Stage,T09,T14,,LEAGUE,False,False,,5,0,False,False,1760.0,1160.0,0.0,0.0,1760.0,1160.0,748.544266191325,0.8872334879066659,"normalized match points: win=1, draw=0.5, loss=0",0.8392093795017196,0.09604821680989252,0.06474240368838785,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,False,0.0,300.0,4,5,1.0,11.725573152901646,0.0,0.0,1771.7255731529017,1148.2744268470983,0.0,0.0,1771.7255731529017,1148.2744268470983,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-006,2026/27,2026-09-10T17:25:00Z,UEL,League Stage,T10,T13,,LEAGUE,False,False,,0,1,False,False,1640.0,1280.0,0.0,0.0,1640.0,1280.0,508.54426619132505,0.8024079580001804,"normalized match points: win=1, draw=0.5, loss=0",0.726304233069863,0.15220744986063467,0.12148831706950228,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,False,0.0,300.0,4,1,1.0,-83.43517091505144,0.0,0.0,1556.5648290849485,1363.4351709150515,0.0,0.0,1556.5648290849485,1363.4351709150515,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-007,2026/27,2026-09-10T17:30:00Z,UEL,League Stage,T11,T12,,LEAGUE,False,False,,2,0,False,False,1520.0,1400.0,0.0,0.0,1520.0,1400.0,268.54426619132505,0.6770038424754149,"normalized match points: win=1, draw=0.5, loss=0",0.5720424153959244,0.20992285415898096,0.21803473044509464,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,False,0.0,300.0,4,2,1.0,33.585459041474984,0.0,0.0,1553.585459041475,1366.414540958525,0.0,0.0,1553.585459041475,1366.414540958525,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-008,2026/27,2026-09-10T17:35:00Z,UECL,League Stage,T15,T20,,LEAGUE,False,False,,4,0,False,False,1540.0,940.0,0.0,0.0,1540.0,940.0,748.544266191325,0.8872334879066659,"normalized match points: win=1, draw=0.5, loss=0",0.8392093795017196,0.09604821680989252,0.06474240368838785,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,False,0.0,300.0,4,4,1.0,11.725573152901646,0.0,0.0,1551.7255731529017,928.2744268470983,0.0,0.0,1551.7255731529017,928.2744268470983,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-009,2026/27,2026-09-10T17:40:00Z,UECL,League Stage,T16,T19,,LEAGUE,False,False,,1,1,False,False,1420.0,1060.0,0.0,0.0,1420.0,1060.0,508.54426619132505,0.8024079580001804,"normalized match points: win=1, draw=0.5, loss=0",0.726304233069863,0.15220744986063467,0.12148831706950228,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.5,False,0.0,300.0,4,0,1.0,-31.444677748087685,0.0,0.0,1388.5553222519122,1091.4446777480878,0.0,0.0,1388.5553222519122,1091.4446777480878,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
pilot20-010,2026/27,2026-09-10T17:45:00Z,UECL,League Stage,T17,T18,,LEAGUE,False,False,,0,3,False,False,1300.0,1180.0,0.0,0.0,1300.0,1180.0,268.54426619132505,0.6770038424754149,"normalized match points: win=1, draw=0.5, loss=0",0.5720424153959244,0.20992285415898096,0.21803473044509464,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,False,0.0,300.0,4,3,1.0,-70.39552729245254,0.0,0.0,1229.6044727075475,1250.3955272924525,0.0,0.0,1229.6044727075475,1250.3955272924525,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
