season,team_id,team_name,ao_first_elo,power_elo,achievement_reserve,ao_live_elo,last_event_utc,last_match_id,model_version,config_id
2026/27,T01,Apex City,1940.0,1903.9627798873187,0.0,1903.9627798873187,2026-10-01T19:00:00Z,pilot20-031,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T02,Royal Union,1840.0,1871.0039923493923,0.0,1871.0039923493923,2026-10-01T19:00:00Z,pilot20-031,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T03,Northbridge FC,1740.0,1870.0333886200347,0.0,1870.0333886200347,2026-09-24T17:00:00Z,pilot20-021,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T04,Capital Athletic,1640.0,1673.7123017144017,0.0,1673.7123017144017,2026-09-24T17:05:00Z,pilot20-022,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T05,Danube 04,1540.0,1503.1444400222422,0.0,1503.1444400222422,2026-09-24T17:10:00Z,pilot20-023,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T06,Alpine Rovers,1440.0,1462.998544676379,0.0,1462.998544676379,2026-09-24T17:15:00Z,pilot20-024,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T07,Baltic Crown,1340.0,1262.9016393983359,0.0,1262.9016393983359,2026-09-24T17:10:00Z,pilot20-023,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T08,Horizon Club,1240.0,1172.2429133318956,0.0,1172.2429133318956,2026-09-24T17:15:00Z,pilot20-024,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T09,Meridian SK,1760.0,1773.987953456109,0.0,1773.987953456109,2026-10-01T19:05:00Z,pilot20-032,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T10,Forge United,1640.0,1499.5822610790005,0.0,1499.5822610790005,2026-10-01T19:05:00Z,pilot20-032,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T11,Riverside 21,1520.0,1553.9487186046676,0.0,1553.9487186046676,2026-09-24T17:20:00Z,pilot20-025,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T12,Amber City,1400.0,1385.2571852424442,0.0,1385.2571852424442,2026-09-24T17:25:00Z,pilot20-026,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T13,Portside FC,1280.0,1403.7428262617505,0.0,1403.7428262617505,2026-09-24T17:30:00Z,pilot20-027,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T14,Meadow Athletic,1160.0,1143.4810553560283,0.0,1143.4810553560283,2026-09-24T17:30:00Z,pilot20-027,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T15,Aurora SC,1540.0,1635.1594166268862,0.0,1635.1594166268862,2026-10-01T19:10:00Z,pilot20-033,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T16,Granite Town,1420.0,1242.72355628017,0.0,1242.72355628017,2026-10-01T19:10:00Z,pilot20-033,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T17,Cedar United,1300.0,1247.9878025292908,0.0,1247.9878025292908,2026-09-24T17:35:00Z,pilot20-028,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T18,Island Rovers,1180.0,1366.5525189579628,0.0,1366.5525189579628,2026-09-24T17:40:00Z,pilot20-029,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T19,Valley 1908,1060.0,1090.8346742186807,0.0,1090.8346742186807,2026-09-24T17:45:00Z,pilot20-030,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
2026/27,T20,Frontier FC,940.0,856.7420313870095,0.0,856.7420313870095,2026-09-24T17:45:00Z,pilot20-030,ao-european-elo-v2.0-dev-freeze,25b5d1f4ef92f5a3
