match_id,kickoff_utc,competition,round,scenario_group,scenario_note,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,result,is_neutral,decided_on_penalties,effective_rating_difference,expected_home_score,home_win_probability,draw_probability,away_win_probability,actual_home_score,goal_difference,goal_multiplier,classic_delta_same_state,gd_extra_delta_same_state,absolute_gd_extra_same_state,power_delta,home_power_pre,away_power_pre,home_power_post,away_power_post,classic_replay_power_delta,production_vs_classic_delta,winner_team_id,winner_team_name,winner_rating_gain,progression_reserve_added,trophy_reserve_added,total_power_zero_sum_error,config_id
pilot20-001,2026-09-10T17:00:00Z,UCL,League Stage,favorite_large_win,Elite favorite wins by four,T01,Apex City,T08,Horizon Club,4,0,HOME_WIN,False,False,848.544266191325,0.9120047328130484,0.8734837247460169,0.0770420161340627,0.0494742591199203,1.0,4,1.008193355809252,9.149834674816717,0.07496785108661541,0.07496785108661541,9.224802525903332,1940.0,1240.0,1949.2248025259032,1230.7751974740966,9.149834674816727,0.07496785108660475,T01,Apex City,9.224802525903332,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-002,2026-09-10T17:05:00Z,UCL,League Stage,favorite_two_goal,Strong favorite wins by two,T02,Royal Union,T07,Baltic Crown,2,0,HOME_WIN,False,False,648.544266191325,0.8565855346166812,0.797619091495656,0.1179328862420502,0.0844480222622937,1.0,2,1.0079792390100766,14.912377565110395,0.11898942480051922,0.11898942480051922,15.031366989910914,1840.0,1340.0,1855.031366989911,1324.968633010089,14.912377565110395,0.11898942480051922,T02,Royal Union,15.031366989910914,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-003,2026-09-10T17:10:00Z,UCL,League Stage,one_goal_control,One-goal result keeps multiplier at one,T03,Northbridge FC,T06,Alpine Rovers,1,0,HOME_WIN,False,False,448.54426619132505,0.774878958145397,0.6911470101283245,0.167463896034145,0.1413890938375305,1.0,1,1.0,23.408307976563,0.0,0.0,23.408307976563,1740.0,1440.0,1763.408307976563,1416.591692023437,23.408307976563,0.0,T03,Northbridge FC,23.408307976563,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-004,2026-09-10T17:15:00Z,UCL,League Stage,balanced_large_win,Near-strength match ends by three,T04,Capital Athletic,T05,Danube 04,3,0,HOME_WIN,False,False,248.54426619132505,0.6648363154098005,0.5578784006311825,0.2139158295572359,0.2282057698115815,1.0,3,1.047977738702575,34.85065050700233,1.6720554036397246,1.6720554036397246,36.52270591064205,1640.0,1540.0,1676.522705910642,1503.477294089358,34.85065050700233,1.6720554036397246,T04,Capital Athletic,36.52270591064205,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-005,2026-09-10T17:20:00Z,UEL,League Stage,goal_cap_test,Five-goal result is capped at GD four,T09,Meridian SK,T14,Meadow Athletic,5,0,HOME_WIN,False,False,748.544266191325,0.8872334879066659,0.8392093795017196,0.0960482168098925,0.0647424036883878,1.0,5,1.0114347491705435,11.725573152901646,0.1340789878842905,0.1340789878842905,11.859652140785936,1760.0,1160.0,1771.859652140786,1148.140347859214,11.725573152901646,0.1340789878842905,T09,Meridian SK,11.859652140785936,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-006,2026-09-10T17:25:00Z,UEL,League Stage,one_goal_upset,Underdog wins by one with no GD bonus,T10,Forge United,T13,Portside FC,0,1,AWAY_WIN,False,False,508.54426619132505,0.8024079580001804,0.726304233069863,0.1522074498606346,0.1214883170695022,0.0,1,1.0,-83.43517091505144,0.0,0.0,-83.43517091505144,1640.0,1280.0,1556.5648290849483,1363.4351709150517,-83.43517091505144,0.0,T13,Portside FC,83.43517091505144,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-007,2026-09-10T17:30:00Z,UEL,League Stage,balanced_two_goal,Near-strength match ends by two,T11,Riverside 21,T12,Amber City,2,0,HOME_WIN,False,False,268.54426619132505,0.6770038424754149,0.5720424153959244,0.2099228541589809,0.2180347304450946,1.0,2,1.0283183417032635,33.585459041474984,0.9510845053974535,0.9510845053974535,34.53654354687244,1520.0,1400.0,1554.5365435468725,1365.4634564531275,33.585459041474984,0.9510845053974535,T11,Riverside 21,34.53654354687244,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-008,2026-09-10T17:35:00Z,UECL,League Stage,favorite_large_win,UECL favorite wins by four,T15,Aurora SC,T20,Frontier FC,4,0,HOME_WIN,False,False,748.544266191325,0.8872334879066659,0.8392093795017196,0.0960482168098925,0.0647424036883878,1.0,4,1.0114347491705435,11.725573152901646,0.1340789878842905,0.1340789878842905,11.859652140785936,1540.0,940.0,1551.859652140786,928.140347859214,11.725573152901646,0.1340789878842905,T15,Aurora SC,11.859652140785936,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-009,2026-09-10T17:40:00Z,UECL,League Stage,draw_control,Draw keeps multiplier at one,T16,Granite Town,T19,Valley 1908,1,1,DRAW,False,False,508.54426619132505,0.8024079580001804,0.726304233069863,0.1522074498606346,0.1214883170695022,0.5,0,1.0,-31.444677748087685,0.0,0.0,-31.444677748087685,1420.0,1060.0,1388.5553222519122,1091.4446777480878,-31.444677748087685,0.0,,Draw,0.0,0.0,0.0,0.0,bff511c9a9be10cb
pilot20-010,2026-09-10T17:45:00Z,UECL,League Stage,underdog_large_win,Away underdog wins by three,T17,Cedar United,T18,Island Rovers,0,3,AWAY_WIN,False,False,268.54426619132505,0.6770038424754149,0.5720424153959244,0.2099228541589809,0.2180347304450946,0.0,3,1.0448835096822806,-70.39552729245254,-3.1595983308200317,3.1595983308200317,-73.55512562327257,1300.0,1180.0,1226.4448743767275,1253.5551256232725,-70.39552729245254,-3.1595983308200317,T18,Island Rovers,73.55512562327257,0.0,0.0,0.0,bff511c9a9be10cb
