match_id,season,kickoff_utc,competition,round,home_team_id,away_team_id,tie_id,stage,is_knockout,is_tie_decider,advanced_team_id,home_goals,away_goals,is_neutral,decided_on_penalties,home_power_pre,away_power_pre,home_reserve_pre,away_reserve_pre,home_live_pre,away_live_pre,effective_rating_difference,expected_home_score,expected_score_semantics,home_win_probability,draw_probability,away_win_probability,probability_semantics,actual_home_score,goal_difference_enabled,goal_alpha,goal_tau,goal_difference_cap,goal_difference,goal_multiplier,power_delta,home_reserve_delta,away_reserve_delta,home_power_post,away_power_post,home_reserve_post,away_reserve_post,home_live_post,away_live_post,winner_probability,progression_reserve_added,trophy_reserve_added,model_version,config_id
pilot20-001,2026/27,2026-09-10T17:00:00Z,UCL,League Stage,T01,T08,,LEAGUE,False,False,,4,0,False,False,1940.0,1240.0,0.0,0.0,1940.0,1240.0,848.544266191325,0.9120047328130483,"normalized match points: win=1, draw=0.5, loss=0",0.8734837247460169,0.07704201613406275,0.049474259119920344,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,4,1.008193355809252,9.224802525903332,0.0,0.0,1949.2248025259034,1230.7751974740966,0.0,0.0,1949.2248025259034,1230.7751974740966,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-002,2026/27,2026-09-10T17:05:00Z,UCL,League Stage,T02,T07,,LEAGUE,False,False,,2,0,False,False,1840.0,1340.0,0.0,0.0,1840.0,1340.0,648.544266191325,0.8565855346166812,"normalized match points: win=1, draw=0.5, loss=0",0.797619091495656,0.11793288624205024,0.0844480222622937,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,2,1.0079792390100766,15.031366989910914,0.0,0.0,1855.031366989911,1324.968633010089,0.0,0.0,1855.031366989911,1324.968633010089,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-003,2026/27,2026-09-10T17:10:00Z,UCL,League Stage,T03,T06,,LEAGUE,False,False,,1,0,False,False,1740.0,1440.0,0.0,0.0,1740.0,1440.0,448.54426619132505,0.774878958145397,"normalized match points: win=1, draw=0.5, loss=0",0.6911470101283245,0.16746389603414505,0.1413890938375305,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,1,1.0,23.408307976563,0.0,0.0,1763.408307976563,1416.591692023437,0.0,0.0,1763.408307976563,1416.591692023437,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-004,2026/27,2026-09-10T17:15:00Z,UCL,League Stage,T04,T05,,LEAGUE,False,False,,3,0,False,False,1640.0,1540.0,0.0,0.0,1640.0,1540.0,248.54426619132505,0.6648363154098005,"normalized match points: win=1, draw=0.5, loss=0",0.5578784006311825,0.21391582955723593,0.22820576981158155,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,3,1.047977738702575,36.52270591064205,0.0,0.0,1676.5227059106421,1503.4772940893579,0.0,0.0,1676.5227059106421,1503.4772940893579,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-005,2026/27,2026-09-10T17:20:00Z,UEL,League Stage,T09,T14,,LEAGUE,False,False,,5,0,False,False,1760.0,1160.0,0.0,0.0,1760.0,1160.0,748.544266191325,0.8872334879066659,"normalized match points: win=1, draw=0.5, loss=0",0.8392093795017196,0.09604821680989252,0.06474240368838785,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,5,1.0114347491705435,11.859652140785935,0.0,0.0,1771.859652140786,1148.140347859214,0.0,0.0,1771.859652140786,1148.140347859214,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-006,2026/27,2026-09-10T17:25:00Z,UEL,League Stage,T10,T13,,LEAGUE,False,False,,0,1,False,False,1640.0,1280.0,0.0,0.0,1640.0,1280.0,508.54426619132505,0.8024079580001804,"normalized match points: win=1, draw=0.5, loss=0",0.726304233069863,0.15220744986063467,0.12148831706950228,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,True,0.1,300.0,4,1,1.0,-83.43517091505144,0.0,0.0,1556.5648290849485,1363.4351709150515,0.0,0.0,1556.5648290849485,1363.4351709150515,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-007,2026/27,2026-09-10T17:30:00Z,UEL,League Stage,T11,T12,,LEAGUE,False,False,,2,0,False,False,1520.0,1400.0,0.0,0.0,1520.0,1400.0,268.54426619132505,0.6770038424754149,"normalized match points: win=1, draw=0.5, loss=0",0.5720424153959244,0.20992285415898096,0.21803473044509464,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,2,1.0283183417032635,34.53654354687244,0.0,0.0,1554.5365435468725,1365.4634564531275,0.0,0.0,1554.5365435468725,1365.4634564531275,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-008,2026/27,2026-09-10T17:35:00Z,UECL,League Stage,T15,T20,,LEAGUE,False,False,,4,0,False,False,1540.0,940.0,0.0,0.0,1540.0,940.0,748.544266191325,0.8872334879066659,"normalized match points: win=1, draw=0.5, loss=0",0.8392093795017196,0.09604821680989252,0.06474240368838785,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,4,1.0114347491705435,11.859652140785935,0.0,0.0,1551.859652140786,928.1403478592141,0.0,0.0,1551.859652140786,928.1403478592141,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-009,2026/27,2026-09-10T17:40:00Z,UECL,League Stage,T16,T19,,LEAGUE,False,False,,1,1,False,False,1420.0,1060.0,0.0,0.0,1420.0,1060.0,508.54426619132505,0.8024079580001804,"normalized match points: win=1, draw=0.5, loss=0",0.726304233069863,0.15220744986063467,0.12148831706950228,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.5,True,0.1,300.0,4,0,1.0,-31.444677748087685,0.0,0.0,1388.5553222519122,1091.4446777480878,0.0,0.0,1388.5553222519122,1091.4446777480878,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-010,2026/27,2026-09-10T17:45:00Z,UECL,League Stage,T17,T18,,LEAGUE,False,False,,0,3,False,False,1300.0,1180.0,0.0,0.0,1300.0,1180.0,268.54426619132505,0.6770038424754149,"normalized match points: win=1, draw=0.5, loss=0",0.5720424153959244,0.20992285415898096,0.21803473044509464,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,True,0.1,300.0,4,3,1.0448835096822806,-73.55512562327257,0.0,0.0,1226.4448743767275,1253.5551256232725,0.0,0.0,1226.4448743767275,1253.5551256232725,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-011,2026/27,2026-09-17T17:00:00Z,UCL,League Stage,T08,T04,,LEAGUE,False,False,,0,2,False,False,1230.7751974740966,1676.5227059106421,0.0,0.0,1230.7751974740966,1676.5227059106421,-297.2032422452205,0.3059732060000378,"normalized match points: win=1, draw=0.5, loss=0",0.2040434764591916,0.2038594590816924,0.592097064459116,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,True,0.1,300.0,4,2,1.0257382906398784,-32.63426965431633,0.0,0.0,1198.1409278197802,1709.1569755649584,0.0,0.0,1198.1409278197802,1709.1569755649584,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-012,2026/27,2026-09-17T17:05:00Z,UCL,League Stage,T07,T03,,LEAGUE,False,False,,0,4,False,False,1324.968633010089,1763.408307976563,0.0,0.0,1324.968633010089,1763.408307976563,-289.895408775149,0.31026630690566626,"normalized match points: win=1, draw=0.5, loss=0",0.2075457665673694,0.20544108067659375,0.5870131527560368,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,True,0.1,300.0,4,4,1.0527459196477953,-33.963474750355246,0.0,0.0,1291.0051582597337,1797.3717827269184,0.0,0.0,1291.0051582597337,1797.3717827269184,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-013,2026/27,2026-09-17T17:10:00Z,UCL,League Stage,T06,T02,,LEAGUE,False,False,,2,2,False,False,1416.591692023437,1855.031366989911,0.0,0.0,1416.591692023437,1855.031366989911,-289.895408775149,0.31026630690566626,"normalized match points: win=1, draw=0.5, loss=0",0.2075457665673694,0.20544108067659375,0.5870131527560368,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.5,True,0.1,300.0,4,0,1.0,19.728696548727516,0.0,0.0,1436.3203885721646,1835.3026704411834,0.0,0.0,1436.3203885721646,1835.3026704411834,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-014,2026/27,2026-09-17T17:15:00Z,UCL,League Stage,T05,T01,,LEAGUE,False,False,,1,2,False,False,1503.4772940893579,1949.2248025259034,0.0,0.0,1503.4772940893579,1949.2248025259034,-297.2032422452205,0.3059732060000378,"normalized match points: win=1, draw=0.5, loss=0",0.2040434764591916,0.2038594590816924,0.592097064459116,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,True,0.1,300.0,4,1,1.0,-31.81539575163792,0.0,0.0,1471.66189833772,1981.0401982775413,0.0,0.0,1471.66189833772,1981.0401982775413,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-015,2026/27,2026-09-17T17:20:00Z,UEL,League Stage,T14,T11,,LEAGUE,False,False,,0,4,False,False,1148.140347859214,1554.5365435468725,0.0,0.0,1148.140347859214,1554.5365435468725,-257.85192949633347,0.32947261879696677,"normalized match points: win=1, draw=0.5, loss=0",0.22343082091214977,0.21208359576963398,0.5644855833182163,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,True,0.1,300.0,4,4,1.058691682064343,-36.26959962742326,0.0,0.0,1111.8707482317907,1590.8061431742958,0.0,0.0,1111.8707482317907,1590.8061431742958,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-016,2026/27,2026-09-17T17:25:00Z,UEL,League Stage,T13,T09,,LEAGUE,False,False,,2,0,False,False,1363.4351709150515,1771.859652140786,0.0,0.0,1363.4351709150515,1771.859652140786,-259.8802150344095,0.32823898196092455,"normalized match points: win=1, draw=0.5, loss=0",0.22239986867347797,0.21167822657489316,0.5659219047516288,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,2,1.0291481044127058,71.88637920874699,0.0,0.0,1435.3215501237985,1699.973272932039,0.0,0.0,1435.3215501237985,1699.973272932039,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-017,2026/27,2026-09-17T17:30:00Z,UEL,League Stage,T12,T10,,LEAGUE,False,False,,3,1,False,False,1365.4634564531275,1556.5648290849485,0.0,0.0,1365.4634564531275,1556.5648290849485,-42.557106440496,0.47071454294704335,"normalized match points: win=1, draw=0.5, loss=0",0.3511262091845476,0.23917666752499142,0.4096971232904609,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,1.0,True,0.1,300.0,4,2,1.0601475219623189,58.34588027239598,0.0,0.0,1423.8093367255235,1498.2189488125525,0.0,0.0,1423.8093367255235,1498.2189488125525,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
pilot20-018,2026/27,2026-09-17T17:35:00Z,UECL,League Stage,T20,T17,,LEAGUE,False,False,,0,1,False,False,928.1403478592141,1226.4448743767275,0.0,0.0,928.1403478592141,1226.4448743767275,-149.76026032618836,0.3982650285256035,"normalized match points: win=1, draw=0.5, loss=0",0.2832330306476337,0.23006399575593958,0.48670297359642667,score-preserving H/D/A probabilities: P(H)+0.5*P(D)=expected_home_score,0.0,True,0.1,300.0,4,1,1.0,-41.41199048840203,0.0,0.0,886.7283573708121,1267.8568648651296,0.0,0.0,886.7283573708121,1267.8568648651296,,0.0,0.0,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
