scenario_group,matches,average_abs_D,average_goal_difference,average_multiplier,maximum_multiplier,average_abs_power_delta,average_abs_gd_extra
underdog_large_win,2,141.04416787700518,3.5,1.0886967172843414,1.1325099248864023,65.66809659164093,4.9601514051490945
underdog_two_goal,4,200.65808272919998,2.0,1.0379486172477774,1.0601475219623189,68.13212670496685,2.39342194058872
away_favorite_large_win,2,273.87366913574124,4.0,1.0557188008560692,1.058691682064343,35.116537188889254,1.8561949435057805
balanced_large_win,2,284.83666480883426,3.5,1.0477541817185827,1.047977738702575,34.17252887468215,1.55798094485829
favorite_three_goal,2,266.2006785083091,3.0,1.045253623418127,1.046533851040381,35.26196023939558,1.5272982099998025
away_favorite_three_goal,1,311.8707082013732,3.0,1.0388477044000826,1.0388477044000826,32.13152314225725,1.2015581376056126
goal_cap_test,2,567.6339965675172,4.5,1.0248152706555,1.0381957921404563,19.759648683308527,0.5758462468314338
neutral_two_goal_final,1,201.11359242080695,2.0,1.035455508330764,1.035455508330764,39.28653078990956,1.345228171081878
balanced_two_goal,1,268.54426619132505,2.0,1.0283183417032635,1.0283183417032635,34.53654354687244,0.9510845053974535
away_favorite_two_goal,1,297.2032422452205,2.0,1.0257382906398784,1.0257382906398784,32.63426965431633,0.8188739026784084
favorite_large_win,2,798.544266191325,4.0,1.0098140524898978,1.0114347491705435,10.542227333344634,0.10452341948545296
favorite_two_goal,1,648.544266191325,2.0,1.0079792390100766,1.0079792390100766,15.031366989910914,0.11898942480051922
draw_control,3,423.478247683269,0.0,1.0,1.0,26.968966304280872,2.3684757858670005e-15
neutral_one_goal_final,1,342.16904567851975,1.0,1.0,1.0,29.14686019118721,0.0
one_goal_control,6,318.7235383199397,1.0,1.0,1.0,30.942144379151248,5.921189464667501e-16
one_goal_upset,1,508.54426619132505,1.0,1.0,1.0,83.43517091505144,0.0
penalty_draw,1,35.120182963351226,0.0,1.0,1.0,2.5139067966573263,0.0
