fold,test_season,model,core_scale,core_home_advantage,core_k,progression_ratio,ucl_prestige,uel_prestige,uecl_prestige,matches,progression_events,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,max_abs_progression_delta,start_end_rank_correlation
1,2020/21,progression_layer,275.0,50.0,28.0,0.0,1.0,0.65,0.45,540,250,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,24.270595316378085,0.0,0.9688962046951372
1,2020/21,positive_challenger,275.0,50.0,28.0,0.25,1.0,0.55,0.45,540,250,0.16886821086745682,0.606191908280447,4.796912984034431e-16,26.088444980806635,131.55459538976277,24.144575049389537,5.061492365667114,0.9649243949886328
1,2020/21,core_baseline,275.0,50.0,28.0,0.0,1.0,0.65,0.45,540,250,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,24.270595316378085,0.0,0.9688962046951372
2,2021/22,progression_layer,250.0,40.0,28.0,0.0,1.0,0.65,0.45,816,267,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,24.804118847972173,0.0,0.942049078803373
2,2021/22,positive_challenger,250.0,40.0,28.0,0.25,1.0,0.55,0.45,816,267,0.1567850119410889,0.6174810632946296,9.593825968068862e-16,29.615607412427092,109.26909159566492,24.834063745328827,5.0720439841450835,0.9378897665051861
2,2021/22,core_baseline,250.0,40.0,28.0,0.0,1.0,0.65,0.45,816,267,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,24.804118847972173,0.0,0.942049078803373
3,2022/23,progression_layer,250.0,40.0,28.0,0.0,1.0,0.65,0.45,804,261,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,23.674136390009064,0.0,0.9433797049972867
3,2022/23,positive_challenger,250.0,40.0,28.0,0.25,1.0,0.55,0.35,804,261,0.165669783815496,0.6348399862323074,0.0,31.72080817575974,125.92882190247985,23.570445394815117,5.412354865218702,0.94123757698569
3,2022/23,core_baseline,250.0,40.0,28.0,0.0,1.0,0.65,0.45,804,261,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,23.674136390009064,0.0,0.9433797049972867
4,2023/24,progression_layer,250.0,40.0,28.0,0.0,1.0,0.65,0.45,806,262,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,24.94495524066176,0.0,0.9376972949432089
4,2023/24,positive_challenger,250.0,40.0,28.0,0.25,1.0,0.55,0.35,806,262,0.15804926297099706,0.6108917603677831,-1.4575235605335388e-15,29.30977203077747,93.97376618021269,24.91595186053472,5.685956033780864,0.9338498533092636
4,2023/24,core_baseline,250.0,40.0,28.0,0.0,1.0,0.65,0.45,806,262,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,24.94495524066176,0.0,0.9376972949432089
5,2024/25,progression_layer,225.0,40.0,28.0,0.0,1.0,0.65,0.45,957,282,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,25.031501320787683,0.0,0.9385119620937886
5,2024/25,positive_challenger,225.0,40.0,28.0,0.25,1.0,0.55,0.35,957,282,0.17023301983454311,0.625015256696224,-1.4451716659527462e-15,31.740554245452387,103.69849391265859,24.99105056638997,5.434772087124933,0.9355046629569947
5,2024/25,core_baseline,225.0,40.0,28.0,0.0,1.0,0.65,0.45,957,282,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,25.031501320787683,0.0,0.9385119620937886
6,2025/26,progression_layer,225.0,40.0,28.0,0.0,1.0,0.65,0.45,961,284,0.17502625928306767,0.6390812969931885,-3.3720672205564077e-15,33.30075024418177,97.73433267843961,24.613461623418893,0.0,0.9418661870569277
6,2025/26,positive_challenger,225.0,40.0,28.0,0.25,1.0,0.55,0.35,961,284,0.17508162729266344,0.6392357212505798,9.634477773018308e-16,34.53799314008601,100.01203138725907,24.53446616246454,5.371292610125018,0.9374383179575196
6,2025/26,core_baseline,225.0,40.0,28.0,0.0,1.0,0.65,0.45,961,284,0.17502625928306767,0.6390812969931885,-3.3720672205564077e-15,33.30075024418177,97.73433267843961,24.613461623418893,0.0,0.9418661870569277
