progression_ratio,ucl_prestige,uel_prestige,uecl_prestige,distance_from_reference,matches,progression_events,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,max_abs_progression_delta,start_end_rank_correlation
0.0,1.0,0.65,0.45,0.0,6340,2106,0.16365281343435142,0.6218366241900113,-6.02676093720453e-16,29.03815628863108,127.91296938412597,25.570420048846223,0.0,0.9375849061905133
0.25,1.0,0.55,0.35,0.2,6340,2106,0.16387889801697886,0.622325718800092,1.1195499589759765e-16,30.35668750375971,133.4589392068333,25.531621942295235,5.900802343933252,0.9337852297764636
0.25,1.0,0.6,0.35,0.15000000000000008,6340,2106,0.1638838806887859,0.6223355563264832,-6.613123632043781e-17,30.40432984079241,133.90958095827114,25.53164840086643,5.900802343933252,0.9338676481951071
0.25,1.0,0.55,0.4,0.14999999999999997,6340,2106,0.16388489883775392,0.6223377530576724,-4.866713792846505e-18,30.396477268368216,133.4589392068333,25.531621942295235,5.900802343933252,0.9335304819370203
0.25,1.0,0.65,0.35,0.10000000000000003,6340,2106,0.16388896961883276,0.6223456478839708,-1.8194962439153174e-16,30.452344487691683,134.35963609470946,25.531675417985234,5.900802343933252,0.9338573458927767
0.25,1.0,0.6,0.4,0.10000000000000003,6340,2106,0.16388988830549903,0.6223476050620584,-6.484126735849527e-17,30.444085684426767,133.90958095827114,25.53164840086643,5.900802343933252,0.933527672218203
0.25,1.0,0.55,0.45,0.09999999999999998,6340,2106,0.16389098713239747,0.6223499874804354,-1.8655563785055757e-16,30.436638282881596,133.4589392068333,25.531621942295235,5.900802343933252,0.9331099606873512
0.25,1.0,0.7,0.35,0.14999999999999997,6340,2106,0.16389416481418814,0.622355993353375,-6.433963450895883e-17,30.500728118623236,134.8091099012811,25.53170299609733,5.900802343933252,0.9338676481951071
0.25,1.0,0.65,0.4,0.04999999999999999,6340,2106,0.163894984018942,0.6223577110754,-1.217341942304448e-16,30.492066120140684,134.35963609470946,25.531675417985234,5.900802343933252,0.9335407842393508
0.25,1.0,0.6,0.45,0.050000000000000044,6340,2106,0.1638959833894109,0.6223598539567492,-3.0313630318473103e-16,30.484212688561875,133.90958095827114,25.53164840086643,5.900802343933252,0.9331099606873512
0.25,1.0,0.75,0.35,0.2,6340,2106,0.1638994662810535,0.6223665926163868,-1.2172110888550405e-16,30.549477435894556,135.2580076723882,25.531731137647263,5.900802343933252,0.9337899126411593
0.25,1.0,0.7,0.4,0.09999999999999992,6340,2106,0.1639001859851694,0.6223680709785412,-3.669545929463259e-16,30.54041525175127,134.8091099012811,25.53170299609733,5.900802343933252,0.9334696046959768
0.25,1.0,0.65,0.45,0.0,6340,2106,0.16390108587949323,0.6223699744198901,-2.419110366919621e-16,30.532158822621142,134.35963609470946,25.531675417985234,5.900802343933252,0.9331642819178205
0.25,1.0,0.6,0.5,0.10000000000000003,6340,2106,0.16390216592162882,0.6223723029707509,-3.0546222324795973e-16,30.524708179005167,133.90958095827114,25.53164840086643,5.900802343933252,0.9327091074694035
0.25,1.0,0.75,0.4,0.14999999999999997,6340,2106,0.16390549421040085,0.6223786846531968,-1.0426335744503033e-18,30.58912978364735,135.2580076723882,25.531731137647263,5.900802343933252,0.9333881228502725
0.25,1.0,0.7,0.45,0.04999999999999993,6340,2106,0.16390629460974965,0.6223803487507256,5.661908527291061e-17,30.58047336337546,134.8091099012811,25.53170299609733,5.900802343933252,0.9331820768036639
0.25,1.0,0.65,0.5,0.04999999999999999,6340,2106,0.16390727518156112,0.6223824378777043,-4.238409491856663e-16,30.572619924771086,134.35963609470946,25.531675417985234,5.900802343933252,0.932726902355247
0.25,1.0,0.75,0.45,0.09999999999999998,6340,2106,0.16391160958641812,0.6223909768309953,-2.4370926505632783e-16,30.629153017294264,135.2580076723882,25.531731137647263,5.900802343933252,0.9331043412497163
0.25,1.0,0.7,0.5,0.09999999999999992,6340,2106,0.16391249066897084,0.6223928266302597,-1.860409196560802e-16,30.620899787000365,134.8091099012811,25.53170299609733,5.900802343933252,0.9327821601586556
0.25,1.0,0.65,0.55,0.10000000000000003,6340,2106,0.16391355190564494,0.6223951014102844,-2.4241924017410766e-16,30.61344676433985,134.35963609470946,25.531675417985234,5.900802343933252,0.9325030614227949
0.25,1.0,0.75,0.5,0.14999999999999997,6340,2106,0.1639178123901143,0.622403469110181,-6.662535628068873e-16,30.669544474241903,135.2580076723882,25.531731137647263,5.900802343933252,0.9326538496659948
0.25,1.0,0.7,0.55,0.14999999999999997,6340,2106,0.16391877414329933,0.622405504578653,-3.856989301719582e-18,30.661691864197792,134.8091099012811,25.53170299609733,5.900802343933252,0.9325779872579254
0.25,1.0,0.75,0.55,0.2,6340,2106,0.16392410260192336,0.6224161614523311,-5.463372529183582e-16,30.710301499919815,135.2580076723882,25.531731137647263,5.900802343933252,0.9325011882769166
0.5,1.0,0.55,0.35,0.2,6340,2106,0.16416723540296915,0.6229587284533403,1.4708260439119757e-16,31.79246461749459,138.99282161240967,25.492989094674304,11.801604687866504,0.929154813165406
0.5,1.0,0.6,0.35,0.15000000000000008,6340,2106,0.16417945733127087,0.6229838333806479,-3.6462850512226466e-16,31.892797166237912,139.88541731972498,25.49305195881273,11.801604687866504,0.9292203732711452
