candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count
country_current,2021/22,UCL,80,0.4528781510669788,0.6693324061196105,0.4,0.24500000000000002,0,0.0,0.0,0
country_current,2021/22,UEL,58,0.39378221222270715,0.6489434219495569,0.4,0.25891795481569563,1,0.03448275862068967,0.03448275862068967,0
country_current,2021/22,UECL,181,0.35522980859041686,0.638677382966723,0.5,0.2581728274472696,31,0.2477276777757975,0.15879522366779533,4
country_current,2022/23,UCL,78,0.3596810580384805,0.6356531447711202,0.55,0.25476660092044706,2,0.16666666666666666,0.08012820512820512,0
country_current,2022/23,UEL,57,0.3559737546982147,0.6319396847155586,0.4,0.25238534933825796,5,0.21228070175438596,0.12280701754385963,0
country_current,2022/23,UECL,177,0.34510956537959897,0.6339292337363697,0.4666666666666667,0.26084458488939954,19,0.26984834968777877,0.18465655664585193,6
country_current,2023/24,UCL,78,0.4285030794746487,0.6683861459100958,0.45,0.232577251808021,2,0.141025641025641,0.11538461538461539,0
country_current,2023/24,UEL,57,0.66644851023963,0.7565698478561549,0.5333333333333333,0.18436441982148358,3,0.3333333333333333,0.10526315789473684,0
country_current,2023/24,UECL,178,0.3502162507537031,0.633656103286385,0.4666666666666667,0.2592160080797879,23,0.2900586223742062,0.17892037127503663,5
country_current,2024/25,UCL,81,0.4713238154266587,0.6767270288397049,0.38095238095238093,0.23014784331656762,6,0.12654320987654322,0.08641975308641973,0
country_current,2024/25,UEL,76,0.4414386443961296,0.6690251572327044,0.5263157894736842,0.2493074792243767,9,0.2858187134502923,0.17690058479532164,3
country_current,2024/25,UECL,164,0.3632683673673199,0.6446727019498607,0.4634146341463415,0.25301160023795366,31,0.2684893784421715,0.1960070810385523,7
country_current,2025/26,UCL,82,0.4332182888691667,0.6704918032786885,0.38095238095238093,0.24449732302201074,1,0.12804878048780488,0.12804878048780488,0
country_current,2025/26,UEL,77,0.4300506417158352,0.6661484648270501,0.55,0.2420306965761511,6,0.22727272727272732,0.16233766233766234,0
country_current,2025/26,UECL,164,0.32603515043832787,0.6238665526090675,0.3902439024390244,0.2663221296847115,23,0.2584835630965005,0.17616648992576883,5
country_b15_g0.6_c100,2021/22,UCL,80,0.45502743180765604,0.6700278164116829,0.4,0.24515625000000002,0,0.0,0.0,0
country_b15_g0.6_c100,2021/22,UEL,58,0.3734899443404161,0.6428084526244036,0.4,0.26397146254458975,1,0.0517241379310345,0.0517241379310345,0
country_b15_g0.6_c100,2021/22,UECL,181,0.35471418796415694,0.6378313592780598,0.5,0.2596685082872928,31,0.25004455533772946,0.1734984851185172,4
country_b15_g0.6_c100,2022/23,UCL,78,0.36690339537084843,0.6393747673985858,0.55,0.25427350427350426,2,0.1858974358974359,0.09294871794871795,0
country_b15_g0.6_c100,2022/23,UEL,57,0.32742737300401553,0.6199451679232351,0.4,0.2600800246229609,5,0.2192982456140351,0.12631578947368421,0
country_b15_g0.6_c100,2022/23,UECL,177,0.3320932497410826,0.6290334544915066,0.4444444444444444,0.26253630821283797,19,0.2627118644067797,0.196104668450788,6
country_b15_g0.6_c100,2023/24,UCL,78,0.4293666519789579,0.66930729550479,0.45,0.23175542406311642,2,0.10256410256410253,0.07692307692307693,0
country_b15_g0.6_c100,2023/24,UEL,57,0.6591493590297957,0.7524204702627939,0.5333333333333333,0.18436441982148355,3,0.38011695906432746,0.09941520467836258,0
country_b15_g0.6_c100,2023/24,UECL,178,0.34851704297397945,0.634206279342723,0.4444444444444444,0.2601944198964777,23,0.27955544699560336,0.18832437713727404,5
country_b15_g0.6_c100,2024/25,UCL,81,0.4718266782514174,0.6752179745137492,0.38095238095238093,0.2280140222527054,6,0.09979423868312758,0.06584362139917695,0
country_b15_g0.6_c100,2024/25,UEL,76,0.42869220895304205,0.6654874213836478,0.5263157894736842,0.25259695290858725,9,0.2931286549707602,0.18128654970760233,3
country_b15_g0.6_c100,2024/25,UECL,164,0.3549256516033682,0.6415389972144847,0.4634146341463415,0.25405264723378934,31,0.2655389457120378,0.20859559402045635,7
country_b15_g0.6_c100,2025/26,UCL,82,0.4295753815194012,0.6675409836065573,0.38095238095238093,0.24434860202260558,1,0.21341463414634146,0.21341463414634146,0
country_b15_g0.6_c100,2025/26,UEL,77,0.41263219734065204,0.6577924601632336,0.55,0.24641592174059712,6,0.2792207792207792,0.16017316017316016,0
country_b15_g0.6_c100,2025/26,UECL,164,0.31161132706690375,0.615568862275449,0.3902439024390244,0.27167608566329565,23,0.27810180275715796,0.19034994697773064,6
country_b15_g0.6_c140,2021/22,UCL,80,0.45463750957318044,0.6696801112656467,0.4,0.24546874999999999,0,0.0,0.0,0
country_b15_g0.6_c140,2021/22,UEL,58,0.3961823729399674,0.6482617586912065,0.4,0.2612960760998811,1,0.10344827586206898,0.10344827586206898,0
country_b15_g0.6_c140,2021/22,UECL,181,0.3487379091349416,0.6354342921601804,0.4782608695652174,0.2615304783126278,31,0.2785599714845838,0.2214400285154161,6
country_b15_g0.6_c140,2022/23,UCL,78,0.34654151836776254,0.6319315221436547,0.55,0.25871137409598943,2,0.17307692307692307,0.09935897435897437,0
country_b15_g0.6_c140,2022/23,UEL,57,0.3395730560829898,0.6261137765592872,0.4,0.2573099415204679,5,0.2333333333333333,0.15614035087719297,0
country_b15_g0.6_c140,2022/23,UECL,177,0.32999426872308707,0.6260663155552258,0.4888888888888889,0.2636854033004564,19,0.2659827534939043,0.22271781147784717,6
country_b15_g0.6_c140,2023/24,UCL,78,0.42389538844699076,0.667096536477524,0.45,0.2292899408284024,2,0.11538461538461539,0.11538461538461539,0
country_b15_g0.6_c140,2023/24,UEL,57,0.6599676495241718,0.7551867219917012,0.5333333333333333,0.185595567867036,3,0.3567251461988305,0.12280701754385966,1
country_b15_g0.6_c140,2023/24,UECL,178,0.35543215352588564,0.6375806924882629,0.4444444444444444,0.2576063628329756,23,0.29836345872007813,0.23290180752320475,6
country_b15_g0.6_c140,2024/25,UCL,81,0.4572185132178526,0.6691817572099262,0.38095238095238093,0.23289132754153333,6,0.13065843621399179,0.10905349794238683,1
country_b15_g0.6_c140,2024/25,UEL,76,0.41875220127020035,0.6568396226415094,0.5263157894736842,0.2558864265927977,9,0.2872807017543859,0.20906432748538012,4
country_b15_g0.6_c140,2024/25,UECL,164,0.34921311077444656,0.6384923398328691,0.43902439024390244,0.2556885782272457,31,0.28225806451612906,0.2521636506687648,8
country_b15_g0.6_c140,2025/26,UCL,82,0.42346175514499224,0.6655737704918033,0.38095238095238093,0.24657941701368233,1,0.2378048780487805,0.2378048780487805,0
country_b15_g0.6_c140,2025/26,UEL,77,0.41744404032414445,0.6609016712009328,0.55,0.24742789677854618,6,0.2922077922077922,0.21645021645021645,2
country_b15_g0.6_c140,2025/26,UECL,164,0.29884294489594293,0.6103507271171942,0.4146341463414634,0.276249256395003,23,0.28605514316012726,0.2310445387062566,7
country_b15_g0.6_c180,2021/22,UCL,80,0.4476779884790567,0.6665507649513213,0.4,0.24718749999999998,0,0.0,0.0,0
country_b15_g0.6_c180,2021/22,UEL,58,0.4330887403326441,0.6639400136332652,0.4,0.2520808561236624,1,0.20689655172413793,0.20689655172413793,0
country_b15_g0.6_c180,2021/22,UECL,181,0.3360103829010587,0.6304286520022561,0.4782608695652174,0.26348402063429077,31,0.2999465335947247,0.25779718410265545,11
country_b15_g0.6_c180,2022/23,UCL,78,0.3407037656761627,0.6311871976181616,0.55,0.25986193293885596,2,0.14102564102564102,0.11217948717948717,0
country_b15_g0.6_c180,2022/23,UEL,57,0.34691923536462754,0.6309115832762165,0.4,0.2573099415204679,5,0.29298245614035084,0.2333333333333333,2
country_b15_g0.6_c180,2022/23,UECL,177,0.3106053018809542,0.6167198279059417,0.4444444444444444,0.26777107472309997,19,0.2778768956289028,0.2490336009515314,6
country_b15_g0.6_c180,2023/24,UCL,78,0.4170212368299038,0.6659911569638909,0.45,0.2291255752794214,2,0.17948717948717954,0.17948717948717954,0
country_b15_g0.6_c180,2023/24,UEL,57,0.6670376793955808,0.760027662517289,0.5333333333333333,0.18128654970760233,3,0.3157894736842105,0.15204678362573099,1
country_b15_g0.6_c180,2023/24,UECL,178,0.35670885567674426,0.6385343309859155,0.4222222222222222,0.25514455245549805,23,0.31717147044455307,0.27173913043478265,6
