candidate,pilot_guardrails_pass,pilot_guardrail_violations,pilot_como_rating,pilot_como_rank,pilot_top_team
country_current,True,,748.1243760474089,9,Arsenal
country_b15_g0.6_c100,True,,718.3157894736842,10,Arsenal
country_b15_g0.6_c140,True,,758.3157894736842,9,Arsenal
country_b15_g0.6_c180,True,,798.3157894736842,8,Arsenal
country_b15_g0.6_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b15_g0.6_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b15_g0.6_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b15_g0.6_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b15_g0.8_c100,True,,718.3157894736842,10,Arsenal
country_b15_g0.8_c140,True,,758.3157894736842,9,Arsenal
country_b15_g0.8_c180,True,,798.3157894736842,8,Arsenal
country_b15_g0.8_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b15_g0.8_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b15_g0.8_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b15_g0.8_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b15_g1.0_c100,True,,718.3157894736842,10,Arsenal
country_b15_g1.0_c140,True,,758.3157894736842,9,Arsenal
country_b15_g1.0_c180,True,,798.3157894736842,8,Arsenal
country_b15_g1.0_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b15_g1.0_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b15_g1.0_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b15_g1.0_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b15_g1.2_c100,True,,718.3157894736842,10,Arsenal
country_b15_g1.2_c140,True,,758.3157894736842,8,Arsenal
country_b15_g1.2_c180,True,,798.3157894736842,8,Arsenal
country_b15_g1.2_c220,False,Slavia Praha<=Como,838.3157894736842,7,Arsenal
country_b15_g1.2_c260,False,Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,878.3157894736842,4,Arsenal
country_b15_g1.2_c300,False,Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,918.3157894736842,2,Arsenal
country_b15_g1.2_c360,False,Arsenal<=Como;Sporting CP<=Como;Benfica<=Como;Galatasaray<=Como;Shakhtar Donetsk<=Como;Slavia Praha<=Como,978.3157894736842,1,Como
country_b15_g1.4_c100,True,,718.3157894736842,10,Arsenal
country_b15_g1.4_c140,True,,758.3157894736842,8,Arsenal
