candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count
country_current,2018/19,UCL,79,0.5486993683339222,0.7150997150997151,0.45,0.21246595096939594,1,0.5443037974683544,0.0,0
country_current,2018/19,UEL,213,0.3983467307048803,0.6548772361474191,0.5555555555555556,0.25010469703982896,30,0.23560250391236306,0.1650234741784038,4
country_current,2018/19,UECL,0,,,0.0,,0,0.0,0.0,0
country_current,2019/20,UCL,79,0.43859906837068213,0.6735959153902261,0.4,0.24835763499439184,3,0.31012658227848094,0.012658227848101259,0
country_current,2019/20,UEL,213,0.36647477459937855,0.6377687157025625,0.42592592592592593,0.25684939055302075,25,0.26028169014084507,0.18272300469483568,6
country_current,2019/20,UECL,0,,,0.0,,0,0.0,0.0,0
country_current,2020/21,UCL,79,0.47436658147735195,0.6937452326468345,0.55,0.22784810126582283,1,0.07594936708860761,0.07594936708860761,0
country_current,2020/21,UEL,213,0.42486918696819453,0.6806770743981243,0.5185185185185185,0.2440873724349225,34,0.23425849212924607,0.15644849489091409,7
country_current,2020/21,UECL,0,,,0.0,,0,0.0,0.0,0
country_current,2021/22,UCL,80,0.4528781510669788,0.6693324061196105,0.4,0.24500000000000002,0,0.0,0.0,0
country_current,2021/22,UEL,58,0.39378221222270715,0.6489434219495569,0.4,0.25891795481569563,1,0.03448275862068967,0.03448275862068967,0
country_current,2021/22,UECL,181,0.35534974420328447,0.6387478849407784,0.5,0.2581728274472696,31,0.2477276777757975,0.15879522366779533,4
country_current,2022/23,UCL,78,0.3596810580384805,0.6356531447711202,0.55,0.25476660092044706,2,0.16666666666666666,0.08012820512820512,0
country_current,2022/23,UEL,57,0.3559737546982147,0.6319396847155586,0.4,0.25238534933825796,5,0.21228070175438596,0.12280701754385963,0
country_current,2022/23,UECL,177,0.34510956537959897,0.6339292337363697,0.4666666666666667,0.26084458488939954,19,0.26984834968777877,0.18465655664585193,6
country_current,2023/24,UCL,78,0.4285030794746487,0.6683861459100958,0.45,0.232577251808021,2,0.141025641025641,0.11538461538461539,0
country_current,2023/24,UEL,57,0.66644851023963,0.7565698478561549,0.5333333333333333,0.18436441982148358,3,0.3333333333333333,0.10526315789473684,0
country_current,2023/24,UECL,178,0.3502162507537031,0.633656103286385,0.4666666666666667,0.2592160080797879,23,0.2900586223742062,0.17892037127503663,5
country_current,2024/25,UCL,81,0.4713238154266587,0.6767270288397049,0.38095238095238093,0.23014784331656762,6,0.12654320987654322,0.08641975308641973,0
country_current,2024/25,UEL,76,0.4414386443961296,0.6690251572327044,0.5263157894736842,0.2493074792243767,9,0.2858187134502923,0.17690058479532164,3
country_current,2024/25,UECL,164,0.36294339832960587,0.6444986072423399,0.4634146341463415,0.25301160023795366,31,0.2686860739575138,0.1960070810385523,7
country_current,2025/26,UCL,82,0.4332182888691667,0.6704918032786885,0.38095238095238093,0.24449732302201074,1,0.12804878048780488,0.12804878048780488,0
country_current,2025/26,UEL,77,0.4300506417158352,0.6661484648270501,0.55,0.2420306965761511,6,0.22727272727272732,0.16233766233766234,0
country_current,2025/26,UECL,164,0.328474240593087,0.6247219846022242,0.3902439024390244,0.26557852468768595,23,0.25795334040296924,0.1753711558854719,5
country_b15_g0.6_c100,2018/19,UCL,79,0.5552469172923415,0.7174145299145299,0.45,0.21278641243390484,1,0.5443037974683544,0.0,0
country_b15_g0.6_c100,2018/19,UEL,213,0.3900054498408716,0.6524168332564457,0.5370370370370371,0.25338887786814784,30,0.242018779342723,0.1765258215962441,4
country_b15_g0.6_c100,2018/19,UECL,0,,,0.0,,0,0.0,0.0,0
country_b15_g0.6_c100,2019/20,UCL,79,0.43592763729463013,0.6741429613420861,0.4,0.2473962506008652,3,0.2974683544303797,0.021097046413502112,0
country_b15_g0.6_c100,2019/20,UEL,213,0.35507202499675894,0.6328600916276494,0.42592592592592593,0.2578632987282064,25,0.26497652582159625,0.19098591549295776,6
country_b15_g0.6_c100,2019/20,UECL,0,,,0.0,,0,0.0,0.0,0
country_b15_g0.6_c100,2020/21,UCL,79,0.47740726737741623,0.6943173150266971,0.55,0.22624579394327832,1,0.12658227848101264,0.12658227848101264,0
country_b15_g0.6_c100,2020/21,UEL,213,0.42158606261561954,0.6799336650082919,0.5185185185185185,0.24417553836319955,34,0.2255592377796189,0.15976249654791494,7
country_b15_g0.6_c100,2020/21,UECL,0,,,0.0,,0,0.0,0.0,0
country_b15_g0.6_c100,2021/22,UCL,80,0.45502743180765604,0.6700278164116829,0.4,0.24515625000000002,0,0.0,0.0,0
country_b15_g0.6_c100,2021/22,UEL,58,0.3734899443404161,0.6428084526244036,0.4,0.26397146254458975,1,0.0517241379310345,0.0517241379310345,0
country_b15_g0.6_c100,2021/22,UECL,181,0.3549058799266035,0.637901861252115,0.5,0.2596685082872928,31,0.25004455533772946,0.1734984851185172,4
country_b15_g0.6_c100,2022/23,UCL,78,0.36690339537084843,0.6393747673985858,0.55,0.25427350427350426,2,0.1858974358974359,0.09294871794871795,0
country_b15_g0.6_c100,2022/23,UEL,57,0.32742737300401553,0.6199451679232351,0.4,0.2600800246229609,5,0.2192982456140351,0.12631578947368421,0
country_b15_g0.6_c100,2022/23,UECL,177,0.3320932497410826,0.6290334544915066,0.4444444444444444,0.26253630821283797,19,0.2627118644067797,0.196104668450788,6
country_b15_g0.6_c100,2023/24,UCL,78,0.4293666519789579,0.66930729550479,0.45,0.23175542406311642,2,0.10256410256410253,0.07692307692307693,0
country_b15_g0.6_c100,2023/24,UEL,57,0.6591493590297957,0.7524204702627939,0.5333333333333333,0.18436441982148355,3,0.38011695906432746,0.09941520467836258,0
country_b15_g0.6_c100,2023/24,UECL,178,0.34851704297397945,0.634206279342723,0.4444444444444444,0.2601944198964777,23,0.27955544699560336,0.18832437713727404,5
country_b15_g0.6_c100,2024/25,UCL,81,0.4718266782514174,0.6752179745137492,0.38095238095238093,0.2280140222527054,6,0.09979423868312758,0.06584362139917695,0
country_b15_g0.6_c100,2024/25,UEL,76,0.42869220895304205,0.6654874213836478,0.5263157894736842,0.25259695290858725,9,0.2931286549707602,0.18128654970760233,3
country_b15_g0.6_c100,2024/25,UECL,164,0.3552132837729193,0.6418001392757661,0.4634146341463415,0.2539782867340869,31,0.26573564122738,0.20859559402045635,7
country_b15_g0.6_c100,2025/26,UCL,82,0.4295753815194012,0.6675409836065573,0.38095238095238093,0.24434860202260558,1,0.21341463414634146,0.21341463414634146,0
country_b15_g0.6_c100,2025/26,UEL,77,0.41263219734065204,0.6577924601632336,0.55,0.24641592174059712,6,0.2792207792207792,0.16017316017316016,0
country_b15_g0.6_c100,2025/26,UECL,164,0.3144842474863434,0.6166809238665526,0.3902439024390244,0.27070939916716236,23,0.27757158006362664,0.18955461293743375,6
country_b15_g0.6_c140,2018/19,UCL,79,0.5403273840779819,0.7113603988603988,0.45,0.21599102707899373,1,0.5443037974683544,0.0,0
country_b15_g0.6_c140,2018/19,UEL,213,0.3871842732579474,0.6505202726946537,0.5370370370370371,0.25647468535784346,30,0.25062597809076687,0.19491392801251958,4
country_b15_g0.6_c140,2018/19,UECL,0,,,0.0,,0,0.0,0.0,0
country_b15_g0.6_c140,2019/20,UCL,79,0.42879259554216115,0.6719547775346463,0.4,0.2506008652459541,3,0.2974683544303797,0.021097046413502112,0
country_b15_g0.6_c140,2019/20,UEL,213,0.3409682687725582,0.6286814680561849,0.4444444444444444,0.261985055875157,25,0.27380281690140845,0.21633802816901407,8
country_b15_g0.6_c140,2019/20,UECL,0,,,0.0,,0,0.0,0.0,0
country_b15_g0.6_c140,2020/21,UCL,79,0.47256099771195925,0.6931731502669718,0.55,0.22880948565934953,1,0.13924050632911392,0.13924050632911392,0
country_b15_g0.6_c140,2020/21,UEL,213,0.39613507622978356,0.6683822267970493,0.5185185185185185,0.2491128303467125,34,0.246133664733499,0.19607843137254902,8
country_b15_g0.6_c140,2020/21,UECL,0,,,0.0,,0,0.0,0.0,0
country_b15_g0.6_c140,2021/22,UCL,80,0.45463750957318044,0.6696801112656467,0.4,0.24546874999999999,0,0.0,0.0,0
country_b15_g0.6_c140,2021/22,UEL,58,0.3961823729399674,0.6482617586912065,0.4,0.2612960760998811,1,0.10344827586206898,0.10344827586206898,0
country_b15_g0.6_c140,2021/22,UECL,181,0.3487901887610634,0.6354342921601804,0.4782608695652174,0.2615304783126278,31,0.2785599714845838,0.2214400285154161,6
country_b15_g0.6_c140,2022/23,UCL,78,0.34654151836776254,0.6319315221436547,0.55,0.25871137409598943,2,0.17307692307692307,0.09935897435897437,0
country_b15_g0.6_c140,2022/23,UEL,57,0.3395730560829898,0.6261137765592872,0.4,0.2573099415204679,5,0.2333333333333333,0.15614035087719297,0
country_b15_g0.6_c140,2022/23,UECL,177,0.32999426872308707,0.6260663155552258,0.4888888888888889,0.2636854033004564,19,0.2659827534939043,0.22271781147784717,6
country_b15_g0.6_c140,2023/24,UCL,78,0.42389538844699076,0.667096536477524,0.45,0.2292899408284024,2,0.11538461538461539,0.11538461538461539,0
country_b15_g0.6_c140,2023/24,UEL,57,0.6599676495241718,0.7551867219917012,0.5333333333333333,0.185595567867036,3,0.3567251461988305,0.12280701754385966,1
country_b15_g0.6_c140,2023/24,UECL,178,0.35543215352588564,0.6375806924882629,0.4444444444444444,0.2576063628329756,23,0.29836345872007813,0.23290180752320475,6
