fold,test_season,model,candidate,competition,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_rank_mae,zero_exposure_extreme_overrank_count,log_loss
1,2020/21,baseline,country_current,UCL,0.47436658147735195,0.6937452326468345,0.55,0.22784810126582283,0.07594936708860761,0,0.623267300223616
1,2020/21,baseline,country_current,UEL,0.42486918696819453,0.6806770743981243,0.5185185185185185,0.2440873724349225,0.23425849212924607,7,0.623267300223616
1,2020/21,baseline,country_current,UECL,,,0.0,,0.0,0,0.623267300223616
1,2020/21,selected,country_b25_g2.0_c100,UCL,0.47517427834168796,0.6945080091533181,0.55,0.22464348662073388,0.03797468354430379,0,0.6221598226505667
1,2020/21,selected,country_b25_g2.0_c100,UEL,0.46730469800079005,0.6973751930005146,0.5185185185185185,0.22422799709052438,0.2076083954708644,2,0.6221598226505667
1,2020/21,selected,country_b25_g2.0_c100,UECL,,,0.0,,0.0,0,0.6221598226505667
2,2021/22,baseline,country_current,UCL,0.4528781510669788,0.6693324061196105,0.4,0.24500000000000002,0.0,0,0.6293904595012739
2,2021/22,baseline,country_current,UEL,0.39378221222270715,0.6489434219495569,0.4,0.25891795481569563,0.03448275862068967,0,0.6293904595012739
2,2021/22,baseline,country_current,UECL,0.35534974420328447,0.6387478849407784,0.5,0.2581728274472696,0.2477276777757975,4,0.6293904595012739
2,2021/22,selected,country_b35_g1.4_c100,UCL,0.44747844549058463,0.6665507649513213,0.4,0.2425,0.0,0,0.6334146025214616
2,2021/22,selected,country_b35_g1.4_c100,UEL,0.3507975157408649,0.6298568507157464,0.4,0.26664684898929847,0.1724137931034483,0,0.6334146025214616
2,2021/22,selected,country_b35_g1.4_c100,UECL,0.3340760367345529,0.6307106598984772,0.4782608695652174,0.25808125515094166,0.2347175191587952,2,0.6334146025214616
3,2022/23,baseline,country_current,UCL,0.3596810580384805,0.6356531447711202,0.55,0.25476660092044706,0.16666666666666666,0,0.6454153500935206
3,2022/23,baseline,country_current,UEL,0.3559737546982147,0.6319396847155586,0.4,0.25238534933825796,0.21228070175438596,0,0.6454153500935206
3,2022/23,baseline,country_current,UECL,0.34510956537959897,0.6339292337363697,0.4666666666666667,0.26084458488939954,0.26984834968777877,6,0.6454153500935206
3,2022/23,selected,country_b20_g1.6_c180,UCL,0.3655058525006421,0.6378861183475996,0.55,0.2513149243918474,0.10256410256410257,0,0.6404744352610785
3,2022/23,selected,country_b20_g1.6_c180,UEL,0.3808524120475717,0.6408498971898561,0.4,0.24838411819021236,0.2263157894736842,0,0.6404744352610785
3,2022/23,selected,country_b20_g1.6_c180,UECL,0.347957947356973,0.6344484830502188,0.4666666666666667,0.2569823486226818,0.28203984537615223,4,0.6404744352610785
4,2023/24,baseline,country_current,UCL,0.4285030794746487,0.6683861459100958,0.45,0.232577251808021,0.141025641025641,0,0.623160149062057
4,2023/24,baseline,country_current,UEL,0.66644851023963,0.7565698478561549,0.5333333333333333,0.18436441982148358,0.3333333333333333,0,0.623160149062057
4,2023/24,baseline,country_current,UECL,0.3502162507537031,0.633656103286385,0.4666666666666667,0.2592160080797879,0.2900586223742062,5,0.623160149062057
4,2023/24,selected,country_b15_g2.0_c180,UCL,0.4114351915455177,0.6597273397199706,0.45,0.23717948717948714,0.18589743589743593,0,0.6166760559021593
4,2023/24,selected,country_b15_g2.0_c180,UEL,0.6852364599905041,0.7655601659751037,0.6,0.18128654970760236,0.2865497076023392,1,0.6166760559021593
4,2023/24,selected,country_b15_g2.0_c180,UECL,0.3279140463553501,0.6239363262910798,0.4444444444444444,0.267201110970837,0.3232779677576942,5,0.6166760559021593
5,2024/25,baseline,country_current,UCL,0.4713238154266587,0.6767270288397049,0.38095238095238093,0.23014784331656762,0.12654320987654322,0,0.6339147577311238
5,2024/25,baseline,country_current,UEL,0.4414386443961296,0.6690251572327044,0.5263157894736842,0.2493074792243767,0.2858187134502923,3,0.6339147577311238
5,2024/25,baseline,country_current,UECL,0.36294339832960587,0.6444986072423399,0.4634146341463415,0.25301160023795366,0.2686860739575138,7,0.6339147577311238
5,2024/25,selected,country_b15_g1.4_c180,UCL,0.45226196850607503,0.6681757209926223,0.38095238095238093,0.23853071178174062,0.23559670781893005,1,0.6277720056558836
5,2024/25,selected,country_b15_g1.4_c180,UEL,0.4743277657834458,0.6816037735849056,0.5789473684210527,0.2411703601108033,0.256578947368421,3,0.6277720056558836
5,2024/25,selected,country_b15_g1.4_c180,UECL,0.3713829133813872,0.648241643454039,0.4634146341463415,0.2509666864961333,0.2804878048780488,7,0.6277720056558836
6,2025/26,baseline,country_current,UCL,0.4332182888691667,0.6704918032786885,0.38095238095238093,0.24449732302201074,0.12804878048780488,0,0.6473150758649365
6,2025/26,baseline,country_current,UEL,0.4300506417158352,0.6661484648270501,0.55,0.2420306965761511,0.22727272727272732,0,0.6473150758649365
6,2025/26,baseline,country_current,UECL,0.328474240593087,0.6247219846022242,0.3902439024390244,0.26557852468768595,0.25795334040296924,5,0.6473150758649365
6,2025/26,selected,country_b15_g2.0_c180,UCL,0.43334435548498657,0.6681967213114755,0.38095238095238093,0.24479476502082095,0.0060975609756097615,0,0.6391648225678804
6,2025/26,selected,country_b15_g2.0_c180,UEL,0.4528330794409655,0.6752817722502915,0.6,0.2344408837915332,0.235930735930736,1,0.6391648225678804
6,2025/26,selected,country_b15_g2.0_c180,UECL,0.35883134120923627,0.6363558597091531,0.4146341463414634,0.25691552647233784,0.22401908801696704,5,0.6391648225678804
