competition,model,matches,log_loss,brier,log_loss_delta
ALL,baseline,4884,0.6347367300876106,0.17099895414052999,0.0
ALL,joint,4884,0.6313079038558541,0.1694565029623948,-0.0034288262317564433
ALL,spread_only,4884,0.633510843883004,0.17056046787220225,-0.0012258862046065078
UCL,baseline,1384,0.6237181902127326,0.1684591421270658,0.0
UCL,joint,1384,0.6160261128406683,0.16510420178229077,-0.007692077372064232
UCL,spread_only,1384,0.6211006861520012,0.16747607910633108,-0.002617504060731357
UECL,baseline,2073,0.6389923583379473,0.1707602206788496,0.0
UECL,joint,2073,0.6358575515486121,0.1693125365140807,-0.0031348067893351983
UECL,spread_only,2073,0.6376964378597757,0.17030075066841008,-0.0012959204781716194
UEL,baseline,1427,0.6392411041758258,0.1738090412412293,0.0
UEL,joint,1427,0.6395199424668767,0.17388679538048812,0.00027883829105090907
UEL,spread_only,1427,0.639466640649549,0.17392920495379094,0.00022553647372314245
