fold,test_season,competition,model,elo_scale,home_advantage,spread_multiplier,matches,log_loss,brier,mean_expected_home_score,mean_actual_home_score
1,2020/21,ALL,baseline,400.0,70.0,1.0,540,0.623267300223616,0.1767680268577073,0.5942875186419833,0.5435185185185185
1,2020/21,ALL,joint,300.0,50.0,1.3333333333333333,540,0.6128702337518622,0.17221395795258704,0.5863943496104549,0.5435185185185185
1,2020/21,ALL,spread_only,350.0,70.0,1.1428571428571428,540,0.6215805640911678,0.1762030709599545,0.6054268075284789,0.5435185185185185
1,2020/21,UCL,baseline,400.0,70.0,1.0,178,0.6142662518216992,0.16846865564665325,0.592691306840327,0.5337078651685393
1,2020/21,UCL,joint,300.0,50.0,1.3333333333333333,178,0.599659234617078,0.16236861152746504,0.5841448540795688,0.5337078651685393
1,2020/21,UCL,spread_only,350.0,70.0,1.1428571428571428,178,0.611274821587311,0.1676218394480593,0.6035592913655016,0.5337078651685393
1,2020/21,UEL,baseline,400.0,70.0,1.0,362,0.6276932301008016,0.18084893314380565,0.595072396268212,0.5483425414364641
1,2020/21,UEL,joint,300.0,50.0,1.3333333333333333,362,0.6193662499010104,0.1770550398964315,0.5875004551477414,0.5483425414364641
1,2020/21,UEL,spread_only,350.0,70.0,1.1428571428571428,362,0.626648028637263,0.18042257153762675,0.6063450889566829,0.5483425414364641
1,2020/21,UECL,baseline,400.0,70.0,1.0,0,,,,
1,2020/21,UECL,joint,300.0,50.0,1.3333333333333333,0,,,,
1,2020/21,UECL,spread_only,350.0,70.0,1.1428571428571428,0,,,,
2,2021/22,ALL,baseline,400.0,70.0,1.0,816,0.6293904595012739,0.1620163078715515,0.5944170482724244,0.5894607843137255
2,2021/22,ALL,joint,300.0,50.0,1.3333333333333333,816,0.6248750619054038,0.1599004034914225,0.5868494085306115,0.5894607843137255
2,2021/22,ALL,spread_only,350.0,70.0,1.1428571428571428,816,0.6273940801323823,0.16124666115949413,0.6059762198774439,0.5894607843137255
2,2021/22,UCL,baseline,400.0,70.0,1.0,218,0.6115051521288025,0.16264453702928755,0.593046116573308,0.5779816513761468
2,2021/22,UCL,joint,300.0,50.0,1.3333333333333333,218,0.6015979142484574,0.15795587269590805,0.5847906328647547,0.5779816513761468
2,2021/22,UCL,spread_only,350.0,70.0,1.1428571428571428,218,0.6077069719465513,0.16098513736877396,0.6041289885599311,0.5779816513761468
2,2021/22,UEL,baseline,400.0,70.0,1.0,175,0.6600007555920453,0.1640218395266498,0.5938920772458303,0.5742857142857143
