fold,test_season,model,core_scale,core_home_advantage,core_k,progression_ratio,stage_profile,matches,progression_events,nonzero_progression_events,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_progression_delta,start_end_rank_correlation
1,2020/21,progression_layer,275.0,50.0,28.0,0.0,FLAT,540,250,0,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,0.0,0.9688962046951372
1,2020/21,positive_challenger,275.0,50.0,28.0,0.125,LATE_STRICT,540,250,28,0.16840103407498663,0.6051435652914224,9.593825968068862e-16,24.468023975843362,124.63750100536777,2.2211641742632593,0.9689007119689755
1,2020/21,core_baseline,275.0,50.0,28.0,0.0,FLAT,540,250,0,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,0.0,0.9688962046951372
2,2021/22,progression_layer,250.0,40.0,28.0,0.0,FLAT,816,267,0,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,0.0,0.942049078803373
2,2021/22,positive_challenger,250.0,40.0,28.0,0.125,LATE_STRICT,816,267,41,0.15652437978723072,0.6169449396999065,9.593825968068862e-16,28.42291353562978,106.43602889748513,2.2907057469187393,0.9420049075197554
2,2021/22,core_baseline,250.0,40.0,28.0,0.0,FLAT,816,267,0,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,0.0,0.942049078803373
3,2022/23,progression_layer,250.0,40.0,28.0,0.0,FLAT,804,261,0,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,0.0,0.9433797049972867
3,2022/23,positive_challenger,250.0,40.0,28.0,0.125,LATE_STRICT,804,261,42,0.16542755121295993,0.6342756292717868,-2.4396317107642925e-15,30.89218974692443,122.4843093342214,2.333389848739743,0.9434005760408011
3,2022/23,core_baseline,250.0,40.0,28.0,0.0,FLAT,804,261,0,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,0.0,0.9433797049972867
4,2023/24,progression_layer,250.0,40.0,28.0,0.0,FLAT,806,262,0,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,0.0,0.9376972949432089
4,2023/24,positive_challenger,250.0,40.0,28.0,0.125,SEMIFINAL_HEAVY,806,262,58,0.1578100646780832,0.6103391118243594,-1.943364747378052e-15,28.2740283315074,86.15403912366219,2.6056378842276096,0.9375652381587913
4,2023/24,core_baseline,250.0,40.0,28.0,0.0,FLAT,806,262,0,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,0.0,0.9376972949432089
5,2024/25,progression_layer,225.0,40.0,28.0,0.0,FLAT,957,282,0,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,0.0,0.9385119620937886
5,2024/25,positive_challenger,225.0,40.0,28.0,0.125,SEMIFINAL_HEAVY,957,282,66,0.16981847650337523,0.6241300219303982,-4.817238886509154e-16,30.886516541071067,100.94220677590408,3.2186545878775226,0.9385156139445923
5,2024/25,core_baseline,225.0,40.0,28.0,0.0,FLAT,957,282,0,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,0.0,0.9385119620937886
6,2025/26,progression_layer,225.0,40.0,28.0,0.0,FLAT,961,284,0,0.17502625928306767,0.6390812969931885,-3.3720672205564077e-15,33.30075024418177,97.73433267843961,0.0,0.9418661870569277
6,2025/26,positive_challenger,225.0,40.0,28.0,0.125,LATE_STRICT,961,284,42,0.17502231573383864,0.6390740178767311,-2.8903433319054925e-15,33.43096626356013,97.21779604097253,2.7254164885881473,0.9417548056074168
6,2025/26,core_baseline,225.0,40.0,28.0,0.0,FLAT,961,284,0,0.17502625928306767,0.6390812969931885,-3.3720672205564077e-15,33.30075024418177,97.73433267843961,0.0,0.9418661870569277
