fold,test_season,model,core_scale,core_home_advantage,core_k,ucl_multiplier,uel_multiplier,uecl_multiplier,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,start_end_rank_correlation
1,2020/21,selected_layer,275.0,50.0,28.0,1.0,1.0,1.0,540,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,24.270595316378085,0.9688962046951372
1,2020/21,strict_challenger,275.0,50.0,28.0,1.0,0.95,0.85,540,0.16843007105924862,0.6052155979714143,-9.593825968068862e-16,23.594197002337555,117.13975870296383,23.37842840640677,0.9710849368711226
1,2020/21,reference_065_045,275.0,50.0,28.0,1.0,0.65,0.45,540,0.16884537945705017,0.6061260475799476,0.0,19.1440913616289,86.46129316517215,23.37842840640677,0.9821304621398012
1,2020/21,core_baseline,275.0,50.0,28.0,1.0,1.0,1.0,540,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,24.270595316378085,0.9688962046951372
2,2021/22,selected_layer,250.0,40.0,28.0,1.0,1.0,1.0,816,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,24.804118847972173,0.942049078803373
2,2021/22,strict_challenger,250.0,40.0,28.0,1.0,0.95,0.85,816,0.15656622542514578,0.6171247764066066,1.9187651936137725e-15,26.118336396551772,100.75011355262257,23.664390675106105,0.9501973284486506
2,2021/22,reference_065_045,250.0,40.0,28.0,1.0,0.65,0.45,816,0.15716059654045275,0.6186361723912147,0.0,19.72181758649327,101.30135168187633,23.664390675106105,0.9732349064920969
2,2021/22,core_baseline,250.0,40.0,28.0,1.0,1.0,1.0,816,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,24.804118847972173,0.942049078803373
3,2022/23,selected_layer,250.0,40.0,28.0,1.0,1.0,1.0,804,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,23.674136390009064,0.9433797049972867
3,2022/23,strict_challenger,250.0,40.0,28.0,1.0,0.95,0.85,804,0.1653481612357248,0.6342087482702374,1.4637790264585755e-15,28.75006685818367,105.57648074241274,22.852424891147887,0.9507130307411498
3,2022/23,reference_065_045,250.0,40.0,28.0,1.0,0.65,0.45,804,0.1658932626695766,0.6357330523941552,-4.879263421528585e-16,22.20944478252675,81.51561085303547,22.852424891147887,0.9727187000755152
3,2022/23,core_baseline,250.0,40.0,28.0,1.0,1.0,1.0,804,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,23.674136390009064,0.9433797049972867
4,2023/24,selected_layer,250.0,40.0,28.0,1.0,1.0,1.0,806,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,24.94495524066176,0.9376972949432089
4,2023/24,strict_challenger,250.0,40.0,28.0,1.0,0.95,0.85,806,0.15785311630047485,0.6103828080668477,-9.71682373689026e-16,25.959787017240572,81.36148435636471,23.638556154522703,0.9472353537553065
4,2023/24,reference_065_045,250.0,40.0,28.0,1.0,0.65,0.45,806,0.15825840939189365,0.6111916481429934,-4.85841186844513e-16,19.838982181697503,81.36148435636471,23.638556154522703,0.9714541933882636
4,2023/24,core_baseline,250.0,40.0,28.0,1.0,1.0,1.0,806,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,24.94495524066176,0.9376972949432089
5,2024/25,selected_layer,225.0,40.0,28.0,1.0,1.0,1.0,957,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,25.031501320787683,0.9385119620937886
5,2024/25,strict_challenger,225.0,40.0,28.0,1.0,0.95,0.85,957,0.1695077880619498,0.623430918254502,-1.9268955546036615e-15,29.09138744630458,100.45003940752144,23.784461740709286,0.9467477986186875
5,2024/25,reference_065_045,225.0,40.0,28.0,1.0,0.65,0.45,957,0.1693679529521332,0.623114281727796,0.0,23.33443601549888,100.45003940752144,23.14307156596562,0.9698831864224187
5,2024/25,core_baseline,225.0,40.0,28.0,1.0,1.0,1.0,957,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,25.031501320787683,0.9385119620937886
6,2025/26,selected_layer,225.0,40.0,28.0,1.0,0.95,0.7,961,0.17460202486241788,0.6381758989664829,-3.3720672205564077e-15,30.090369797968833,97.73433267843961,23.987560048512638,0.9567976920302921
6,2025/26,strict_challenger,225.0,40.0,28.0,1.0,0.95,0.7,961,0.17460202486241788,0.6381758989664829,-3.3720672205564077e-15,30.090369797968833,97.73433267843961,23.987560048512638,0.9567976920302921
6,2025/26,reference_065_045,225.0,40.0,28.0,1.0,0.65,0.45,961,0.17498305975215592,0.639016277029767,-9.634477773018308e-16,25.01843445082195,97.73433267843961,23.987560048512638,0.9717237192274507
6,2025/26,core_baseline,225.0,40.0,28.0,1.0,1.0,1.0,961,0.17502625928306767,0.6390812969931885,-3.3720672205564077e-15,33.30075024418177,97.73433267843961,24.613461623418893,0.9418661870569277
