phase,model,matches,brier,log_loss
KNOCKOUT,static_start_only,51,0.1843958572250176,0.6817127668427863
KNOCKOUT,dynamic_season_reset,51,0.18179834854145854,0.6752026002935344
KNOCKOUT,dynamic_carry_050,51,0.18632766892818498,0.6837420121986141
KNOCKOUT,dynamic_carry_085_current,51,0.1944517556906861,0.7043743901910179
KNOCKOUT,dynamic_carry_100,51,0.20032362538335222,0.7225747855968352
KNOCKOUT,clubelo_external,51,0.16521623441411165,0.6404999620854386
MAIN_STAGE,static_start_only,106,0.18196886379733407,0.6616712943954406
MAIN_STAGE,dynamic_season_reset,106,0.17530359508318755,0.6462050818688554
MAIN_STAGE,dynamic_carry_050,106,0.17275760915987326,0.6398963911186561
MAIN_STAGE,dynamic_carry_085_current,106,0.17303920969412484,0.6412971380578371
MAIN_STAGE,dynamic_carry_100,106,0.1743496055918383,0.6464011634949658
MAIN_STAGE,clubelo_external,106,0.1598976874020923,0.6115536680219613
QUALIFYING,static_start_only,14,0.09449620121164859,0.46922962828425563
QUALIFYING,dynamic_season_reset,14,0.08762892541522158,0.4549787768467276
QUALIFYING,dynamic_carry_050,14,0.07844593234782138,0.43367204681935956
QUALIFYING,dynamic_carry_085_current,14,0.07169447148172417,0.418006229976916
QUALIFYING,dynamic_carry_100,14,0.06895943166995276,0.4115250629468292
QUALIFYING,clubelo_external,14,0.10270012580980427,0.49639993700656976
