fold,test_season,model,matches,brier,log_loss
1,2020/21,selected_ucl_scale,32,0.1320076117431388,0.5919408467282474
1,2020/21,baseline_scale_225,32,0.12687245071566244,0.5793074085404395
1,2020/21,clubelo_external,32,0.11180261093289649,0.552175063619817
2,2021/22,selected_ucl_scale,35,0.17068278354685182,0.6600124062127248
2,2021/22,baseline_scale_225,35,0.17953113361668072,0.677577378282523
2,2021/22,clubelo_external,35,0.16138310401867492,0.6391061449861885
3,2022/23,selected_ucl_scale,28,0.16082099900700866,0.5614749130939817
3,2022/23,baseline_scale_225,28,0.14471813924429555,0.5164001029491578
3,2022/23,clubelo_external,28,0.15064170275449396,0.5360590049226975
4,2023/24,selected_ucl_scale,36,0.14520299799163008,0.590711289345912
4,2023/24,baseline_scale_225,36,0.14360677915829226,0.5929535589359742
4,2023/24,clubelo_external,36,0.1292100844262466,0.5577506019474202
5,2024/25,selected_ucl_scale,40,0.22516513898605545,0.7469110219455326
5,2024/25,baseline_scale_225,40,0.24243645801306365,0.7923525359023899
5,2024/25,clubelo_external,40,0.2179340418525429,0.7328198769120962
