model,probability_band,matches,mean_prediction,mean_actual_score,calibration_gap
selected_ucl_scale,"(0.2, 0.4]",28,0.31920606718607897,0.32142857142857145,-0.0022225042424924846
selected_ucl_scale,"(0.4, 0.6]",74,0.5171439879126178,0.4864864864864865,0.03065750142613133
selected_ucl_scale,"(0.6, 0.8]",56,0.6827251397578014,0.6160714285714286,0.06665371118637275
selected_ucl_scale,"(0.8, 1.0]",13,0.8287166596059947,0.8461538461538461,-0.017437186547851424
baseline_scale_225,"(-0.001, 0.2]",10,0.15812971833020426,0.3,-0.14187028166979573
baseline_scale_225,"(0.2, 0.4]",29,0.31731012745163634,0.3103448275862069,0.006965299865429431
baseline_scale_225,"(0.4, 0.6]",43,0.5198115180424427,0.4883720930232558,0.03143942501918695
baseline_scale_225,"(0.6, 0.8]",55,0.6851359315988131,0.5454545454545454,0.13968138614426773
baseline_scale_225,"(0.8, 1.0]",34,0.8714496992071465,0.8088235294117647,0.06262616979538183
clubelo_external,"(-0.001, 0.2]",6,0.15707958943700992,0.08333333333333333,0.07374625610367659
clubelo_external,"(0.2, 0.4]",41,0.3092715800448954,0.36585365853658536,-0.05658207849168995
clubelo_external,"(0.4, 0.6]",48,0.5155224652063728,0.3645833333333333,0.15093913187303948
clubelo_external,"(0.6, 0.8]",53,0.6988513331320629,0.7358490566037735,-0.0369977234717106
clubelo_external,"(0.8, 1.0]",23,0.8533570207891074,0.8043478260869565,0.049009194702150816
