competition,stage,competition_multiplier,stage_multiplier,reserve_at_winner_probability_0_50,is_trophy_reserve
UCL,QUALIFYING,1.0,1.0,0.0,False
UCL,KNOCKOUT_PLAYOFF,1.0,1.0,0.0,False
UCL,ROUND_OF_16,1.0,1.0,0.0,False
UCL,QUARTERFINAL,1.0,1.0,0.0,False
UCL,SEMIFINAL,1.0,1.0,0.0,False
UCL,FINAL,1.0,1.0,0.0,True
UEL,QUALIFYING,0.65,1.0,0.0,False
UEL,KNOCKOUT_PLAYOFF,0.65,1.0,0.0,False
UEL,ROUND_OF_16,0.65,1.0,0.0,False
UEL,QUARTERFINAL,0.65,1.0,0.0,False
UEL,SEMIFINAL,0.65,1.0,0.0,False
UEL,FINAL,0.65,1.0,0.0,True
UECL,QUALIFYING,0.45,1.0,0.0,False
UECL,KNOCKOUT_PLAYOFF,0.45,1.0,0.0,False
UECL,ROUND_OF_16,0.45,1.0,0.0,False
UECL,QUARTERFINAL,0.45,1.0,0.0,False
UECL,SEMIFINAL,0.45,1.0,0.0,False
UECL,FINAL,0.45,1.0,0.0,True
