fold,test_season,model,reserve_base,uel_multiplier,uecl_multiplier,stage_profile,reserve_decay,matches,brier,log_loss,advance_reserve_added,trophy_reserve_added,max_reserve,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation
1,2020/21,achievement_reserve,0.0,0.65,0.45,FLAT,0.0,540,0.1649696076944384,0.596014341181571,0.0,0.0,0.0,4.547473508864641e-13,432.8579741903004,0.9533262779473513
1,2020/21,matched_power_goal,0.0,0.65,0.45,FLAT,0.0,540,0.1649696076944384,0.596014341181571,0.0,0.0,0.0,4.547473508864641e-13,432.8579741903004,0.9533262779473513
2,2021/22,achievement_reserve,0.0,0.65,0.45,FLAT,0.0,816,0.15630735606899296,0.6156797591585403,0.0,0.0,0.0,9.094947017729282e-13,398.78154066545676,0.9277213567254835
2,2021/22,matched_power_goal,0.0,0.65,0.45,FLAT,0.0,816,0.15630735606899296,0.6156797591585403,0.0,0.0,0.0,9.094947017729282e-13,398.78154066545676,0.9277213567254835
3,2022/23,achievement_reserve,0.0,0.65,0.45,FLAT,0.0,804,0.16224447255919747,0.6270093518726129,0.0,0.0,0.0,4.547473508864641e-13,480.29908351571703,0.9232884795634537
3,2022/23,matched_power_goal,0.0,0.65,0.45,FLAT,0.0,804,0.16224447255919747,0.6270093518726129,0.0,0.0,0.0,4.547473508864641e-13,480.29908351571703,0.9232884795634537
4,2023/24,achievement_reserve,0.0,0.65,0.45,FLAT,0.0,806,0.15349782877458665,0.6000941446736606,0.0,0.0,0.0,9.094947017729282e-13,470.8783248264631,0.9115734659520616
4,2023/24,matched_power_goal,0.0,0.65,0.45,FLAT,0.0,806,0.15349782877458665,0.6000941446736606,0.0,0.0,0.0,9.094947017729282e-13,470.8783248264631,0.9115734659520616
5,2024/25,achievement_reserve,0.0,0.65,0.45,FLAT,0.0,957,0.16945570800217064,0.6231304937165408,0.0,0.0,0.0,9.094947017729282e-13,434.13307299931284,0.9045104922238401
5,2024/25,matched_power_goal,0.0,0.65,0.45,FLAT,0.0,957,0.16945570800217064,0.6231304937165408,0.0,0.0,0.0,9.094947017729282e-13,434.13307299931284,0.9045104922238401
6,2025/26,achievement_reserve,0.0,0.65,0.45,FLAT,0.0,961,0.17057358927073096,0.6286208310300252,0.0,0.0,0.0,9.094947017729282e-13,506.3378533270459,0.908529354033241
6,2025/26,matched_power_goal,0.0,0.65,0.45,FLAT,0.0,961,0.17057358927073096,0.6286208310300252,0.0,0.0,0.0,9.094947017729282e-13,506.3378533270459,0.908529354033241
