fold,test_season,model,power_carry,matches,brier,log_loss,carried_clubs,trophy_bonus_total,mean_reserve,max_reserve,mean_rating_change,rating_change_std,max_abs_rating_change,start_end_rank_correlation
1,2020/21,carry,0.85,540,0.1649696076944384,0.596014341181571,159,0.0,0.0,0.0,-17.29221888386151,117.69404576468388,432.8579741903004,0.9533262779473513
1,2020/21,no_carry,0.0,540,0.16839323247663243,0.6051279384737962,159,0.0,0.0,0.0,-4.796912984034431e-16,90.40532734609805,452.37534277047575,0.9688962046951372
2,2021/22,carry,1.0,816,0.15630735606899296,0.6156797591585403,165,0.0,0.0,0.0,-25.593251156143776,136.3957224230654,398.78154066545676,0.9277213567254835
2,2021/22,no_carry,0.0,816,0.15653935412241296,0.6170184447000278,165,0.0,0.0,0.0,1.535012154891018e-14,104.90516772325871,395.5998578846875,0.9425079192801343
3,2022/23,carry,0.85,804,0.16224447255919744,0.6270093518726129,163,0.0,0.0,0.0,-30.011924199552684,140.10303553517062,480.29908351571703,0.9232884795634537
3,2022/23,no_carry,0.0,804,0.1653657574744966,0.6341303252660881,163,0.0,0.0,0.0,-9.75852684305717e-16,114.883089580055,451.1244346065489,0.9432800931986961
4,2023/24,carry,0.9,806,0.15349782877458665,0.6000941446736604,164,0.0,0.0,0.0,-38.586258595684,144.05858698069187,470.8783248264631,0.9115734659520616
4,2023/24,no_carry,0.0,806,0.15785936015033125,0.610334065358259,164,0.0,0.0,0.0,-2.9150471210670776e-15,104.52731102974046,301.46093659092594,0.9377029143808434
5,2024/25,carry,0.9,957,0.16945570800217064,0.6231304937165408,160,0.0,0.0,0.0,-41.54450656358248,140.31193169067706,434.13307299931284,0.9045104922238401
5,2024/25,no_carry,0.0,957,0.16981149716095761,0.6241145705175567,160,0.0,0.0,0.0,2.4086194432545768e-15,114.26194148618568,376.0882627210967,0.9385119620937886
6,2025/26,carry,0.85,961,0.17057358927073096,0.6286208310300252,164,0.0,0.0,0.0,-45.41039832036394,149.44520799010533,506.3378533270459,0.908529354033241
6,2025/26,no_carry,0.0,961,0.1750262592830677,0.6390812969931888,164,0.0,0.0,0.0,3.853791109207323e-15,123.66588771606423,362.94686823544157,0.9418661870569277
