fold,test_season,model,elo_scale,home_advantage,k_factor,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,start_end_rank_correlation
1,2020/21,dynamic,1021.2418300653596,185.68033273915628,103.98098633392752,540,0.16839323247663243,0.6051279384737962,-4.796912984034431e-16,90.40532734609805,452.37534277047575,0.9688962046951372
1,2020/21,tuned_static,1206.922162804516,222.81639928698755,0.0,540,0.17396200519817429,0.6167526646592836,0.0,0.0,0.0,1.0
2,2021/22,dynamic,928.4016636957815,148.54426619132505,103.98098633392752,816,0.15653935412241296,0.6170184447000278,1.535012154891018e-14,104.90516772325871,395.5998578846875,0.9425079192801343
2,2021/22,tuned_static,1114.0819964349378,148.54426619132505,0.0,816,0.16009214029450125,0.6256222935667265,0.0,0.0,0.0,1.0
3,2022/23,dynamic,928.4016636957815,148.54426619132505,103.98098633392752,804,0.1653657574744966,0.6341303252660881,-9.75852684305717e-16,114.883089580055,451.1244346065489,0.9432800931986961
3,2022/23,tuned_static,1114.0819964349378,185.68033273915628,0.0,804,0.1702472408658016,0.645701645893729,0.0,0.0,0.0,1.0
4,2023/24,dynamic,928.4016636957815,148.54426619132505,103.98098633392752,806,0.15785936015033125,0.610334065358259,-2.9150471210670776e-15,104.52731102974046,301.46093659092594,0.9377029143808434
4,2023/24,tuned_static,1114.0819964349378,185.68033273915628,0.0,806,0.16144823194846217,0.6178116518193927,0.0,0.0,0.0,1.0
5,2024/25,dynamic,835.5614973262034,148.54426619132505,103.98098633392752,957,0.16981149716095761,0.6241145705175567,2.4086194432545768e-15,114.26194148618568,376.0882627210967,0.9385119620937886
5,2024/25,tuned_static,1114.0819964349378,185.68033273915628,0.0,957,0.17278869759620638,0.6310577448633434,0.0,0.0,0.0,1.0
6,2025/26,dynamic,835.5614973262034,148.54426619132505,103.98098633392752,961,0.1750262592830677,0.6390812969931888,3.853791109207323e-15,123.66588771606423,362.94686823544157,0.9418661870569277
6,2025/26,tuned_static,1114.0819964349378,185.68033273915628,0.0,961,0.1789205993571501,0.6470071076402142,0.0,0.0,0.0,1.0
