candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count,raw_score_spearman
c0_e0_x0,2018/19,UCL,79,0.5470318931232508,0.6995736306985897,0.6,0.21054318218234258,1,0.6582278481012658,0.0,0,0.5486993683339222
c0_e0_x0,2018/19,UEL,213,0.464101399423079,0.6607422661951023,0.5740740740740741,0.2343450373603121,30,0.218075117370892,0.1560250391236307,4,0.3983467307048803
c0_e0_x0,2019/20,UCL,79,0.45187052816305506,0.6590389016018307,0.5,0.24355071302675851,3,0.2679324894514768,0.02742616033755273,0,0.43859906837068213
c0_e0_x0,2019/20,UEL,213,0.4142463701700689,0.6397801412101171,0.42592592592592593,0.2537415415812559,25,0.2535211267605634,0.18957746478873239,6,0.36647477459937855
c0_e0_x0,2020/21,UCL,79,0.4508295513791123,0.6562398175301402,0.55,0.2382630988623618,1,0.07594936708860761,0.07594936708860761,0,0.47436658147735195
c0_e0_x0,2020/21,UEL,213,0.4277809978927793,0.6531905399375278,0.5740740740740741,0.24388899909629927,34,0.20905827119580225,0.1343551505109086,5,0.42486918696819453
c0_e0_x0,2021/22,UCL,80,0.4644751430314258,0.6586217846935535,0.5,0.24093749999999997,0,0.0,0.0,0,0.4528781510669788
c0_e0_x0,2021/22,UEL,58,0.4742290245762311,0.6636363636363637,0.4,0.23781212841854937,1,0.08620689655172412,0.0,0,0.39378221222270715
c0_e0_x0,2021/22,UECL,181,0.4282813247318579,0.6507394059898098,0.5652173913043478,0.24852721223405877,31,0.2478167884512565,0.16574585635359115,4,0.35534974420328447
c0_e0_x0,2022/23,UCL,78,0.3744411271539174,0.6318257956448912,0.55,0.24983563445101906,2,0.05448717948717949,0.04487179487179488,0,0.3596810580384805
c0_e0_x0,2022/23,UEL,57,0.4339005025775818,0.6461731493099122,0.4,0.23699599876885197,5,0.22280701754385962,0.12456140350877191,0,0.3559737546982147
c0_e0_x0,2022/23,UECL,177,0.445515815608299,0.655479674796748,0.4666666666666667,0.2407673401640652,19,0.22494796312815946,0.14035087719298245,3,0.34510956537959897
c0_e0_x0,2023/24,UCL,78,0.4412084580037935,0.6586586586586587,0.5,0.2271531886916502,2,0.10897435897435898,0.10897435897435898,0,0.4285030794746487
c0_e0_x0,2023/24,UEL,57,0.7125401129201716,0.754242614707731,0.4666666666666667,0.17174515235457066,3,0.2573099415204678,0.023391812865497075,0,0.66644851023963
