fold,model,candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count,raw_score_spearman
1,baseline,c0_e0_x0,2020/21,UCL,79,0.4508295513791123,0.6562398175301402,0.55,0.2382630988623618,1,0.07594936708860761,0.07594936708860761,0,0.47436658147735195
1,baseline,c0_e0_x0,2020/21,UEL,213,0.4277809978927793,0.6531905399375278,0.5740740740740741,0.24388899909629927,34,0.20905827119580225,0.1343551505109086,5,0.42486918696819453
1,selected,c0_e0_x0,2020/21,UCL,79,0.4508295513791123,0.6562398175301402,0.55,0.2382630988623618,1,0.07594936708860761,0.07594936708860761,0,0.47436658147735195
1,selected,c0_e0_x0,2020/21,UEL,213,0.4277809978927793,0.6531905399375278,0.5740740740740741,0.24388899909629927,34,0.20905827119580225,0.1343551505109086,5,0.42486918696819453
2,baseline,c0_e0_x0,2021/22,UCL,80,0.4644751430314258,0.6586217846935535,0.5,0.24093749999999997,0,0.0,0.0,0,0.4528781510669788
2,baseline,c0_e0_x0,2021/22,UEL,58,0.4742290245762311,0.6636363636363637,0.4,0.23781212841854937,1,0.08620689655172412,0.0,0,0.39378221222270715
2,baseline,c0_e0_x0,2021/22,UECL,181,0.4282813247318579,0.6507394059898098,0.5652173913043478,0.24852721223405877,31,0.2478167884512565,0.16574585635359115,4,0.35534974420328447
2,selected,c0_e0_x0,2021/22,UCL,80,0.4644751430314258,0.6586217846935535,0.5,0.24093749999999997,0,0.0,0.0,0,0.4528781510669788
2,selected,c0_e0_x0,2021/22,UEL,58,0.4742290245762311,0.6636363636363637,0.4,0.23781212841854937,1,0.08620689655172412,0.0,0,0.39378221222270715
2,selected,c0_e0_x0,2021/22,UECL,181,0.4282813247318579,0.6507394059898098,0.5652173913043478,0.24852721223405877,31,0.2478167884512565,0.16574585635359115,4,0.35534974420328447
3,baseline,c0_e0_x0,2022/23,UCL,78,0.3744411271539174,0.6318257956448912,0.55,0.24983563445101906,2,0.05448717948717949,0.04487179487179488,0,0.3596810580384805
3,baseline,c0_e0_x0,2022/23,UEL,57,0.4339005025775818,0.6461731493099122,0.4,0.23699599876885197,5,0.22280701754385962,0.12456140350877191,0,0.3559737546982147
3,baseline,c0_e0_x0,2022/23,UECL,177,0.445515815608299,0.655479674796748,0.4666666666666667,0.2407673401640652,19,0.22494796312815946,0.14035087719298245,3,0.34510956537959897
3,selected,c0_e0_x0,2022/23,UCL,78,0.3744411271539174,0.6318257956448912,0.55,0.24983563445101906,2,0.05448717948717949,0.04487179487179488,0,0.3596810580384805
3,selected,c0_e0_x0,2022/23,UEL,57,0.4339005025775818,0.6461731493099122,0.4,0.23699599876885197,5,0.22280701754385962,0.12456140350877191,0,0.3559737546982147
3,selected,c0_e0_x0,2022/23,UECL,177,0.445515815608299,0.655479674796748,0.4666666666666667,0.2407673401640652,19,0.22494796312815946,0.14035087719298245,3,0.34510956537959897
4,baseline,c0_e0_x0,2023/24,UCL,78,0.4412084580037935,0.6586586586586587,0.5,0.2271531886916502,2,0.10897435897435898,0.10897435897435898,0,0.4285030794746487
4,baseline,c0_e0_x0,2023/24,UEL,57,0.7125401129201716,0.754242614707731,0.4666666666666667,0.17174515235457066,3,0.2573099415204678,0.023391812865497075,0,0.66644851023963
4,baseline,c0_e0_x0,2023/24,UECL,178,0.44509989612718864,0.6559748023397828,0.5777777777777777,0.24091023860623653,23,0.2892037127503664,0.18172936003908155,4,0.3502162507537031
4,selected,c0_e0_x0,2023/24,UCL,78,0.4412084580037935,0.6586586586586587,0.5,0.2271531886916502,2,0.10897435897435898,0.10897435897435898,0,0.4285030794746487
4,selected,c0_e0_x0,2023/24,UEL,57,0.7125401129201716,0.754242614707731,0.4666666666666667,0.17174515235457066,3,0.2573099415204678,0.023391812865497075,0,0.66644851023963
4,selected,c0_e0_x0,2023/24,UECL,178,0.44509989612718864,0.6559748023397828,0.5777777777777777,0.24091023860623653,23,0.2892037127503664,0.18172936003908155,4,0.3502162507537031
5,baseline,c0_e0_x0,2024/25,UCL,81,0.5431189784652765,0.694048357098574,0.47619047619047616,0.2168876695625667,6,0.1810699588477366,0.09465020576131687,1,0.4713238154266587
5,baseline,c0_e0_x0,2024/25,UEL,76,0.5286625614086156,0.6865724381625442,0.631578947368421,0.2193559556786704,9,0.2353801169590643,0.14546783625730994,1,0.4414386443961296
5,baseline,c0_e0_x0,2024/25,UECL,164,0.425616924440859,0.6523289333940222,0.4878048780487805,0.2372843545508626,31,0.24685287175452403,0.19099134539732499,7,0.36294339832960587
5,selected,c0_e0_x0,2024/25,UCL,81,0.5431189784652765,0.694048357098574,0.47619047619047616,0.2168876695625667,6,0.1810699588477366,0.09465020576131687,1,0.4713238154266587
5,selected,c0_e0_x0,2024/25,UEL,76,0.5286625614086156,0.6865724381625442,0.631578947368421,0.2193559556786704,9,0.2353801169590643,0.14546783625730994,1,0.4414386443961296
5,selected,c0_e0_x0,2024/25,UECL,164,0.425616924440859,0.6523289333940222,0.4878048780487805,0.2372843545508626,31,0.24685287175452403,0.19099134539732499,7,0.36294339832960587
6,baseline,c0_e0_x0,2025/26,UCL,82,0.4856362284752009,0.6768810679611651,0.42857142857142855,0.23364069006543725,1,0.03658536585365854,0.03658536585365854,0,0.4332182888691667
6,baseline,c0_e0_x0,2025/26,UEL,77,0.40144862817091376,0.6327509421034601,0.55,0.24810254680384553,6,0.19913419913419914,0.10173160173160174,1,0.4300506417158352
6,baseline,c0_e0_x0,2025/26,UECL,164,0.4284730869502619,0.6476421164181364,0.4634146341463415,0.24486912552052348,23,0.23780487804878053,0.15045068928950162,3,0.328474240593087
6,selected,c0_e0_x0,2025/26,UCL,82,0.4856362284752009,0.6768810679611651,0.42857142857142855,0.23364069006543725,1,0.03658536585365854,0.03658536585365854,0,0.4332182888691667
6,selected,c0_e0_x0,2025/26,UEL,77,0.40144862817091376,0.6327509421034601,0.55,0.24810254680384553,6,0.19913419913419914,0.10173160173160174,1,0.4300506417158352
6,selected,c0_e0_x0,2025/26,UECL,164,0.4284730869502619,0.6476421164181364,0.4634146341463415,0.24486912552052348,23,0.23780487804878053,0.15045068928950162,3,0.328474240593087
