fold,test_season,power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
1,2020/21,0.0,ALL,0.28,1.0,1456,0.5798978362710615,0.975193026517132,0.0
1,2020/21,0.0,UCL,0.3,1.5,426,0.5748241743862751,0.9692407219581067,0.029999999999999964
1,2020/21,0.0,UEL,0.26,1.0,1030,0.5812158635608392,0.9766348572159221,0.020000000000000018
1,2020/21,0.25,ALL,0.28,1.0,1456,0.5792651058307824,0.9741815560265019,0.0
1,2020/21,0.25,UCL,0.3,1.5,426,0.5748721006713038,0.9692592568738918,0.029999999999999964
1,2020/21,0.25,UEL,0.26,1.0,1030,0.5803325809209943,0.9753677525679657,0.020000000000000018
1,2020/21,0.5,ALL,0.28,1.0,1456,0.5788673461643918,0.973515693921974,0.0
1,2020/21,0.5,UCL,0.3,1.25,426,0.5752483659861738,0.9694909010352321,0.024999999999999963
1,2020/21,0.5,UEL,0.26,1.0,1030,0.5796874615584146,0.9744348027390988,0.020000000000000018
1,2020/21,0.75,ALL,0.28,1.0,1456,0.5787028077770129,0.9731946964997609,0.0
1,2020/21,0.75,UCL,0.3,1.25,426,0.5757600330889702,0.9700822404258309,0.024999999999999963
1,2020/21,0.75,UEL,0.26,1.0,1030,0.5792790026613172,0.9738354707407948,0.020000000000000018
1,2020/21,0.85,ALL,0.28,1.0,1456,0.578701457066922,0.973162558689459,0.0
1,2020/21,0.85,UCL,0.3,1.25,426,0.5760312919340109,0.9704203712954339,0.024999999999999963
1,2020/21,0.85,UEL,0.26,1.0,1030,0.5791810079980076,0.9736888829896346,0.020000000000000018
1,2020/21,0.9,ALL,0.28,1.0,1456,0.5787144312950709,0.9731670593401172,0.0
1,2020/21,0.9,UCL,0.3,1.25,426,0.5761810334128573,0.9706111238033907,0.024999999999999963
1,2020/21,0.9,UEL,0.26,1.0,1030,0.5791458440990921,0.9736354941125391,0.020000000000000018
1,2020/21,1.0,ALL,0.28,1.0,1456,0.578767434723685,0.9732171132200452,0.0
1,2020/21,1.0,UCL,0.3,1.25,426,0.5765085233121132,0.9710358893146912,0.024999999999999963
1,2020/21,1.0,UEL,0.26,1.0,1030,0.5791029143488512,0.9735684423129111,0.020000000000000018
2,2021/22,0.0,ALL,0.26,1.0,1996,0.5690514503739672,0.9604765746650415,0.020000000000000018
2,2021/22,0.0,UCL,0.28,1.25,604,0.5644111938313358,0.9538708427544774,0.005
2,2021/22,0.0,UEL,0.24,1.0,1392,0.5704289782602466,0.9625074076063748,0.040000000000000036
2,2021/22,0.25,ALL,0.26,1.0,1996,0.5678974842001396,0.9586501087895032,0.020000000000000018
2,2021/22,0.25,UCL,0.28,1.25,604,0.5636024109534905,0.9524479927233953,0.005
2,2021/22,0.25,UEL,0.24,1.0,1392,0.5691278763409018,0.9605940867921633,0.040000000000000036
