fold,test_season,train_seasons,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
1,2020/21,2018/19|2019/20,ALL,0.28,1.0,1456,0.578701457066922,0.973162558689459,0.0
1,2020/21,2018/19|2019/20,UCL,0.3,1.25,426,0.5760312919340109,0.9704203712954339,0.024999999999999963
1,2020/21,2018/19|2019/20,UEL,0.26,1.0,1030,0.5791810079980076,0.9736888829896346,0.020000000000000018
2,2021/22,2018/19|2019/20|2020/21,ALL,0.26,1.0,1996,0.5657734986990237,0.9550759413167286,0.020000000000000018
2,2021/22,2018/19|2019/20|2020/21,UCL,0.28,1.0,604,0.5626872342772703,0.9497915308350503,0.0
2,2021/22,2018/19|2019/20|2020/21,UEL,0.24,1.0,1392,0.5666502891892868,0.9568022870584011,0.040000000000000036
3,2022/23,2018/19|2019/20|2020/21|2021/22,ALL,0.26,1.0,2812,0.5688173955992354,0.9592825526705606,0.020000000000000018
3,2022/23,2018/19|2019/20|2020/21|2021/22,UCL,0.26,1.0,822,0.5552261713754657,0.9389858282771439,0.020000000000000018
3,2022/23,2018/19|2019/20|2020/21|2021/22,UECL,0.26,1.0,423,0.5708375243839786,0.9623580022654113,0.020000000000000018
3,2022/23,2018/19|2019/20|2020/21|2021/22,UEL,0.26,1.0,1567,0.575401615022332,0.9690993952185928,0.020000000000000018
4,2023/24,2018/19|2019/20|2020/21|2021/22|2022/23,ALL,0.26,1.0,3616,0.5725390951802622,0.9646473982853006,0.020000000000000018
4,2023/24,2018/19|2019/20|2020/21|2021/22|2022/23,UCL,0.26,1.0,1036,0.5570453222798338,0.9414297527675833,0.020000000000000018
4,2023/24,2018/19|2019/20|2020/21|2021/22|2022/23,UECL,0.26,1.25,838,0.5811139663383108,0.9778302831284283,0.02500000000000002
4,2023/24,2018/19|2019/20|2020/21|2021/22|2022/23,UEL,0.26,1.0,1742,0.5775875085838218,0.9720582062901819,0.020000000000000018
5,2024/25,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,ALL,0.26,1.0,4422,0.5690724787225816,0.9597613444384221,0.020000000000000018
5,2024/25,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,UCL,0.28,1.0,1250,0.5567146246219578,0.9411316425806537,0.0
5,2024/25,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,UECL,0.26,1.25,1255,0.5723021511543456,0.9653699322400018,0.02500000000000002
5,2024/25,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,UEL,0.26,1.0,1917,0.5748429363150792,0.9682017442685681,0.020000000000000018
6,2025/26,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,ALL,0.26,1.0,5379,0.5690674202127667,0.9602039427836531,0.020000000000000018
6,2025/26,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,UCL,0.26,1.0,1529,0.5567532214250576,0.9416782011585848,0.020000000000000018
6,2025/26,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,UECL,0.26,1.25,1664,0.572972045569404,0.9665083519226279,0.02500000000000002
6,2025/26,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,UEL,0.26,1.0,2186,0.574566256874389,0.968045861758614,0.020000000000000018
