fold,test_season,power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
1,2020/21,0.0,ALL,0.28,1.0,1456,0.5798978362710615,0.975193026517132,0.0
1,2020/21,0.0,UCL,0.3,1.5,426,0.5748241743862751,0.9692407219581067,0.029999999999999964
1,2020/21,0.0,UEL,0.26,1.0,1030,0.5812158635608392,0.9766348572159221,0.020000000000000018
2,2021/22,0.0,ALL,0.26,1.0,1996,0.5690514503739672,0.9604765746650415,0.020000000000000018
2,2021/22,0.0,UCL,0.28,1.25,604,0.5644111938313358,0.9538708427544774,0.005
2,2021/22,0.0,UEL,0.24,1.0,1392,0.5704289782602466,0.9625074076063748,0.040000000000000036
3,2022/23,0.0,ALL,0.26,1.0,2812,0.5712514269429629,0.9636323224905547,0.020000000000000018
3,2022/23,0.0,UCL,0.26,1.0,822,0.5574474691827488,0.9439065087132698,0.020000000000000018
3,2022/23,0.0,UECL,0.28,1.5,423,0.5673287783666086,0.9584487437809407,0.01
3,2022/23,0.0,UEL,0.24,1.0,1567,0.5794105546394681,0.9752248831538751,0.040000000000000036
4,2023/24,0.0,ALL,0.26,1.0,3616,0.5759806927757087,0.9703148539139947,0.020000000000000018
4,2023/24,0.0,UCL,0.26,1.0,1036,0.5612262572591437,0.9490037897954834,0.020000000000000018
4,2023/24,0.0,UECL,0.26,1.25,838,0.5804265773067786,0.9772872956229754,0.02500000000000002
4,2023/24,0.0,UEL,0.26,1.0,1742,0.5824716601537052,0.9794594667553934,0.020000000000000018
5,2024/25,0.0,ALL,0.26,1.0,4422,0.5741441341156805,0.9677233150313906,0.020000000000000018
5,2024/25,0.0,UCL,0.26,1.0,1250,0.5643866235922264,0.9531201195552527,0.020000000000000018
5,2024/25,0.0,UECL,0.26,1.25,1255,0.5751789212687191,0.969965376735421,0.02500000000000002
5,2024/25,0.0,UEL,0.26,1.0,1917,0.5797171082146876,0.9756531523355526,0.020000000000000018
6,2025/26,0.0,ALL,0.26,1.0,5379,0.5736519991365848,0.9672382016970347,0.020000000000000018
6,2025/26,0.0,UCL,0.26,1.0,1529,0.5615959357463522,0.9491077830325089,0.020000000000000018
6,2025/26,0.0,UECL,0.26,1.25,1664,0.5758395611302815,0.9708364662565271,0.02500000000000002
6,2025/26,0.0,UEL,0.26,1.0,2186,0.5802345301365511,0.9768094322986522,0.020000000000000018
