fold,test_season,power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
1,2020/21,0.0,ALL,0.28,1.0,1456,0.5798978362710615,0.975193026517132,0.0
1,2020/21,0.0,ALL,0.26,1.0,1456,0.579991619198941,0.9752384010284602,0.020000000000000018
1,2020/21,0.0,ALL,0.28,1.25,1456,0.5798788002501521,0.9753519776022093,0.005
1,2020/21,0.0,ALL,0.26,1.25,1456,0.5802752209907505,0.9761309761140523,0.02500000000000002
1,2020/21,0.0,ALL,0.3,1.25,1456,0.5803472439686745,0.9762343291689244,0.024999999999999963
1,2020/21,0.0,ALL,0.28,1.5,1456,0.5801435832715657,0.9762921006553802,0.01
1,2020/21,0.0,ALL,0.3,1.5,1456,0.5803288365845526,0.9764987914587917,0.029999999999999964
1,2020/21,0.0,ALL,0.3,1.0,1456,0.5807152682787551,0.9768581725967517,0.019999999999999962
1,2020/21,0.0,ALL,0.24,1.0,1456,0.5809966170623935,0.9771500307996036,0.040000000000000036
1,2020/21,0.0,ALL,0.26,1.5,1456,0.5807829139539006,0.9777097667928399,0.03000000000000002
1,2020/21,0.0,ALL,0.32,1.5,1456,0.581338673892861,0.9782041704412016,0.04999999999999998
1,2020/21,0.0,ALL,0.32,1.25,1456,0.5816805521463178,0.978656801227547,0.04499999999999998
1,2020/21,0.0,ALL,0.24,1.25,1456,0.5815365061904697,0.9787328907652494,0.04500000000000003
1,2020/21,0.0,ALL,0.3,2.0,1456,0.5809761594903659,0.9790803467995158,0.039999999999999966
1,2020/21,0.0,ALL,0.32,2.0,1456,0.5814948312277741,0.9796005490489468,0.059999999999999984
1,2020/21,0.0,ALL,0.28,2.0,1456,0.5812152816943683,0.9799999488011617,0.02
1,2020/21,0.0,ALL,0.32,1.0,1456,0.5824439152220218,0.9801196775198393,0.03999999999999998
1,2020/21,0.0,ALL,0.24,1.5,1456,0.5822468286315571,0.9809171338502514,0.05000000000000004
1,2020/21,0.0,ALL,0.22,1.0,1456,0.582912829861419,0.9811373921253389,0.060000000000000026
1,2020/21,0.0,ALL,0.34,1.5,1456,0.583173095196491,0.981313671975136,0.06999999999999999
1,2020/21,0.0,ALL,0.34,2.0,1456,0.5827712969065929,0.9814597280810027,0.08
1,2020/21,0.0,ALL,0.26,2.0,1456,0.5822121978397814,0.9824904458285956,0.04000000000000002
1,2020/21,0.0,ALL,0.34,1.25,1456,0.5838787247830818,0.9825300857771655,0.065
1,2020/21,0.0,ALL,0.22,1.25,1456,0.5836626558493095,0.9833720605948093,0.06500000000000003
1,2020/21,0.0,ALL,0.36,2.0,1456,0.5848055565268225,0.9845812286285397,0.09999999999999996
1,2020/21,0.0,ALL,0.34,1.0,1456,0.5850837771008615,0.9848969027036181,0.06
1,2020/21,0.0,ALL,0.36,1.5,1456,0.5858321004954427,0.9857579185331081,0.08999999999999996
1,2020/21,0.0,ALL,0.22,1.5,1456,0.5845353273045351,0.9861317794500801,0.07000000000000002
1,2020/21,0.0,ALL,0.24,2.0,1456,0.5839669079266052,0.9867219042717346,0.06000000000000004
1,2020/21,0.0,ALL,0.2,1.0,1456,0.5857402575960177,0.98748218743943,0.08000000000000002
1,2020/21,0.0,ALL,0.36,1.25,1456,0.5869417618789665,0.9877910864813532,0.08499999999999996
1,2020/21,0.0,ALL,0.38,2.0,1456,0.5875976100884627,0.9889082733582398,0.11999999999999998
1,2020/21,0.0,ALL,0.2,1.25,1456,0.5866536699672703,0.9903342819840748,0.08500000000000002
1,2020/21,0.0,ALL,0.36,1.0,1456,0.5886348539152741,0.9911375305880714,0.07999999999999996
1,2020/21,0.0,ALL,0.38,1.5,1456,0.5893156897897159,0.9914886496354726,0.10999999999999997
1,2020/21,0.0,ALL,0.22,2.0,1456,0.5864794119548395,0.9929160372368109,0.08000000000000003
1,2020/21,0.0,ALL,0.2,1.5,1456,0.5876484099728349,0.9936422948273642,0.09000000000000001
1,2020/21,0.0,ALL,0.38,1.25,1456,0.5908696634339722,0.9943991188038878,0.10499999999999998
1,2020/21,0.0,ALL,0.18,1.0,1456,0.5894789002661892,0.9965670238328993,0.10000000000000003
1,2020/21,0.0,ALL,0.38,1.0,1456,0.5930971456652601,0.9988144872120045,0.09999999999999998
1,2020/21,0.0,ALL,0.18,1.25,1456,0.5905095485443519,1.0000056386306657,0.10500000000000004
1,2020/21,0.0,ALL,0.2,2.0,1456,0.5897497099244845,1.0013650757996573,0.10000000000000002
1,2020/21,0.0,ALL,0.18,1.5,1456,0.5915860766364561,1.0038371905289902,0.11000000000000003
1,2020/21,0.0,ALL,0.18,2.0,1456,0.5937778018355403,1.0124607492257787,0.12000000000000004
1,2020/21,0.0,UCL,0.3,1.5,426,0.5748241743862751,0.9692407219581067,0.029999999999999964
1,2020/21,0.0,UCL,0.32,1.5,426,0.5745705705250029,0.969353417414292,0.04999999999999998
1,2020/21,0.0,UCL,0.3,1.25,426,0.5749522651802189,0.9694040874436144,0.024999999999999963
1,2020/21,0.0,UCL,0.28,1.25,426,0.575666229373305,0.9700425654829244,0.005
1,2020/21,0.0,UCL,0.32,2.0,426,0.5746554781623584,0.9701748740542149,0.059999999999999984
1,2020/21,0.0,UCL,0.34,2.0,426,0.574576550977225,0.9702906874709243,0.08
1,2020/21,0.0,UCL,0.32,1.25,426,0.575058110005971,0.970344922730628,0.04499999999999998
1,2020/21,0.0,UCL,0.28,1.0,426,0.5758429406007758,0.970365702451768,0.0
1,2020/21,0.0,UCL,0.3,1.0,426,0.5755252522893858,0.9706348493893937,0.019999999999999962
1,2020/21,0.0,UCL,0.28,1.5,426,0.5758537236037903,0.970658553932922,0.01
1,2020/21,0.0,UCL,0.34,1.5,426,0.5750929120199737,0.9708956237526608,0.06999999999999999
1,2020/21,0.0,UCL,0.3,2.0,426,0.5754389888910949,0.9714134550525001,0.039999999999999966
1,2020/21,0.0,UCL,0.36,2.0,426,0.5752022073356948,0.9716776538767588,0.09999999999999996
1,2020/21,0.0,UCL,0.26,1.0,426,0.577031591751159,0.9718619928756762,0.020000000000000018
1,2020/21,0.0,UCL,0.26,1.25,426,0.5772000025852294,0.972388539876546,0.02500000000000002
1,2020/21,0.0,UCL,0.32,1.0,426,0.5760785268169889,0.9725497152168966,0.03999999999999998
1,2020/21,0.0,UCL,0.34,1.25,426,0.5759837638505612,0.9727704064485483,0.065
1,2020/21,0.0,UCL,0.26,1.5,426,0.5776592181775485,0.9737404434395998,0.03000000000000002
1,2020/21,0.0,UCL,0.36,1.5,426,0.5763911988711876,0.9737926339013854,0.08999999999999996
1,2020/21,0.0,UCL,0.28,2.0,426,0.5769270831634346,0.9741147793478394,0.02
1,2020/21,0.0,UCL,0.38,2.0,426,0.5765324472377676,0.9742731054373301,0.11999999999999998
1,2020/21,0.0,UCL,0.24,1.0,426,0.5790912057405352,0.9752872413139992,0.040000000000000036
1,2020/21,0.0,UCL,0.34,1.0,426,0.5775027641835851,0.9760260242150933,0.06
1,2020/21,0.0,UCL,0.24,1.25,426,0.5795535848159918,0.9766125081518962,0.04500000000000003
1,2020/21,0.0,UCL,0.36,1.25,426,0.5777292267139895,0.9766134430943358,0.08499999999999996
1,2020/21,0.0,UCL,0.38,1.5,426,0.5784654310786443,0.9779917819747104,0.10999999999999997
1,2020/21,0.0,UCL,0.26,2.0,426,0.5791197609793772,0.9784187166915476,0.04000000000000002
1,2020/21,0.0,UCL,0.24,1.5,426,0.5802406581075498,0.9786614256488857,0.05000000000000004
1,2020/21,0.0,UCL,0.22,1.0,426,0.5820217825689048,0.9808614702967607,0.060000000000000026
1,2020/21,0.0,UCL,0.36,1.0,426,0.5797979643891747,0.9810095994832168,0.07999999999999996
1,2020/21,0.0,UCL,0.38,1.25,426,0.580294498596256,0.9818305768260523,0.10499999999999998
1,2020/21,0.0,UCL,0.22,1.25,426,0.5827269760655924,0.9829403035617275,0.06500000000000003
1,2020/21,0.0,UCL,0.24,2.0,426,0.5820170223389232,0.9845058158258115,0.06000000000000004
1,2020/21,0.0,UCL,0.22,1.5,426,0.583598043393794,0.9856512129971579,0.07000000000000002
1,2020/21,0.0,UCL,0.38,1.0,426,0.5829641274337573,0.9874732880717402,0.09999999999999998
1,2020/21,0.0,UCL,0.2,1.0,426,0.5858233222362674,0.98888054181568,0.08000000000000002
1,2020/21,0.0,UCL,0.2,1.25,426,0.5867201763340313,0.9916726731750205,0.08500000000000002
1,2020/21,0.0,UCL,0.22,2.0,426,0.5856188672420722,0.9926106104533224,0.08000000000000003
1,2020/21,0.0,UCL,0.2,1.5,426,0.5877313740362811,0.9950138913671911,0.09000000000000001
1,2020/21,0.0,UCL,0.18,1.0,426,0.5904958247426233,0.9997461950638388,0.10000000000000003
1,2020/21,0.0,UCL,0.2,2.0,426,0.5899252956888245,1.0030414237160918,0.10000000000000002
1,2020/21,0.0,UCL,0.18,1.25,426,0.5915331856213083,1.0032154981697403,0.10500000000000004
1,2020/21,0.0,UCL,0.18,1.5,426,0.5926406500350114,1.0071582336936447,0.11000000000000003
1,2020/21,0.0,UCL,0.18,2.0,426,0.5949363076791797,1.0162107701450545,0.12000000000000004
1,2020/21,0.0,UEL,0.26,1.0,1030,0.5812158635608392,0.9766348572159221,0.020000000000000018
1,2020/21,0.0,UEL,0.28,1.0,1030,0.5815749096259564,0.9771895702567872,0.0
1,2020/21,0.0,UEL,0.28,1.25,1030,0.581621086845819,0.9775479092165928,0.005
1,2020/21,0.0,UEL,0.26,1.25,1030,0.5815471074380826,0.9776788186744189,0.02500000000000002
1,2020/21,0.0,UEL,0.24,1.0,1030,0.5817846803858029,0.9779204660625815,0.040000000000000036
1,2020/21,0.0,UEL,0.28,1.5,1030,0.5819178359108593,0.9786220918240861,0.01
1,2020/21,0.0,UEL,0.3,1.25,1030,0.582578565292832,0.9790592640960918,0.024999999999999963
1,2020/21,0.0,UEL,0.26,1.5,1030,0.5820748502652852,0.979351448102044,0.03000000000000002
1,2020/21,0.0,UEL,0.3,1.0,1030,0.5828618185811546,0.979432090738824,0.019999999999999962
1,2020/21,0.0,UEL,0.3,1.5,1030,0.5826055221151022,0.9795006726309198,0.029999999999999964
1,2020/21,0.0,UEL,0.24,1.25,1030,0.5823566270696225,0.9796098645451411,0.04500000000000003
1,2020/21,0.0,UEL,0.22,1.0,1030,0.5832813601008473,0.9812515112505567,0.060000000000000026
1,2020/21,0.0,UEL,0.24,1.5,1030,0.5830765651783795,0.9818500772422726,0.05000000000000004
1,2020/21,0.0,UEL,0.32,1.5,1030,0.5841379088780139,0.9818647731494182,0.04999999999999998
1,2020/21,0.0,UEL,0.32,1.25,1030,0.5844195427791213,0.982094529615593,0.04499999999999998
1,2020/21,0.0,UEL,0.3,2.0,1030,0.5832662902430741,0.9822513136774077,0.039999999999999966
1,2020/21,0.0,UEL,0.28,2.0,1030,0.5829888473003662,0.9824340091770019,0.02
1,2020/21,0.0,UEL,0.32,1.0,1030,0.5850765904264335,0.9832505551325129,0.03999999999999998
1,2020/21,0.0,UEL,0.32,2.0,1030,0.5843235345344412,0.9834989350176415,0.059999999999999984
1,2020/21,0.0,UEL,0.22,1.25,1030,0.5840496457404393,0.9835506319502393,0.06500000000000003
1,2020/21,0.0,UEL,0.26,2.0,1030,0.5834912057063175,0.9841744813745981,0.04000000000000002
1,2020/21,0.0,UEL,0.34,1.5,1030,0.5865149961995942,0.9856224958030722,0.06999999999999999
1,2020/21,0.0,UEL,0.34,2.0,1030,0.5861605801744676,0.986079156527501,0.08
1,2020/21,0.0,UEL,0.22,1.5,1030,0.5849229806501427,0.9863305380024538,0.07000000000000002
1,2020/21,0.0,UEL,0.34,1.25,1030,0.5871440193046874,0.986566613344147,0.065
1,2020/21,0.0,UEL,0.2,1.0,1030,0.5857059027059726,0.9869038389304178,0.08000000000000002
1,2020/21,0.0,UEL,0.24,2.0,1030,0.584773365460928,0.9876384612406309,0.06000000000000004
1,2020/21,0.0,UEL,0.34,1.0,1030,0.5882192251617933,0.9885658291464449,0.06
1,2020/21,0.0,UEL,0.2,1.25,1030,0.5866261634505323,0.9897807337827712,0.08500000000000002
1,2020/21,0.0,UEL,0.36,2.0,1030,0.5887774271631531,0.9899180469239366,0.09999999999999996
1,2020/21,0.0,UEL,0.36,1.5,1030,0.5897367840798432,0.9907066673225392,0.08999999999999996
1,2020/21,0.0,UEL,0.36,1.25,1030,0.5907519948695299,0.9924140729695761,0.08499999999999996
1,2020/21,0.0,UEL,0.22,2.0,1030,0.5868353265641977,0.9930423593822147,0.08000000000000003
1,2020/21,0.0,UEL,0.2,1.5,1030,0.5876140966805745,0.9930750131516689,0.09000000000000001
1,2020/21,0.0,UEL,0.38,2.0,1030,0.5921740755004978,0.9949612651391208,0.11999999999999998
1,2020/21,0.0,UEL,0.18,1.0,1030,0.5890583082011787,0.995252143304375,0.10000000000000003
1,2020/21,0.0,UEL,0.36,1.0,1030,0.5922897227872338,0.9953263642294969,0.07999999999999996
1,2020/21,0.0,UEL,0.38,1.5,1030,0.5938032725187611,0.9970708492699237,0.10999999999999997
1,2020/21,0.0,UEL,0.18,1.25,1030,0.590086180199902,0.9986780656562525,0.10500000000000004
1,2020/21,0.0,UEL,0.38,1.25,1030,0.595243469473649,0.9995973701461769,0.10499999999999998
1,2020/21,0.0,UEL,0.2,2.0,1030,0.5896770890161266,1.0006717513215977,0.10000000000000002
1,2020/21,0.0,UEL,0.18,1.5,1030,0.591149913269675,1.0024636328705991,0.11000000000000003
1,2020/21,0.0,UEL,0.38,1.0,1030,0.5972880833027553,1.0035051190894342,0.09999999999999998
1,2020/21,0.0,UEL,0.18,2.0,1030,0.5932986528167147,1.0109097696999423,0.12000000000000004
1,2020/21,0.25,ALL,0.28,1.0,1456,0.5792651058307824,0.9741815560265019,0.0
1,2020/21,0.25,ALL,0.26,1.0,1456,0.5793696231455036,0.974257095687117,0.020000000000000018
1,2020/21,0.25,ALL,0.28,1.25,1456,0.5792542165081257,0.9743718812756772,0.005
1,2020/21,0.25,ALL,0.26,1.25,1456,0.579661733345365,0.9751803777301489,0.02500000000000002
1,2020/21,0.25,ALL,0.3,1.25,1456,0.5797100937742962,0.9752236558639831,0.024999999999999963
1,2020/21,0.25,ALL,0.28,1.5,1456,0.5795294400349293,0.975343837356918,0.01
1,2020/21,0.25,ALL,0.3,1.5,1456,0.5797020452779519,0.9755205907100221,0.029999999999999964
1,2020/21,0.25,ALL,0.3,1.0,1456,0.5800704782677409,0.9758152500615994,0.019999999999999962
1,2020/21,0.25,ALL,0.24,1.0,1456,0.5803840302119048,0.9761977067418166,0.040000000000000036
1,2020/21,0.25,ALL,0.26,1.5,1456,0.5801798381157843,0.9767904972823152,0.03000000000000002
1,2020/21,0.25,ALL,0.32,1.5,1456,0.5806976538448517,0.9771950258957762,0.04999999999999998
1,2020/21,0.25,ALL,0.32,1.25,1456,0.5810293651438763,0.9776143905380019,0.04499999999999998
1,2020/21,0.25,ALL,0.24,1.25,1456,0.5809326442860138,0.9778107836196839,0.04500000000000003
1,2020/21,0.25,ALL,0.3,2.0,1456,0.5803750428218987,0.9781692238573876,0.039999999999999966
1,2020/21,0.25,ALL,0.32,2.0,1456,0.5808800362587978,0.978659841224947,0.059999999999999984
1,2020/21,0.25,ALL,0.32,1.0,1456,0.5817857404563797,0.9790438967410285,0.03999999999999998
1,2020/21,0.25,ALL,0.28,2.0,1456,0.5806261175047609,0.9791176257472199,0.02
1,2020/21,0.25,ALL,0.24,1.5,1456,0.581653239520517,0.9800259707972871,0.05000000000000004
1,2020/21,0.25,ALL,0.22,1.0,1456,0.5823083270299859,0.9802129552940826,0.060000000000000026
1,2020/21,0.25,ALL,0.34,1.5,1456,0.5825162657356292,0.9802725071417446,0.06999999999999999
1,2020/21,0.25,ALL,0.34,2.0,1456,0.582141097815458,0.98048860721784,0.08
1,2020/21,0.25,ALL,0.34,1.25,1456,0.583212030616866,0.9814546851941179,0.065
1,2020/21,0.25,ALL,0.26,2.0,1456,0.5816332603073842,0.9816361768921421,0.04000000000000002
1,2020/21,0.25,ALL,0.22,1.25,1456,0.5830669493300723,0.9824775026425421,0.06500000000000003
1,2020/21,0.25,ALL,0.36,2.0,1456,0.5841582274918792,0.9835788187822714,0.09999999999999996
1,2020/21,0.25,ALL,0.34,1.0,1456,0.584410892396698,0.9837867178361358,0.06
