fold,test_season,competition,matches,home_probability,draw_probability,away_probability
1,2020/21,ALL,1456,0.4722412611377656,0.23303632625085674,0.29472241261137766
1,2020/21,UCL,426,0.4289044289044289,0.24475524475524477,0.32634032634032634
1,2020/21,UEL,1030,0.4898354307841239,0.22846079380445306,0.28170377541142305
2,2021/22,ALL,1996,0.46973486743371684,0.21360680340170085,0.3166583291645823
2,2021/22,UCL,604,0.4332784184514003,0.2257001647446458,0.34102141680395387
2,2021/22,UEL,1392,0.4853046594982079,0.2086021505376344,0.3060931899641577
3,2022/23,ALL,2812,0.47104795737122557,0.21847246891651864,0.31047957371225576
3,2022/23,UCL,822,0.44606060606060605,0.21696969696969698,0.336969696969697
3,2022/23,UECL,423,0.4859154929577465,0.2300469483568075,0.284037558685446
3,2022/23,UEL,1567,0.47961783439490446,0.21656050955414013,0.3038216560509554
4,2023/24,ALL,3616,0.4714009394860459,0.2205029013539652,0.30809615915998895
4,2023/24,UCL,1036,0.45332050048123196,0.21944177093359,0.3272377285851781
4,2023/24,UECL,838,0.47443519619500596,0.2259215219976219,0.29964328180737215
4,2023/24,UEL,1742,0.4802292263610315,0.21891117478510028,0.3008595988538682
5,2024/25,ALL,4422,0.4736723163841808,0.21898305084745762,0.3073446327683616
5,2024/25,UCL,1250,0.4533120510774142,0.22106943335993615,0.32561851556264965
5,2024/25,UECL,1255,0.47774244833068363,0.22019077901430842,0.302066772655008
5,2024/25,UEL,1917,0.48385416666666664,0.2171875,0.2989583333333333
6,2025/26,ALL,5379,0.47863247863247865,0.2138610182088443,0.30750650315867706
6,2025/26,UCL,1529,0.4614882506527415,0.20953002610966057,0.3289817232375979
6,2025/26,UECL,1664,0.48410317936412717,0.21595680863827235,0.29994001199760045
6,2025/26,UEL,2186,0.4860666971219735,0.215623572407492,0.2983097304705345
