comparison,competition,loss,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
dynamic_core_vs_tuned_static,ALL,brier_1x2,tie_or_match,4884,3502,-0.008928779796909354,-0.012335584971390172,-0.005601187747077655,True,False
dynamic_core_vs_tuned_static,ALL,brier_1x2,team_season,4884,1413,-0.008928779796909354,-0.011512053023347365,-0.006327497202208812,True,False
dynamic_core_vs_tuned_static,ALL,brier_1x2,calendar_month,4884,65,-0.008928779796909354,-0.012823238849948789,-0.0049900429050257775,True,False
dynamic_core_vs_tuned_static,ALL,brier_1x2,conservative_envelope,4884,,-0.008928779796909354,-0.012823238849948789,-0.0049900429050257775,True,False
dynamic_core_vs_tuned_static,ALL,log_loss_1x2,tie_or_match,4884,3502,-0.012526555757990368,-0.017418249298358657,-0.0077197884131441005,True,False
dynamic_core_vs_tuned_static,ALL,log_loss_1x2,team_season,4884,1413,-0.012526555757990368,-0.016142041330229957,-0.008824331636316672,True,False
dynamic_core_vs_tuned_static,ALL,log_loss_1x2,calendar_month,4884,65,-0.012526555757990368,-0.017868992621670594,-0.007108788727233062,True,False
dynamic_core_vs_tuned_static,ALL,log_loss_1x2,conservative_envelope,4884,,-0.012526555757990368,-0.017868992621670594,-0.007108788727233062,True,False
dynamic_core_vs_tuned_static,UCL,brier_1x2,tie_or_match,1384,1056,-0.01053991679067056,-0.016401016172345795,-0.00448550406860516,True,False
dynamic_core_vs_tuned_static,UCL,brier_1x2,team_season,1384,478,-0.01053991679067056,-0.014964486635480508,-0.006209003810660329,True,False
dynamic_core_vs_tuned_static,UCL,brier_1x2,calendar_month,1384,65,-0.01053991679067056,-0.015602455174121248,-0.005273866466005209,True,False
dynamic_core_vs_tuned_static,UCL,brier_1x2,conservative_envelope,1384,,-0.01053991679067056,-0.016401016172345795,-0.00448550406860516,True,False
dynamic_core_vs_tuned_static,UCL,log_loss_1x2,tie_or_match,1384,1056,-0.015141034049982946,-0.023558041924342736,-0.006437490822734504,True,False
dynamic_core_vs_tuned_static,UCL,log_loss_1x2,team_season,1384,478,-0.015141034049982946,-0.02154742981148007,-0.008884816388200708,True,False
dynamic_core_vs_tuned_static,UCL,log_loss_1x2,calendar_month,1384,65,-0.015141034049982946,-0.022237161012854723,-0.007653814255372723,True,False
dynamic_core_vs_tuned_static,UCL,log_loss_1x2,conservative_envelope,1384,,-0.015141034049982946,-0.023558041924342736,-0.006437490822734504,True,False
dynamic_core_vs_tuned_static,UECL,brier_1x2,tie_or_match,2073,1291,-0.00690479621293586,-0.011835567521258876,-0.0018139139090124063,True,False
dynamic_core_vs_tuned_static,UECL,brier_1x2,team_season,2073,864,-0.00690479621293586,-0.01058486983857902,-0.0034119742963693396,True,False
dynamic_core_vs_tuned_static,UECL,brier_1x2,calendar_month,2073,48,-0.00690479621293586,-0.014002262775645464,-0.00012296344629254995,True,False
dynamic_core_vs_tuned_static,UECL,brier_1x2,conservative_envelope,2073,,-0.00690479621293586,-0.014002262775645464,-0.00012296344629254995,True,False
dynamic_core_vs_tuned_static,UECL,log_loss_1x2,tie_or_match,2073,1291,-0.009729271433633332,-0.01685415978829494,-0.0025401658702685283,True,False
dynamic_core_vs_tuned_static,UECL,log_loss_1x2,team_season,2073,864,-0.009729271433633332,-0.014924647202113735,-0.004794826500026756,True,False
dynamic_core_vs_tuned_static,UECL,log_loss_1x2,calendar_month,2073,48,-0.009729271433633332,-0.019584473916769148,-0.00047705481003651484,True,False
dynamic_core_vs_tuned_static,UECL,log_loss_1x2,conservative_envelope,2073,,-0.009729271433633332,-0.019584473916769148,-0.00047705481003651484,True,False
dynamic_core_vs_tuned_static,UEL,brier_1x2,tie_or_match,1427,1155,-0.010306428269377154,-0.01711754790631714,-0.003508575623353776,True,False
dynamic_core_vs_tuned_static,UEL,brier_1x2,team_season,1427,538,-0.010306428269377154,-0.0162169860325708,-0.005022912058797236,True,False
dynamic_core_vs_tuned_static,UEL,brier_1x2,calendar_month,1427,57,-0.010306428269377154,-0.017919309134793587,-0.0029034736528781467,True,False
dynamic_core_vs_tuned_static,UEL,brier_1x2,conservative_envelope,1427,,-0.010306428269377154,-0.017919309134793587,-0.0029034736528781467,True,False
dynamic_core_vs_tuned_static,UEL,log_loss_1x2,tie_or_match,1427,1155,-0.014054469176542864,-0.023692069876185343,-0.0040897397081312,True,False
dynamic_core_vs_tuned_static,UEL,log_loss_1x2,team_season,1427,538,-0.014054469176542864,-0.022519120815552088,-0.006414635136159213,True,False
dynamic_core_vs_tuned_static,UEL,log_loss_1x2,calendar_month,1427,57,-0.014054469176542864,-0.024680375642592196,-0.003944461455723494,True,False
dynamic_core_vs_tuned_static,UEL,log_loss_1x2,conservative_envelope,1427,,-0.014054469176542864,-0.024680375642592196,-0.003944461455723494,True,False
carry_vs_no_carry,ALL,brier_1x2,tie_or_match,4884,3502,-0.005894589126826308,-0.008671063394883955,-0.003130987987373578,True,False
carry_vs_no_carry,ALL,brier_1x2,team_season,4884,1413,-0.005894589126826308,-0.007938311694102277,-0.0038523005409408567,True,False
carry_vs_no_carry,ALL,brier_1x2,calendar_month,4884,65,-0.005894589126826308,-0.009463741345617005,-0.002652876883681392,True,False
carry_vs_no_carry,ALL,brier_1x2,conservative_envelope,4884,,-0.005894589126826308,-0.009463741345617005,-0.002652876883681392,True,False
carry_vs_no_carry,ALL,log_loss_1x2,tie_or_match,4884,3502,-0.00855031268666583,-0.012458959854926495,-0.0045537290353978846,True,False
carry_vs_no_carry,ALL,log_loss_1x2,team_season,4884,1413,-0.00855031268666583,-0.01150460968611485,-0.005639991500507337,True,False
carry_vs_no_carry,ALL,log_loss_1x2,calendar_month,4884,65,-0.00855031268666583,-0.01365121799613829,-0.003837717707189711,True,False
carry_vs_no_carry,ALL,log_loss_1x2,conservative_envelope,4884,,-0.00855031268666583,-0.01365121799613829,-0.003837717707189711,True,False
carry_vs_no_carry,UCL,brier_1x2,tie_or_match,1384,1056,-0.00808672502924552,-0.014447223782890114,-0.001311556153994447,True,False
carry_vs_no_carry,UCL,brier_1x2,team_season,1384,478,-0.00808672502924552,-0.012620083203780559,-0.00339813294957516,True,False
carry_vs_no_carry,UCL,brier_1x2,calendar_month,1384,65,-0.00808672502924552,-0.014882280587266901,-0.0010947207580977675,True,False
carry_vs_no_carry,UCL,brier_1x2,conservative_envelope,1384,,-0.00808672502924552,-0.014882280587266901,-0.0010947207580977675,True,False
carry_vs_no_carry,UCL,log_loss_1x2,tie_or_match,1384,1056,-0.010796315992144428,-0.020351459242682553,-0.001059711078231879,True,False
carry_vs_no_carry,UCL,log_loss_1x2,team_season,1384,478,-0.010796315992144428,-0.01740482634083519,-0.003873725392838807,True,False
carry_vs_no_carry,UCL,log_loss_1x2,calendar_month,1384,65,-0.010796315992144428,-0.02094332934530973,-0.0003025901308088613,True,False
carry_vs_no_carry,UCL,log_loss_1x2,conservative_envelope,1384,,-0.010796315992144428,-0.02094332934530973,-0.0003025901308088613,True,False
carry_vs_no_carry,UECL,brier_1x2,tie_or_match,2073,1291,-0.001805990605706646,-0.005729781351785755,0.002136204463589284,False,False
carry_vs_no_carry,UECL,brier_1x2,team_season,2073,864,-0.001805990605706646,-0.004461847016711651,0.0008159385133094317,False,False
carry_vs_no_carry,UECL,brier_1x2,calendar_month,2073,48,-0.001805990605706646,-0.005481181236391226,0.0013961082260587861,False,False
carry_vs_no_carry,UECL,brier_1x2,conservative_envelope,2073,,-0.001805990605706646,-0.005729781351785755,0.002136204463589284,False,False
carry_vs_no_carry,UECL,log_loss_1x2,tie_or_match,2073,1291,-0.0032068826444489945,-0.008776668881509459,0.0023930177648726226,False,False
carry_vs_no_carry,UECL,log_loss_1x2,team_season,2073,864,-0.0032068826444489945,-0.006983887128976322,0.0003890786979835264,False,False
carry_vs_no_carry,UECL,log_loss_1x2,calendar_month,2073,48,-0.0032068826444489945,-0.008452441631840548,0.0012866081882332572,False,False
carry_vs_no_carry,UECL,log_loss_1x2,conservative_envelope,2073,,-0.0032068826444489945,-0.008776668881509459,0.0023930177648726226,False,False
carry_vs_no_carry,UEL,brier_1x2,tie_or_match,1427,1155,-0.009708007939252982,-0.013955494560086207,-0.005276671350754922,True,False
carry_vs_no_carry,UEL,brier_1x2,team_season,1427,538,-0.009708007939252982,-0.01300995740049568,-0.006278173433091631,True,False
carry_vs_no_carry,UEL,brier_1x2,calendar_month,1427,57,-0.009708007939252982,-0.013563325353886147,-0.005829341275066378,True,False
carry_vs_no_carry,UEL,brier_1x2,conservative_envelope,1427,,-0.009708007939252982,-0.013955494560086207,-0.005276671350754922,True,False
carry_vs_no_carry,UEL,log_loss_1x2,tie_or_match,1427,1155,-0.014134378490963743,-0.020214072783234945,-0.007879901242470193,True,False
carry_vs_no_carry,UEL,log_loss_1x2,team_season,1427,538,-0.014134378490963743,-0.018879514593968243,-0.009275000457136584,True,False
carry_vs_no_carry,UEL,log_loss_1x2,calendar_month,1427,57,-0.014134378490963743,-0.0197141704292369,-0.008518437291888533,True,False
carry_vs_no_carry,UEL,log_loss_1x2,conservative_envelope,1427,,-0.014134378490963743,-0.020214072783234945,-0.007879901242470193,True,False
