season,model_version,team_id,team_name,country,country_code,domestic_league,competition,entry_round,domestic_position,league_team_count,weighted_country_score,country_strength_uncapped_norm,league_strength_norm,league_strength,country_strength_saturated,country_tail_excess,country_tail_active,domestic_position_percentile,league_finish_score,cup_base_score,cup_double_bonus,domestic_achievement_uncapped_score,domestic_achievement_score,achievement_saturated,achievement_cap_active,domestic_prior,weighted_european_history,european_history_uncapped_norm,european_history_norm,european_prior,european_history_saturated,european_tail_excess,european_tail_active,weighted_season_exposure,weighted_match_exposure,european_exposure,effective_european_exposure,exposure_saturated,exposure_tail_excess,exposure_tail_active,saturation_count,ao_first_elo,ao_first_elo_rank,rating_source_type,validation_warnings
2026/27,ao-european-elo-v2.0-dev-freeze,1,Arsenal,England,ENG,Premier League,UCL,League Phase,1,20,25.354680000000002,1.0041586644672125,1.0,1.0,True,0.0041586644672124695,False,1.0,1.0,0.0,0.0,1.0,1.0,False,False,1614.081996434938,30.85,1.1368079732748506,1.0,2059.714795008913,True,0.1368079732748506,False,0.9300000000000002,0.9300000000000002,0.9300000000000002,0.85,True,0.08000000000000018,False,3,1992.8698752228167,1,European Evidence-Based Rating,
2026/27,ao-european-elo-v2.0-dev-freeze,4,Sporting CP,Portugal,POR,Primeira Liga,UCL,League Phase,2,18,15.881620000000002,0.8674468123167017,0.8674468123167017,0.8924713520445934,False,0.0,False,0.9411764705882353,0.8088235294117647,0.0,0.0,0.8088235294117647,0.8088235294117647,False,False,1413.5786940698063,18.330000000000002,0.9727825476086338,0.9727825476086338,2017.2633318316484,False,0.0,False,1.0,1.0,1.0,0.85,True,0.15000000000000002,False,1,1926.710636167372,2,European Evidence-Based Rating,
2026/27,ao-european-elo-v2.0-dev-freeze,7,Benfica,Portugal,POR,Primeira Liga,UEL,Second Qualifying Round,3,18,15.881620000000002,0.8674468123167017,0.8674468123167017,0.8924713520445934,False,0.0,False,0.8823529411764706,0.7676470588235293,0.0,0.0,0.7676470588235293,0.7676470588235293,False,False,1390.6910645616197,16.555,0.9411455715080839,0.9411455715080839,1967.9186721382773,False,0.0,False,1.0,1.0,1.0,0.85,True,0.15000000000000002,False,1,1881.3345310017787,3,European Evidence-Based Rating,
2026/27,ao-european-elo-v2.0-dev-freeze,5,Shakhtar Donetsk,Ukraine,UKR,Ukrainian Premier League,UCL,League Phase,1,16,5.56996,0.5777937277884037,0.5777937277884037,0.644789948107976,False,0.0,False,1.0,1.0,0.0,0.0,1.0,1.0,False,False,1302.771939072647,12.842500000000001,0.8631053386750241,0.8631053386750241,1846.1981663826136,False,0.0,False,1.0,1.0,1.0,0.85,True,0.15000000000000002,False,1,1764.6842322861187,4,European Evidence-Based Rating,
2026/27,ao-european-elo-v2.0-dev-freeze,3,Galatasaray,Turkey,TUR,Super Lig,UCL,League Phase,1,18,10.838750000000001,0.758534322331329,0.758534322331329,0.8016414950124384,False,0.0,False,1.0,1.0,0.0,0.0,1.0,1.0,False,False,1440.2383868944426,11.950000000000001,0.8412142924000376,0.8412142924000376,1812.0543776292925,False,0.0,False,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.85,True,0.02000000000000013,False,1,1756.281979019065,5,European Evidence-Based Rating,
2026/27,ao-european-elo-v2.0-dev-freeze,8,AZ Alkmaar,Netherlands,NED,Eredivisie,UEL,League Phase,7,18,12.50957,0.7990549981588851,0.7990549981588851,0.8357210436084054,False,0.0,False,0.6470588235294118,0.6029411764705882,0.62,0.0,0.62,0.62,False,False,1266.5740590491278,12.298750000000002,0.8499428395684281,0.8499428395684281,1825.6684217867642,False,0.0,False,1.0,1.0,1.0,0.85,True,0.15000000000000002,False,1,1741.8042673761188,6,European Evidence-Based Rating,
2026/27,ao-european-elo-v2.0-dev-freeze,6,Slavia Praha,Czechia,CZE,Czech First League,UCL,League Phase,1,16,10.53325,0.7505100414921521,0.7505100414921521,0.7948500498894425,False,0.0,False,1.0,1.0,0.0,0.0,1.0,1.0,False,False,1434.2862885246157,8.530000000000001,0.7404920685530891,0.7404920685530891,1654.9564349090074,False,0.0,False,1.0,1.0,1.0,0.85,True,0.15000000000000002,False,1,1621.8559129513487,7,European Evidence-Based Rating,
2026/27,ao-european-elo-v2.0-dev-freeze,10,Pafos,Cyprus,CYP,Cypriot First Division,UEL,Second Qualifying Round,4,14,8.56497,0.6930756778077672,0.6930756778077672,0.7458036881262214,False,0.0,False,0.7692307692307693,0.6884615384615385,0.62,0.0,0.6884615384615385,0.6884615384615385,False,False,1234.4249169374093,7.29375,0.6948551907143348,0.6948551907143348,1583.7759213458878,False,0.0,False,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,False,0.0,False,0,1444.0355195824964,8,Mixed Domestic-European Estimate,
2026/27,ao-european-elo-v2.0-dev-freeze,2,Como,Italy,ITA,Serie A,UCL,League Phase,4,20,20.382640000000002,0.9399903723299183,0.9399903723299183,0.9516970527092318,False,0.0,False,0.8421052631578947,0.7394736842105263,0.0,0.0,0.7394736842105263,0.7394736842105263,False,False,1421.4363341035685,0.0,0.0,0.0,500.0,False,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,0,1421.4363341035685,9,Pure Domestic Projection,
2026/27,ao-european-elo-v2.0-dev-freeze,9,Omonia Nicosia,Cyprus,CYP,Cypriot First Division,UCL,Second Qualifying Round,1,14,8.56497,0.6930756778077672,0.6930756778077672,0.7458036881262214,False,0.0,False,1.0,1.0,0.0,0.0,1.0,1.0,False,False,1391.3015092015312,4.790000000000001,0.576816997577483,0.576816997577483,1399.6700051342204,False,0.0,False,1.0,0.9333333333333333,0.9733333333333334,0.85,True,0.1233333333333334,False,1,1398.414730744317,10,European Evidence-Based Rating,
