fold,test_season,arm,teams,seasons,spearman,pairwise_accuracy,delta_spearman_vs_baseline,delta_pairwise_vs_baseline,affected_teams
1,2020/21,BASELINE,237,1,0.4662263517859025,0.6653138916822295,0.0,0.0,0
1,2020/21,BOOST_BLIND,237,1,0.4645382609359794,0.6642723746588134,-0.0016880908499231073,-0.0010415170234161497,43
1,2020/21,BOOST_DOMESTIC_FORM,237,1,0.4662263517859025,0.6653138916822295,0.0,0.0,0
2,2021/22,BASELINE,237,1,0.4761320718587357,0.6639226400172551,0.0,0.0,0
2,2021/22,BOOST_BLIND,237,1,0.47643994044875176,0.663742900280394,0.00030786859001608047,-0.00017973973686113975,31
2,2021/22,BOOST_DOMESTIC_FORM,237,1,0.4761320718587357,0.6639226400172551,0.0,0.0,0
3,2022/23,BASELINE,233,1,0.457113989214468,0.6584105024359403,0.0,0.0,0
3,2022/23,BOOST_BLIND,233,1,0.45742850347953723,0.6589683513704488,0.0003145142650692323,0.000557848934508498,40
3,2022/23,BOOST_DOMESTIC_FORM,233,1,0.457113989214468,0.6584105024359403,0.0,0.0,0
4,2023/24,BASELINE,234,1,0.468567740387224,0.6619546763120986,0.0,0.0,0
4,2023/24,BOOST_BLIND,234,1,0.4736449345093126,0.6637631948032775,0.005077194122088624,0.001808518491178912,26
4,2023/24,BOOST_DOMESTIC_FORM,234,1,0.468567740387224,0.6619546763120986,0.0,0.0,0
5,2024/25,BASELINE,236,1,0.4838074765689239,0.6680433286237003,0.0,0.0,0
5,2024/25,BOOST_BLIND,236,1,0.4861448408734669,0.6686954316559794,0.002337364304542955,0.0006521030322791388,34
5,2024/25,BOOST_DOMESTIC_FORM,236,1,0.4855627823796598,0.6687678875484548,0.0017553058107358521,0.000724558924754537,1
6,2025/26,BASELINE,236,1,0.4166196469150405,0.6440524485656332,0.0,0.0,0
6,2025/26,BOOST_BLIND,236,1,0.41337157155834603,0.6417705013039698,-0.0032480753566944687,-0.0022819472616633085,40
6,2025/26,BOOST_DOMESTIC_FORM,236,1,0.4166196469150405,0.6440524485656332,0.0,0.0,0
