fold,test_season,arm,selected_candidate_key,selected_config,train_spearman,train_pairwise_accuracy,train_delta_spearman_vs_baseline,train_delta_pairwise_vs_baseline,test_affected_teams
1,2020/21,BOOST_BLIND,BLIND_FLOOR_finish0.8_deficit50_m50_form0_cap150,"{""design"": ""FLOOR"", ""magnitude"": 50.0, ""maximum_boost"": 150.0, ""maximum_finish_percentile"": 0.8, ""minimum_european_deficit"": 50.0, ""minimum_form_percentile"": 0.0, ""model_version"": ""ao-first-seed-boost-v1-research"", ""signal"": ""BLIND""}",0.47001752274177655,0.6613527108974798,0.011827461551973117,0.004852865644360604,37
1,2020/21,BOOST_DOMESTIC_FORM,BASELINE,null,0.45819006118980343,0.6564998452531192,0.0,0.0,0
2,2021/22,BOOST_BLIND,BLIND_FLOOR_finish0.8_deficit150_m50_form0_cap150,"{""design"": ""FLOOR"", ""magnitude"": 50.0, ""maximum_boost"": 150.0, ""maximum_finish_percentile"": 0.8, ""minimum_european_deficit"": 150.0, ""minimum_form_percentile"": 0.0, ""model_version"": ""ao-first-seed-boost-v1-research"", ""signal"": ""BLIND""}",0.4683949946334685,0.6622779219387426,0.007526169911632019,0.002840061209253286,28
2,2021/22,BOOST_DOMESTIC_FORM,BASELINE,null,0.4608688247218365,0.6594378607294893,0.0,0.0,0
3,2022/23,BOOST_BLIND,BLIND_FLOOR_finish0.8_deficit150_m50_form0_cap150,"{""design"": ""FLOOR"", ""magnitude"": 50.0, ""maximum_boost"": 150.0, ""maximum_finish_percentile"": 0.8, ""minimum_european_deficit"": 150.0, ""minimum_form_percentile"": 0.0, ""model_version"": ""ao-first-seed-boost-v1-research"", ""signal"": ""BLIND""}",0.47040623108728935,0.6626441665241554,0.005721594581228062,0.0020851109727245687,35
3,2022/23,BOOST_DOMESTIC_FORM,BASELINE,null,0.4646846365060613,0.6605590555514308,0.0,0.0,0
4,2023/24,BOOST_BLIND,BLIND_FLOOR_finish0.8_deficit150_m50_form0_cap150,"{""design"": ""FLOOR"", ""magnitude"": 50.0, ""maximum_boost"": 150.0, ""maximum_finish_percentile"": 0.8, ""minimum_european_deficit"": 150.0, ""minimum_form_percentile"": 0.0, ""model_version"": ""ao-first-seed-boost-v1-research"", ""signal"": ""BLIND""}",0.4678458496032874,0.661918963365126,0.004654829370673408,0.001783796785676084,23
4,2023/24,BOOST_DOMESTIC_FORM,BASELINE,null,0.463191020232614,0.6601351665794499,0.0,0.0,0
5,2024/25,BOOST_BLIND,BLIND_FLOOR_finish0.8_deficit50_m50_form0_cap150,"{""design"": ""FLOOR"", ""magnitude"": 50.0, ""maximum_boost"": 150.0, ""maximum_finish_percentile"": 0.8, ""minimum_european_deficit"": 50.0, ""minimum_form_percentile"": 0.0, ""model_version"": ""ao-first-seed-boost-v1-research"", ""signal"": ""BLIND""}",0.4691999357430792,0.6624873229894216,0.0051197617887841496,0.0020512622209682974,27
5,2024/25,BOOST_DOMESTIC_FORM,DOMESTIC_FORM_ADDITIVE_finish0.8_deficit100_m150_form0.65_cap150,"{""design"": ""ADDITIVE"", ""magnitude"": 150.0, ""maximum_boost"": 150.0, ""maximum_finish_percentile"": 0.8, ""minimum_european_deficit"": 100.0, ""minimum_form_percentile"": 0.65, ""model_version"": ""ao-first-seed-boost-v1-research"", ""signal"": ""DOMESTIC_FORM""}",0.46419053827792905,0.6604665787843859,0.00011036432363398241,3.051801593256798e-05,1
6,2025/26,BOOST_BLIND,BLIND_FLOOR_finish0.8_deficit50_m50_form0_cap150,"{""design"": ""FLOOR"", ""magnitude"": 50.0, ""maximum_boost"": 150.0, ""maximum_finish_percentile"": 0.8, ""minimum_european_deficit"": 50.0, ""minimum_form_percentile"": 0.0, ""model_version"": ""ao-first-seed-boost-v1-research"", ""signal"": ""BLIND""}",0.47162210267873733,0.6633747328290991,0.0047220356795892315,0.001851261270919391,36
6,2025/26,BOOST_DOMESTIC_FORM,DOMESTIC_FORM_ADDITIVE_finish0.8_deficit100_m150_form0.65_cap150,"{""design"": ""ADDITIVE"", ""magnitude"": 150.0, ""maximum_boost"": 150.0, ""maximum_finish_percentile"": 0.8, ""minimum_european_deficit"": 100.0, ""minimum_form_percentile"": 0.65, ""model_version"": ""ao-first-seed-boost-v1-research"", ""signal"": ""DOMESTIC_FORM""}",0.4672455652967107,0.6616531983290983,0.0003454982975625853,0.0001297267709186034,0
