arm,seasons,team_seasons,weighted_spearman,weighted_pairwise_accuracy
CURRENT_PRODUCTION,6,1880,0.3873459375489719,0.633299708493749
CUP_WEIGHT_0,6,1880,0.38813630290208406,0.6336235200565823
CUP_WEIGHT_0_05,6,1880,0.3878607066839902,0.6335196029335076
CUP_WEIGHT_0_08,6,1880,0.3878772799780848,0.6334998951244716
CUP_WEIGHT_0_1,6,1880,0.387697691868685,0.6334585725997824
CUP_WEIGHT_0_13,6,1880,0.387598853354631,0.6334065649082765
CUP_WEIGHT_0_15,6,1880,0.387494804175243,0.633387390045901
CUP_WEIGHT_0_2,6,1880,0.38719390664767395,0.6333680634592219
CUP_WEIGHT_0_25,6,1880,0.38682272773058124,0.6332160913232003
CUP_WEIGHT_0_3,6,1880,0.3868562219831171,0.6332741438191516
