candidate_model,baseline_model,competition,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,ALL,brier_1x2,tie_or_match,4884,1612,-0.001640019311493296,-0.0025680514103086265,-0.0006314657702597617,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,ALL,brier_1x2,team_season,4884,1413,-0.001640019311493296,-0.002283779980136399,-0.0009889617486120248,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,ALL,brier_1x2,calendar_month,4884,65,-0.001640019311493296,-0.002905302691721376,-0.0005380733654652838,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,ALL,brier_1x2,conservative_envelope,4884,,-0.001640019311493296,-0.002905302691721376,-0.0005380733654652838,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,ALL,log_loss_1x2,tie_or_match,4884,1612,-0.0029146414986448853,-0.0047981197322661,-0.0009892871761300057,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,ALL,log_loss_1x2,team_season,4884,1413,-0.0029146414986448853,-0.0041982066108171255,-0.0015846933060762916,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,ALL,log_loss_1x2,calendar_month,4884,65,-0.0029146414986448853,-0.00527026208284583,-0.0009460910883630394,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,ALL,log_loss_1x2,conservative_envelope,4884,,-0.0029146414986448853,-0.00527026208284583,-0.0009460910883630394,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,brier_1x2,tie_or_match,1384,390,-0.0025420494244731565,-0.0042728285712290365,-0.0006410433717456822,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,brier_1x2,team_season,1384,478,-0.0025420494244731565,-0.0037022661143008427,-0.001366292566469694,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,brier_1x2,calendar_month,1384,65,-0.0025420494244731565,-0.004691631893239801,-0.0005537664628799684,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,brier_1x2,conservative_envelope,1384,,-0.0025420494244731565,-0.004691631893239801,-0.0005537664628799684,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,log_loss_1x2,tie_or_match,1384,390,-0.004803637873167408,-0.008325893267837796,-0.0012662070236975614,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,log_loss_1x2,team_season,1384,478,-0.004803637873167408,-0.006938918766785754,-0.0025574336705550087,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,log_loss_1x2,calendar_month,1384,65,-0.004803637873167408,-0.009605936702409487,-0.0008743500584836851,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,log_loss_1x2,conservative_envelope,1384,,-0.004803637873167408,-0.009605936702409487,-0.0008743500584836851,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,brier_1x2,tie_or_match,1427,441,-0.0024548518805168813,-0.0047283011407137955,0.00013997345552249502,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,brier_1x2,team_season,1427,538,-0.0024548518805168813,-0.004139716349997489,-0.0007821924925629107,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,brier_1x2,calendar_month,1427,57,-0.0024548518805168813,-0.004747394328132671,4.119243590431556e-05,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,brier_1x2,conservative_envelope,1427,,-0.0024548518805168813,-0.004747394328132671,0.00013997345552249502,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,log_loss_1x2,tie_or_match,1427,441,-0.004253344643281618,-0.009518745042091045,0.0014441825802622742,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,log_loss_1x2,team_season,1427,538,-0.004253344643281618,-0.00788773401822961,-0.0005939204664859733,True,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,log_loss_1x2,calendar_month,1427,57,-0.004253344643281618,-0.008913787601643464,0.0008192862726378322,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,log_loss_1x2,conservative_envelope,1427,,-0.004253344643281618,-0.009518745042091045,0.0014441825802622742,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,brier_1x2,tie_or_match,2073,792,-0.00047688580818370445,-0.0012242236323838761,0.00025494471715150133,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,brier_1x2,team_season,2073,864,-0.00047688580818370445,-0.0011062190310052774,0.0001293740452914412,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,brier_1x2,calendar_month,2073,48,-0.00047688580818370445,-0.0015080517792976534,0.0003740789825453835,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,brier_1x2,conservative_envelope,2073,,-0.00047688580818370445,-0.0015080517792976534,0.0003740789825453835,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,log_loss_1x2,tie_or_match,2073,792,-0.0007319592170550225,-0.0017793238235077015,0.0003262458721034449,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,log_loss_1x2,team_season,2073,864,-0.0007319592170550225,-0.0016203082465419754,0.00012790288816007063,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,log_loss_1x2,calendar_month,2073,48,-0.0007319592170550225,-0.0022348258774658016,0.000482506610768741,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,log_loss_1x2,conservative_envelope,2073,,-0.0007319592170550225,-0.0022348258774658016,0.000482506610768741,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,brier_1x2,tie_or_match,4884,1612,0.00013188370870298612,-0.00018918095476152874,0.00038854289425311857,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,brier_1x2,team_season,4884,1413,0.00013188370870298612,-6.0864661118315046e-05,0.0003193948612035835,False,False
