competition,groups,team_weight,ranking_score,pairwise_accuracy,model
ALL,15,1158,0.46848878527736415,0.6581622624473902,CURRENT_PRODUCTION
UCL,5,353,0.4766661821132913,0.669306243700401,CURRENT_PRODUCTION
UECL,5,554,0.4140053410577711,0.6448997640198523,CURRENT_PRODUCTION
UEL,5,251,0.5772425980844252,0.7008063448384367,CURRENT_PRODUCTION
ALL,15,1158,0.46706251981587343,0.6579359654620254,REFERENCE_CORE_NO_ACTIVE_EXTRAS
UCL,5,353,0.47836747922242867,0.6704499128012628,REFERENCE_CORE_NO_ACTIVE_EXTRAS
UECL,5,554,0.41288130784472454,0.6444684100564099,REFERENCE_CORE_NO_ACTIVE_EXTRAS
UEL,5,251,0.5707507300210632,0.6988911775007901,REFERENCE_CORE_NO_ACTIVE_EXTRAS
ALL,15,1158,0.4674250718225379,0.6580795577415043,ABLATION_NO_DOMESTIC_SURPRISE
UCL,5,353,0.47691250384863126,0.6700408965252476,ABLATION_NO_DOMESTIC_SURPRISE
UECL,5,554,0.41316319913116967,0.6447332284934634,ABLATION_NO_DOMESTIC_SURPRISE
UEL,5,251,0.5738474382201755,0.6995287400486635,ABLATION_NO_DOMESTIC_SURPRISE
ALL,15,1158,0.46712501517801536,0.6577106227694213,ABLATION_NO_GOAL_MARGIN
UCL,5,353,0.4767149106907362,0.6698796800418688,ABLATION_NO_GOAL_MARGIN
UECL,5,554,0.4130831279824769,0.6442374259723148,ABLATION_NO_GOAL_MARGIN
UEL,5,251,0.5729177338646203,0.699369478942137,ABLATION_NO_GOAL_MARGIN
ALL,15,1158,0.46848878527736415,0.6581622624473902,ABLATION_NO_XG
UCL,5,353,0.4766661821132913,0.669306243700401,ABLATION_NO_XG
UECL,5,554,0.4140053410577711,0.6448997640198523,ABLATION_NO_XG
UEL,5,251,0.5772425980844252,0.7008063448384367,ABLATION_NO_XG
ALL,15,1158,0.4687996805752567,0.6583051239985512,ABLATION_NO_PROGRESSION
UCL,5,353,0.4777517607980065,0.6698766246995096,ABLATION_NO_PROGRESSION
UECL,5,554,0.41392721302500124,0.6448666996124238,ABLATION_NO_PROGRESSION
UEL,5,251,0.5773226395561767,0.7009664900316812,ABLATION_NO_PROGRESSION
