match_id,source_event_id,sportsdb_league_id,league_name,country_code,provider_season,ao_season,kickoff_utc,home_source_team_id,away_source_team_id,home_team_name,away_team_name,home_goals,away_goals,actual_home_score,status,round,source_provider,source_url,home_ao_club_id,away_ao_club_id
TSD-4334-675535,675535,4334,French Ligue 1,FRA,2019-2020,2019/20,2020-02-23 14:00:00+00:00,133717,133934,St Etienne,Stade de Reims,1,1,0.5,,26.0,THESPORTSDB_PREMIUM_EXISTING,,,
TSD-4334-675621,675621,4334,French Ligue 1,FRA,2019-2020,2019/20,2020-02-23 14:00:00+00:00,133717,133934,St Etienne,Stade de Reims,1,1,0.5,,26.0,THESPORTSDB_PREMIUM_EXISTING,,,
TSD-4649-1039304,1039304,AO-DOMESTIC:KAZ,Kazakhstan Premier League,KAZ,2020,2020/21,2020-10-17 10:00:00+00:00,138041,AO:AO-UEFA-79971,FC Taraz,Kaisar Kyzylorda,2,2,0.5,FT,13.0,THESPORTSDB_PREMIUM,https://www.thesportsdb.com/api/v2/json/schedule/league/4649/2020,,AO-UEFA-79971
TSD-4649-1039365,1039365,AO-DOMESTIC:KAZ,Kazakhstan Premier League,KAZ,2020,2020/21,2020-10-17 10:00:00+00:00,138041,AO:AO-UEFA-79971,FC Taraz,Kaisar Kyzylorda,0,0,0.5,FT,30.0,THESPORTSDB_PREMIUM,https://www.thesportsdb.com/api/v2/json/schedule/league/4649/2020,,AO-UEFA-79971
TSD-4649-1039338,1039338,AO-DOMESTIC:KAZ,Kazakhstan Premier League,KAZ,2020,2020/21,2020-10-30 11:00:00+00:00,AO:AO-UEFA-2600605,AO:AO-UEFA-79970,FC Astana,Kairat Almaty,0,1,0.0,FT,16.0,THESPORTSDB_PREMIUM,https://www.thesportsdb.com/api/v2/json/schedule/league/4649/2020,AO-UEFA-2600605,AO-UEFA-79970
TSD-4649-1039389,1039389,AO-DOMESTIC:KAZ,Kazakhstan Premier League,KAZ,2020,2020/21,2020-10-30 11:00:00+00:00,AO:AO-UEFA-2600605,AO:AO-UEFA-79970,FC Astana,Kairat Almaty,0,1,0.0,FT,32.0,THESPORTSDB_PREMIUM,https://www.thesportsdb.com/api/v2/json/schedule/league/4649/2020,AO-UEFA-2600605,AO-UEFA-79970
TSD-4693-1052418,1052418,AO-DOMESTIC:AZB,Azerbaijani Premier League,AZB,2020-2021,2020/21,2020-11-08 13:00:00+00:00,AO:AO-UEFA-2609356,AO:AO-UEFA-2607480,Sabah FC,Zira FK,0,1,0.0,FT,9.0,THESPORTSDB_PREMIUM,https://www.thesportsdb.com/api/v2/json/schedule/league/4693/2020-2021,AO-UEFA-2609356,AO-UEFA-2607480
TSD-4693-1060023,1060023,AO-DOMESTIC:AZB,Azerbaijani Premier League,AZB,2020-2021,2020/21,2020-11-08 13:00:00+00:00,AO:AO-UEFA-2609356,AO:AO-UEFA-2607480,Sabah FC,Zira FK,0,1,0.0,,9.0,THESPORTSDB_PREMIUM,https://www.thesportsdb.com/api/v2/json/schedule/league/4693/2020-2021,AO-UEFA-2609356,AO-UEFA-2607480
TSD-4693-1052422,1052422,AO-DOMESTIC:AZB,Azerbaijani Premier League,AZB,2020-2021,2020/21,2020-11-23 12:00:00+00:00,AO:AO-UEFA-2609356,AO:AO-UEFA-2608569,Sabah FC,Sabail FK,2,1,1.0,FT,10.0,THESPORTSDB_PREMIUM,https://www.thesportsdb.com/api/v2/json/schedule/league/4693/2020-2021,AO-UEFA-2609356,AO-UEFA-2608569
TSD-4693-1063396,1063396,AO-DOMESTIC:AZB,Azerbaijani Premier League,AZB,2020-2021,2020/21,2020-11-23 12:00:00+00:00,AO:AO-UEFA-2609356,AO:AO-UEFA-2608569,Sabah FC,Sabail FK,2,1,1.0,,10.0,THESPORTSDB_PREMIUM,https://www.thesportsdb.com/api/v2/json/schedule/league/4693/2020-2021,AO-UEFA-2609356,AO-UEFA-2608569
