candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
AO_POISSON_BLEND,ALL,brier_1x2,tie_or_match,4884,3502,-0.0002639128607171252,-0.0018193160026937377,0.0013542041351289232,False,False
AO_POISSON_BLEND,ALL,brier_1x2,team_season,4884,1413,-0.0002639128607171252,-0.0015536895418533751,0.0008970916226047662,False,False
AO_POISSON_BLEND,ALL,brier_1x2,calendar_month,4884,65,-0.0002639128607171252,-0.0019323363679776995,0.0017142015278194115,False,False
AO_POISSON_BLEND,ALL,brier_1x2,conservative_envelope,4884,,-0.0002639128607171252,-0.0019323363679776995,0.0017142015278194115,False,False
AO_POISSON_BLEND,ALL,log_loss_1x2,tie_or_match,4884,3502,-1.568892595884646e-05,-0.0025918702027290966,0.00239188205726335,False,False
AO_POISSON_BLEND,ALL,log_loss_1x2,team_season,4884,1413,-1.568892595884646e-05,-0.0019524541816736745,0.0018986003145697102,False,False
AO_POISSON_BLEND,ALL,log_loss_1x2,calendar_month,4884,65,-1.568892595884646e-05,-0.0029163683746119846,0.0029964044384980923,False,False
AO_POISSON_BLEND,ALL,log_loss_1x2,conservative_envelope,4884,,-1.568892595884646e-05,-0.0029163683746119846,0.0029964044384980923,False,False
AO_POISSON_BLEND,competition:UCL,brier_1x2,tie_or_match,1384,1056,-0.0018674442804276308,-0.004857853254004423,0.0010780562592941976,False,False
AO_POISSON_BLEND,competition:UCL,brier_1x2,team_season,1384,478,-0.0018674442804276308,-0.00400116790452853,0.00015233306158927054,False,False
AO_POISSON_BLEND,competition:UCL,brier_1x2,calendar_month,1384,65,-0.0018674442804276308,-0.004548241035828863,0.000991856315480915,False,False
AO_POISSON_BLEND,competition:UCL,brier_1x2,conservative_envelope,1384,,-0.0018674442804276308,-0.004857853254004423,0.0010780562592941976,False,False
AO_POISSON_BLEND,competition:UCL,log_loss_1x2,tie_or_match,1384,1056,-0.0029350605481187446,-0.0077561099503687565,0.0019454431931028055,False,False
AO_POISSON_BLEND,competition:UCL,log_loss_1x2,team_season,1384,478,-0.0029350605481187446,-0.006456491663933353,0.0005173620818109397,False,False
AO_POISSON_BLEND,competition:UCL,log_loss_1x2,calendar_month,1384,65,-0.0029350605481187446,-0.007231996972166344,0.0021218290865440315,False,False
AO_POISSON_BLEND,competition:UCL,log_loss_1x2,conservative_envelope,1384,,-0.0029350605481187446,-0.0077561099503687565,0.0021218290865440315,False,False
AO_POISSON_BLEND,competition:UECL,brier_1x2,tie_or_match,2073,1291,-0.0018032209712945703,-0.003608360209370528,0.00015674996559421713,False,False
AO_POISSON_BLEND,competition:UECL,brier_1x2,team_season,2073,864,-0.0018032209712945703,-0.0030215361273421802,-0.00047077320296701615,True,False
AO_POISSON_BLEND,competition:UECL,brier_1x2,calendar_month,2073,48,-0.0018032209712945703,-0.003915205468893736,0.0002030588078862979,False,False
AO_POISSON_BLEND,competition:UECL,brier_1x2,conservative_envelope,2073,,-0.0018032209712945703,-0.003915205468893736,0.0002030588078862979,False,False
AO_POISSON_BLEND,competition:UECL,log_loss_1x2,tie_or_match,2073,1291,-0.002546717219239779,-0.005169673109615168,-7.259086480839195e-05,True,False
AO_POISSON_BLEND,competition:UECL,log_loss_1x2,team_season,2073,864,-0.002546717219239779,-0.0044204945318060814,-0.0006668269501435127,True,False
AO_POISSON_BLEND,competition:UECL,log_loss_1x2,calendar_month,2073,48,-0.002546717219239779,-0.005733496016609921,0.00025963592673261104,False,False
AO_POISSON_BLEND,competition:UECL,log_loss_1x2,conservative_envelope,2073,,-0.002546717219239779,-0.005733496016609921,0.00025963592673261104,False,False
