ao_club_id,team_name,country_code,domestic_matches,domestic_seasons,provider_count
AO-UEFA-88148,Egnatia Rrogozhinë,ALB,189,5,1
AO-UEFA-2610304,Ararat-Armenia,ARM,245,8,2
AO-UEFA-50030,FC Salzburg,AUT,192,6,1
AO-UEFA-63405,LASK,AUT,196,6,1
AO-UEFA-2609356,Sabah FK,AZB,199,6,1
AO-UEFA-50074,Anderlecht,BEL,194,5,1
AO-UEFA-50043,Club Brugge,BEL,200,5,1
AO-UEFA-52883,Sint-Truiden,BEL,178,5,1
AO-UEFA-2608297,CSKA Sofia,BUL,206,6,2
AO-UEFA-50044,Levski Sofia,BUL,206,6,2
AO-UEFA-50164,Dinamo Zagreb,CRO,324,9,2
AO-UEFA-50077,Omonia Nicosia,CYP,212,6,1
AO-UEFA-52498,Slavia Praha,CZE,174,5,1
AO-UEFA-64388,Viktoria Plzen,CZE,174,5,1
AO-UEFA-50019,AGF Aarhus,DEN,160,5,1
AO-UEFA-2601124,AFC Bournemouth,ENG,342,9,1
AO-UEFA-52280,Arsenal,ENG,494,13,1
AO-UEFA-52683,Aston Villa,ENG,380,10,1
AO-UEFA-52916,Crystal Palace,ENG,494,13,1
AO-UEFA-7889,Liverpool,ENG,494,13,1
AO-UEFA-52919,Manchester City,ENG,494,13,1
AO-UEFA-52682,Manchester United,ENG,494,13,1
AO-UEFA-53360,Sunderland AFC,ENG,190,5,1
AO-UEFA-50124,Atlético Madrid,ESP,492,13,1
AO-UEFA-53043,Celta de Vigo,ESP,492,13,1
AO-UEFA-50080,FC Barcelona,ESP,494,13,1
AO-UEFA-52265,Real Betis,ESP,456,12,1
AO-UEFA-50051,Real Madrid,ESP,490,13,1
AO-UEFA-50123,Real Sociedad,ESP,494,13,1
AO-UEFA-70691,Villarreal,ESP,492,13,1
AO-UEFA-75797,Lille OSC,FRA,396,11,1
AO-UEFA-5312,Olympique Lyon,FRA,396,11,1
AO-UEFA-52748,Olympique Marseille,FRA,396,11,1
AO-UEFA-52747,Paris Saint-Germain,FRA,395,11,1
AO-UEFA-52277,RC Lens,FRA,254,7,1
AO-UEFA-55031,Stade Rennais,FRA,396,11,1
AO-UEFA-2605905,Iberia 1999,GEO,198,7,1
AO-UEFA-2600431,1899 Hoffenheim,GER,442,13,1
AO-UEFA-50109,Bayer Leverkusen,GER,442,13,1
AO-UEFA-50037,Bayern München,GER,442,13,1
AO-UEFA-52758,Borussia Dortmund,GER,442,13,1
AO-UEFA-2603790,RB Leipzig,GER,340,10,1
AO-UEFA-50107,VfB Stuttgart,GER,376,11,1
AO-UEFA-50129,AEK Athens,GRE,209,6,1
AO-UEFA-52953,OFI Heraklion,GRE,196,6,1
AO-UEFA-52298,Ferencváros,HUN,165,5,1
AO-UEFA-59340,Hapoel Beer-Sheva,ISR,180,5,1
AO-UEFA-50058,AC Milan,ITA,494,13,1
AO-UEFA-50137,AS Roma,ITA,494,13,1
AO-UEFA-79946,Como 1907,ITA,76,2,1
AO-UEFA-50138,Internazionale,ITA,494,13,1
AO-UEFA-50139,Juventus,ITA,494,13,1
AO-UEFA-50136,Napoli,ITA,494,13,1
AO-UEFA-79970,Kairat Almaty,KAZ,217,9,2
AO-UEFA-2605907,Kauno Zalgiris,LIT,377,12,1
AO-UEFA-52327,AZ Alkmaar,NED,439,13,1
AO-UEFA-52749,Feyenoord,NED,435,13,1
AO-UEFA-52330,NEC Nijmegen,NED,277,9,1
AO-UEFA-50062,PSV Eindhoven,NED,434,13,1
AO-UEFA-59333,Bodø/Glimt,NOR,180,7,1
AO-UEFA-52314,Lillestrøm SK,NOR,120,5,1
AO-UEFA-52319,Viking Stavanger,NOR,180,7,1
AO-UEFA-2600277,Jagiellonia Bialystok,POL,200,6,1
AO-UEFA-64227,Lech Poznan,POL,200,6,1
AO-UEFA-50147,Benfica,POR,204,6,1
AO-UEFA-50064,FC Porto,POR,204,6,1
AO-UEFA-50149,Sporting CP Lisbon,POR,204,6,1
AO-UEFA-2603107,União Torreense,POR,2,1,1
AO-UEFA-2606501,Universitatea Craiova,ROM,415,11,2
AO-UEFA-50050,Celtic,SCO,465,12,2
AO-UEFA-59030,NK Celje,SLO,222,6,1
AO-UEFA-50069,Red Star Belgrade,SRB,334,9,1
AO-UEFA-80409,FC Thun,SUI,40,2,1
AO-UEFA-52797,Slovan Bratislava,SVK,227,7,1
AO-UEFA-74233,Mjällby AIF,SWE,150,6,1
AO-UEFA-50157,Besiktas,TUR,222,6,1
AO-UEFA-52692,Fenerbahçe,TUR,222,6,1
AO-UEFA-50067,Galatasaray,TUR,222,6,1
AO-UEFA-52731,Trabzonspor,TUR,222,6,1
AO-UEFA-52707,Shakhtar Donetsk,UKR,120,4,2
