candidate_key,axis,value,brier_1x2,log_loss_1x2,seed_spearman,seed_pairwise_accuracy,delta_brier_1x2,delta_log_loss_1x2,delta_seed_spearman,delta_seed_pairwise_accuracy
PRODUCTION,BASELINE,0.0,0.5654886632851426,0.954547466535786,0.46729900587284634,0.6617836677931181,0.0,0.0,0.0,0.0
achievement0.85,ACHIEVEMENT_COMPONENT,0.85,0.5659711546193988,0.955234481213321,0.4704176454951339,0.6627594417409879,0.0004824913342562631,0.0006870146775349584,0.0031186396222875334,0.0009757739478697403
achievement1.15,ACHIEVEMENT_COMPONENT,1.15,0.5652279744334582,0.9541702767978063,0.46390811939869014,0.6604412354163612,-0.0002606888516843986,-0.0003771897379797329,-0.003390886474156196,-0.001342432376756908
achievement1.3,ACHIEVEMENT_COMPONENT,1.3,0.5651865874983046,0.9540986939272051,0.4596821295917891,0.6588479608745561,-0.0003020757868379409,-0.00044877260858089407,-0.007616876281057228,-0.002935706918562042
gamma1,GAMMA,1.0,0.5643885943292206,0.9529926597122536,0.47260085275409386,0.663644847173473,-0.0011000689559219623,-0.0015548068235324841,0.005301846881247518,0.0018611793803549048
gamma1.2,GAMMA,1.2,0.5638790832610279,0.9522601408496608,0.47488453311034207,0.6643290286249102,-0.0016095800241147096,-0.002287325686125219,0.007585527237495726,0.0025453608317920207
gamma1.4,GAMMA,1.4,0.5637497711442659,0.9520626810050149,0.47571375895383566,0.6647611131290231,-0.0017388921408766356,-0.0024847855307711386,0.008414753080989323,0.002977445335904938
gamma1.6,GAMMA,1.6,0.5638692713564253,0.9522186975527495,0.4753685789987517,0.6644674859395188,-0.0016193919287172953,-0.0023287689830365776,0.008069573125905338,0.0026838181464006183
gamma2,GAMMA,2.0,0.5645379517226718,0.9531493880445849,0.473714607197727,0.6639700230551322,-0.0009507115624707296,-0.0013980784912011046,0.006415601324880671,0.0021863552620140503
league0.85,LEAGUE_COMPONENT,0.85,0.566668918853101,0.9562146895813629,0.4680538144892355,0.6619018675205606,0.0011802555679584215,0.001667223045576871,0.0007548086163891576,0.00011819972744242513
league1.15,LEAGUE_COMPONENT,1.15,0.5645919938420718,0.9532846371391152,0.46610177116418294,0.6613594217736385,-0.0008966694430707634,-0.0012628293966708837,-0.0011972347086633972,-0.0004242460194796571
league1.3,LEAGUE_COMPONENT,1.3,0.5639769349174567,0.9524219504428455,0.464516015720448,0.6606858395840748,-0.0015117283676858717,-0.002125516092940538,-0.002782990152398357,-0.001097828209043361
