kulup,ulke,lig,lig_sirasi,sira,ao_first_max_g16,sira_uretim,ao_first_uretim,elo_farki,sira_farki,lig_gucu_L_yeni,lig_gucu_L_uretim,domestic_prior,domestic_prior_ayarli,european_prior,etkin_maruziyet,opta_sirasi
Arsenal,England,England top division,1.0,1,2069.0432,1,2069.0432,0.0,0,1.0,1.0,1614.082,1634.6476,2302.9484,0.65,1.0
Bayern München,Germany,Germany top division,1.0,2,2028.1256,2,2048.0128,-19.8872,0,0.8776,0.9399,1550.8667,1561.601,2279.3312,0.65,2.0
Internazionale,Italy,Italy top division,1.0,3,1980.7936,4,1997.3648,-16.5713,1,0.8997,0.9517,1570.8815,1580.6082,2196.278,0.65,8.0
Paris Saint-Germain,France,France top division,1.0,4,1977.0748,3,2004.0189,-26.9441,-1,0.8217,0.9095,1457.8258,1458.5972,2256.255,0.65,4.0
Aston Villa,England,England top division,4.0,5,1967.9821,6,1967.9821,0.0,1,1.0,1.0,1459.2832,1489.2832,2225.7431,0.65,6.0
FC Barcelona,Spain,Spain top division,1.0,6,1965.1287,5,1981.0903,-15.9615,-1,0.9001,0.9519,1526.5051,1532.6467,2198.0037,0.65,5.0
Real Madrid,Spain,Spain top division,2.0,7,1944.6752,7,1959.3048,-14.6297,0,0.9001,0.9519,1422.144,1417.5617,2228.5055,0.65,7.0
Manchester City,England,England top division,2.0,8,1928.3001,8,1928.3001,0.0,0,1.0,1.0,1550.5989,1546.5563,2133.8544,0.65,3.0
Liverpool,England,England top division,5.0,9,1917.7675,9,1917.7675,0.0,0,1.0,1.0,1437.3925,1409.7751,2191.3019,0.65,9.0
Atlético Madrid,Spain,Spain top division,4.0,10,1867.5591,10,1881.6516,-14.0926,0,0.9001,0.9519,1380.9875,1371.1503,2134.8561,0.65,18.0
Borussia Dortmund,Germany,Germany top division,2.0,11,1860.4878,11,1878.3767,-17.889,0,0.8776,0.9399,1401.5715,1420.1085,2097.6151,0.65,10.0
Manchester United,England,England top division,3.0,12,1854.4507,12,1854.4507,0.0,0,1.0,1.0,1481.174,1511.174,2039.2921,0.65,
Bayer Leverkusen,Germany,Germany top division,6.0,13,1818.0714,14,1834.418,-16.3466,1,0.8776,0.9399,1310.8933,1280.8933,2107.3212,0.65,17.0
Olympique Lyon,France,France top division,4.0,14,1814.9601,13,1839.4027,-24.4425,-1,0.8217,0.9095,1312.6869,1337.4183,2072.0981,0.65,32.0
AS Roma,Italy,Italy top division,3.0,15,1811.2687,16,1825.7579,-14.4893,1,0.8997,0.9517,1401.2947,1431.2947,2015.87,0.65,15.0
Atalanta,Italy,Italy top division,7.0,16,1804.7545,17,1817.9533,-13.1988,1,0.8997,0.9517,1318.9996,1290.1546,2081.8468,0.65,22.0
FC Porto,Portugal,Portugal top division,1.0,17,1801.585,15,1833.0576,-31.4726,-2,0.7912,0.8925,1431.117,1448.3397,1991.7941,0.65,19.0
SC Freiburg,Germany,Germany top division,7.0,18,1780.5483,19,1796.5479,-15.9995,1,0.8776,0.9399,1288.2238,1286.3193,2046.6717,0.65,36.0
