theta,domestic_cap,variance_penalty,exposure_family,final_effect_cap,minimum_history_seasons,candidate_key,matches,brier_1x2,log_loss_1x2,accuracy_1x2,same_season_spearman,same_season_pairwise_accuracy,forward_spearman,forward_pairwise_accuracy,mean_abs_effect,median_abs_effect,p90_abs_effect,p95_abs_effect,cap_hit_rate,relative_loss_score
0.8,150.0,0.0,LINEAR,75.0,5,"{""domestic_cap"":150.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.8,""variance_penalty"":0.0}",4884,0.5690563279437865,0.9599555691836372,0.5532350532350533,0.6785819699010625,0.7553105072828671,0.4723666018504774,0.6606458847890724,17.320033883898944,8.116784301716251,57.68602205599708,75.0,0.0658174097664543,-0.0003817947945943
0.6,150.0,0.0,LINEAR,75.0,5,"{""domestic_cap"":150.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.0}",4884,0.5690579758401253,0.9599665106284913,0.5524160524160524,0.6790832491396542,0.756054863593497,0.4724027464711595,0.660677635949731,13.968974357515483,6.0875882262871865,44.758697460765106,65.39917543715572,0.0360934182590233,-0.0003746505674333
0.8,150.0,0.25,LINEAR,75.0,5,"{""domestic_cap"":150.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.8,""variance_penalty"":0.25}",4884,0.5690661022483113,0.9599747735507312,0.553030303030303,0.6787172954293718,0.7555187554935354,0.4726820616126222,0.6607456331168312,16.367710058392912,7.837138699911192,52.5,75.0,0.0552016985138004,-0.0003632109512753
0.6,150.0,0.0,POWER_075,75.0,5,"{""domestic_cap"":150.0,""exposure_family"":""POWER_075"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.0}",4884,0.5690703989947052,0.9599774331316694,0.5532350532350533,0.6788464506757036,0.755726631909322,0.4725200845696821,0.6606950497420797,15.894162546459835,7.758452575167359,49.36717143534195,69.30821578702721,0.0382165605095541,-0.0003580523906512
0.6,150.0,0.25,LINEAR,75.0,5,"{""domestic_cap"":150.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.25}",4884,0.5690756402602294,0.9599929697265268,0.5528255528255528,0.679266421992961,0.7562871000599577,0.4726023666862744,0.6608277153936112,13.085488560344375,5.877854024933392,39.946602540664024,59.12307850695161,0.0276008492569002,-0.0003453595777428
0.8,100.0,0.25,LINEAR,75.0,5,"{""domestic_cap"":100.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.8,""variance_penalty"":0.25}",4884,0.5690813038169644,0.9599950225364318,0.5532350532350533,0.6785980179258622,0.755535224664424,0.4727877649909339,0.6608292096438353,16.139086765474598,7.837138699911192,50.95819085907222,74.30574883634455,0.0495399858457183,-0.0003393164881118
0.8,100.0,0.0,LINEAR,75.0,5,"{""domestic_cap"":100.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.8,""variance_penalty"":0.0}",4884,0.5690841874976812,0.9599952901879152,0.5534398034398035,0.6783762320990164,0.7553510527711045,0.4726957154228711,0.6607796073492933,16.941333631326465,8.116784301716251,55.24361892838055,75.0,0.0552016985138004,-0.000336644418974
0.6,150.0,0.25,POWER_075,75.0,5,"{""domestic_cap"":150.0,""exposure_family"":""POWER_075"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.25}",4884,0.5690872449837344,0.9600033815033676,0.553030303030303,0.6788842613855591,0.7558466365466602,0.4726762371065937,0.6607611892491823,14.900454316517298,7.372961517638621,44.16948026853259,64.28213097870655,0.032554847841472,-0.0003297461420528
0.6,75.0,0.0,LINEAR,75.0,5,"{""domestic_cap"":75.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.0}",4884,0.569086083172443,0.9600054673289848,0.5536445536445537,0.6789332002346758,0.7561033857616994,0.4728746328327158,0.6609786894719388,13.355843203821046,6.0875882262871865,41.4327141962854,57.5858677151175,0.0,-0.0003296805211929
0.8,150.0,0.5,LINEAR,75.0,5,"{""domestic_cap"":150.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.8,""variance_penalty"":0.5}",4884,0.5690869728853549,0.9600058235685784,0.553030303030303,0.678524155999898,0.7557109622189981,0.4729679658304759,0.6608449453791868,15.320986199475657,7.27334896397643,47.16689416070258,71.04073973458078,0.0452937013446567,-0.0003287136106978
0.6,75.0,0.0,POWER_075,75.0,5,"{""domestic_cap"":75.0,""exposure_family"":""POWER_075"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.6,""variance_penalty"":0.0}",4884,0.5690899451525788,0.9600050262939565,0.5534398034398035,0.6787210537568711,0.7558072111595988,0.4729323791199125,0.6610130094977373,15.250751110826467,7.758452575167359,46.58540249555509,60.927473240880744,0.0,-0.0003265182131318
0.8,100.0,0.5,LINEAR,75.0,5,"{""domestic_cap"":100.0,""exposure_family"":""LINEAR"",""final_effect_cap"":75.0,""minimum_history_seasons"":5,""theta"":0.8,""variance_penalty"":0.5}",4884,0.569089297833542,0.9600095225911938,0.553030303030303,0.67845828101341,0.755751239407681,0.4731258600782025,0.6609452839161439,15.18829345338434,7.27334896397643,46.41422923578047,67.70293473314973,0.0438782731776362,-0.0003247456553372
