fold,test_season,model_arm,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,accuracy_1x2,mean_predicted_draw,observed_draw_rate,draw_envelope_hits
1,2020/21,BASELINE_024_SHAPE_100,0.24,1.0,540,0.5348639828586685,0.9132200217240042,0.5944444444444444,0.1986674692722129,0.16111111111111112,0
1,2020/21,WALK_FORWARD_FIXED_DRAW_SUBUNIT_SHAPE,0.24,0.7,540,0.5360270226159525,0.9169639807944224,0.5944444444444444,0.20901357548662652,0.16111111111111112,0
1,2020/21,WALK_FORWARD_JOINT_DRAW_SHAPE,0.27,0.9,540,0.5393747817844196,0.9227737722818454,0.5944444444444444,0.22720445254905158,0.16111111111111112,0
1,2020/21,PRESPECIFIED_024_SHAPE_084,0.24,0.84,540,0.535391816115163,0.9148982693066919,0.5944444444444444,0.20400753632888752,0.16111111111111112,0
2,2021/22,BASELINE_024_SHAPE_100,0.24,1.0,816,0.5763000466220498,0.9712316175386495,0.5453431372549019,0.20551727808215037,0.23039215686274508,0
2,2021/22,WALK_FORWARD_FIXED_DRAW_SUBUNIT_SHAPE,0.24,0.85,816,0.576026581938991,0.9707321547808475,0.5453431372549019,0.2098087715706034,0.23039215686274508,0
2,2021/22,WALK_FORWARD_JOINT_DRAW_SHAPE,0.25,0.95,816,0.5756907971208136,0.9699537334253941,0.5453431372549019,0.2155413988358266,0.23039215686274508,0
2,2021/22,PRESPECIFIED_024_SHAPE_084,0.24,0.84,816,0.5760121841139633,0.9707124883829321,0.5453431372549019,0.2101040434279955,0.23039215686274508,0
3,2022/23,BASELINE_024_SHAPE_100,0.24,1.0,804,0.5922608382785588,0.9933930873666275,0.5149253731343284,0.2069995270292885,0.22761194029850745,0
3,2022/23,WALK_FORWARD_FIXED_DRAW_SUBUNIT_SHAPE,0.24,0.84,804,0.5920582562971709,0.9928919394579867,0.5149253731343284,0.21139700555537316,0.22761194029850745,0
3,2022/23,WALK_FORWARD_JOINT_DRAW_SHAPE,0.26,1.0,804,0.5916601829529653,0.9925382494965079,0.5149253731343284,0.22424948761506258,0.22761194029850745,0
3,2022/23,PRESPECIFIED_024_SHAPE_084,0.24,0.84,804,0.5920582562971709,0.9928919394579867,0.5149253731343284,0.21139700555537316,0.22761194029850745,0
4,2023/24,BASELINE_024_SHAPE_100,0.24,1.0,806,0.5646993942676356,0.9546320452016329,0.5558312655086849,0.202793627261417,0.21215880893300249,0
4,2023/24,WALK_FORWARD_FIXED_DRAW_SUBUNIT_SHAPE,0.24,0.8,806,0.5643679297600319,0.9537352723111885,0.5558312655086849,0.20900685270766814,0.21215880893300249,0
4,2023/24,WALK_FORWARD_JOINT_DRAW_SHAPE,0.26,1.0,806,0.5648150416170837,0.9544237230172269,0.5558312655086849,0.21969309619986843,0.21215880893300249,0
4,2023/24,PRESPECIFIED_024_SHAPE_084,0.24,0.84,806,0.5644192557393582,0.9538497746328451,0.5558312655086849,0.2077234806285948,0.21215880893300249,0
5,2024/25,BASELINE_024_SHAPE_100,0.24,1.0,957,0.5693987163082493,0.9612535869841423,0.5642633228840125,0.20638300384967356,0.19017763845350052,0
5,2024/25,WALK_FORWARD_FIXED_DRAW_SUBUNIT_SHAPE,0.24,0.8,957,0.5696244510857678,0.9618515236028929,0.5642633228840125,0.21202028160781602,0.19017763845350052,0
5,2024/25,WALK_FORWARD_JOINT_DRAW_SHAPE,0.25,0.85,957,0.5702290895963202,0.9630905414551555,0.5642633228840125,0.21934243860356406,0.19017763845350052,0
5,2024/25,PRESPECIFIED_024_SHAPE_084,0.24,0.84,957,0.5695632080772182,0.9616788750630004,0.5642633228840125,0.21085672393652902,0.19017763845350052,0
6,2025/26,BASELINE_024_SHAPE_100,0.24,1.0,961,0.5847914797867175,0.9824971486550488,0.5400624349635796,0.20677549614112453,0.19667013527575442,0
6,2025/26,WALK_FORWARD_FIXED_DRAW_SUBUNIT_SHAPE,0.24,0.84,961,0.5847768939367868,0.9826271353024831,0.5400624349635796,0.21122783316566202,0.19667013527575442,0
6,2025/26,WALK_FORWARD_JOINT_DRAW_SHAPE,0.245,0.85,961,0.5850183700300119,0.9832069035029802,0.5400624349635796,0.21533619490595896,0.19667013527575442,0
6,2025/26,PRESPECIFIED_024_SHAPE_084,0.24,0.84,961,0.5847768939367868,0.9826271353024831,0.5400624349635796,0.21122783316566202,0.19667013527575442,0
