fold,selection_mode,train_seasons,test_season,train_matches,draw_at_even,draw_shape,train_brier_1x2,train_log_loss_1x2
1,FIXED_DRAW_SHAPE_ONLY,2018/19|2019/20,2020/21,1456,0.24,0.7,0.5812321527973158,0.9768317222934579
1,JOINT_DRAW_AND_SHAPE,2018/19|2019/20,2020/21,1456,0.27,0.9,0.5802684377708625,0.9755695204081192
2,FIXED_DRAW_SHAPE_ONLY,2018/19|2019/20|2020/21,2021/22,1996,0.24,0.85,0.5690474766878676,0.9603623764531375
2,JOINT_DRAW_AND_SHAPE,2018/19|2019/20|2020/21,2021/22,1996,0.25,0.95,0.5689428210182138,0.9602108709492093
3,FIXED_DRAW_SHAPE_ONLY,2018/19|2019/20|2020/21|2021/22,2022/23,2812,0.24,0.84,0.5710628634344218,0.963366309104851
3,JOINT_DRAW_AND_SHAPE,2018/19|2019/20|2020/21|2021/22,2022/23,2812,0.26,1.0,0.5708430034560333,0.9629819339626573
4,FIXED_DRAW_SHAPE_ONLY,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,3616,0.24,0.8,0.5756977408177144,0.9699169625745427
4,JOINT_DRAW_AND_SHAPE,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,3616,0.26,1.0,0.575471601994621,0.969553636863436
5,FIXED_DRAW_SHAPE_ONLY,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,4422,0.24,0.8,0.5736326508782092,0.9669675183519594
5,JOINT_DRAW_AND_SHAPE,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,4422,0.25,0.85,0.5734762537452255,0.9667278613141637
6,FIXED_DRAW_SHAPE_ONLY,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,5379,0.24,0.84,0.5729387470340844,0.9660533151731598
6,JOINT_DRAW_AND_SHAPE,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,5379,0.245,0.85,0.5728928588231528,0.9660083263165202
