arm,shrinkage,candidate_key,teams,seasons,spearman,pairwise_accuracy,mean_abs_elo_delta,p95_abs_elo_delta
BASELINE,0.0,BASELINE,1887,8,0.46095984915646315,0.659490554825155,6.368149839520304e-14,2.2737367544323206e-13
PARTICIPATION_BLIND_LIFT,0.0,PARTICIPATION_BLIND_LIFT_c63.5832,1887,8,0.4558505390949855,0.6574993968944945,33.61714454522914,63.58319192850536
PARTICIPATION_NORMALIZED,0.0,PARTICIPATION_NORMALIZED_k0,1887,8,0.4682436100590831,0.6620898709488077,33.6171445452291,123.65154645029482
BASELINE,0.1,BASELINE,1887,8,0.46095984915646315,0.659490554825155,6.368149839520304e-14,2.2737367544323206e-13
PARTICIPATION_BLIND_LIFT,0.1,PARTICIPATION_BLIND_LIFT_c54.2889,1887,8,0.45638157153059666,0.6577944938959864,28.703124346613137,54.28885436188739
PARTICIPATION_NORMALIZED,0.1,PARTICIPATION_NORMALIZED_k0.1,1887,8,0.4680589763958339,0.6621156596866721,28.70312434661314,108.03582917081275
BASELINE,0.2,BASELINE,1887,8,0.46095984915646315,0.659490554825155,6.368149839520304e-14,2.2737367544323206e-13
PARTICIPATION_BLIND_LIFT,0.2,PARTICIPATION_BLIND_LIFT_c47.5965,1887,8,0.4570564481787062,0.6580524836034553,25.164803906777575,47.59650405450384
PARTICIPATION_NORMALIZED,0.2,PARTICIPATION_NORMALIZED_k0.2,1887,8,0.46804873246540135,0.6620909926855104,25.164803906777617,96.1175780985712
BASELINE,0.35,BASELINE,1887,8,0.46095984915646315,0.659490554825155,6.368149839520304e-14,2.2737367544323206e-13
PARTICIPATION_BLIND_LIFT,0.35,PARTICIPATION_BLIND_LIFT_c40.3114,1887,8,0.457353985635613,0.6581824832075492,21.313082192108983,40.311389142097596
PARTICIPATION_NORMALIZED,0.35,PARTICIPATION_NORMALIZED_k0.35,1887,8,0.4671072828321938,0.66159479448257,21.313082192109032,81.81601017455007
BASELINE,0.5,BASELINE,1887,8,0.46095984915646315,0.659490554825155,6.368149839520304e-14,2.2737367544323206e-13
PARTICIPATION_BLIND_LIFT,0.5,PARTICIPATION_BLIND_LIFT_c35.0364,1887,8,0.4579116925076155,0.6584636507677041,18.524152282009737,35.03642994648817
PARTICIPATION_NORMALIZED,0.5,PARTICIPATION_NORMALIZED_k0.5,1887,8,0.46648121904142054,0.6613709891138809,18.524152282009762,72.83654132754593
BASELINE,0.75,BASELINE,1887,8,0.46095984915646315,0.659490554825155,6.368149839520304e-14,2.2737367544323206e-13
PARTICIPATION_BLIND_LIFT,0.75,PARTICIPATION_BLIND_LIFT_c28.8121,1887,8,0.4584154529008479,0.6586397718924011,15.233268561920683,28.812079424768626
PARTICIPATION_NORMALIZED,0.75,PARTICIPATION_NORMALIZED_k0.75,1887,8,0.46597453754768287,0.6612465860703449,15.233268561920728,60.29053060244449
