fold,test_season,arm,teams,seed_spearman,seed_pairwise_accuracy,delta_seed_spearman,delta_seed_pairwise_accuracy
1,2020/21,BASELINE,237,0.4644931850788386,0.6639132308576354,0.0,0.0
1,2020/21,PARTICIPATION_BLIND_LIFT,237,0.4606996009418686,0.6624407412728056,-0.003793584136969952,-0.001472489584829817
1,2020/21,PARTICIPATION_NORMALIZED,237,0.4675642032258415,0.6647751759804625,0.0030710181470029463,0.0008619451228271124
2,2021/22,BASELINE,237,0.46688519593547034,0.6609749083327342,0.0,0.0
2,2021/22,PARTICIPATION_BLIND_LIFT,237,0.46643218285645677,0.66057948091164,-0.00045301307901357557,-0.0003954274210942188
2,2021/22,PARTICIPATION_NORMALIZED,237,0.4701843031248229,0.6619095549644115,0.003299107189352557,0.000934646631677305
3,2022/23,BASELINE,233,0.4561581125265126,0.6575179441407267,0.0,0.0
3,2022/23,PARTICIPATION_BLIND_LIFT,233,0.45332985604334153,0.6563278664137752,-0.0028282564831710877,-0.001190077726951566
3,2022/23,PARTICIPATION_NORMALIZED,233,0.46631032939943207,0.6628361039830413,0.01015221687291945,0.00531815984231454
4,2023/24,BASELINE,234,0.4681406210219123,0.6616963165276445,0.0,0.0
4,2023/24,PARTICIPATION_BLIND_LIFT,234,0.4681757459697175,0.6618070421495534,3.5124947805220685e-05,0.00011072562190894697
4,2023/24,PARTICIPATION_NORMALIZED,234,0.49017848160755945,0.6695578356831771,0.022037860585647162,0.00786151915553257
5,2024/25,BASELINE,236,0.4849496807661829,0.6687678875484548,0.0,0.0
5,2024/25,PARTICIPATION_BLIND_LIFT,236,0.48034571220928524,0.6668115784516175,-0.004603968556897653,-0.0019563090968373054
5,2024/25,PARTICIPATION_NORMALIZED,236,0.500012441552979,0.6740571676991631,0.015062760786796081,0.0052892801507082865
6,2025/26,BASELINE,236,0.4179567674659553,0.6450304259634888,0.0,0.0
6,2025/26,PARTICIPATION_BLIND_LIFT,236,0.4148255589105697,0.6435453491741524,-0.0031312085553855673,-0.0014850767893364036
6,2025/26,PARTICIPATION_NORMALIZED,236,0.42110669296998793,0.645465082584758,0.003149925504032647,0.0004346566212691805
