arm,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
PARTICIPATION_BLIND_LIFT,brier_1x2,tie_or_match,6340,6340,-8.323494106486321e-05,-0.00032846471363692147,0.0001782404701821217,False,False
PARTICIPATION_BLIND_LIFT,brier_1x2,team_season,6340,1887,-8.323494106486321e-05,-0.0002577769155921026,8.120909331097388e-05,False,False
PARTICIPATION_BLIND_LIFT,brier_1x2,calendar_month,6340,87,-8.323494106486321e-05,-0.00039303956227403433,0.00020914503394922577,False,False
PARTICIPATION_BLIND_LIFT,brier_1x2,conservative_envelope,6340,,-8.323494106486321e-05,-0.00039303956227403433,0.00020914503394922577,False,False
PARTICIPATION_BLIND_LIFT,log_loss_1x2,tie_or_match,6340,6340,-0.00010826647691335875,-0.0004496474185754152,0.00025713854982599394,False,False
PARTICIPATION_BLIND_LIFT,log_loss_1x2,team_season,6340,1887,-0.00010826647691335875,-0.00034798836881332485,0.00012186077782934041,False,False
PARTICIPATION_BLIND_LIFT,log_loss_1x2,calendar_month,6340,87,-0.00010826647691335875,-0.0005531790860610517,0.0003081688429548429,False,False
PARTICIPATION_BLIND_LIFT,log_loss_1x2,conservative_envelope,6340,,-0.00010826647691335875,-0.0005531790860610517,0.0003081688429548429,False,False
PARTICIPATION_NORMALIZED,brier_1x2,tie_or_match,6340,6340,-0.0020506872964335334,-0.0029218130309305317,-0.0011809983790850678,True,False
PARTICIPATION_NORMALIZED,brier_1x2,team_season,6340,1887,-0.0020506872964335334,-0.0026594119012235944,-0.001373835746087457,True,False
PARTICIPATION_NORMALIZED,brier_1x2,calendar_month,6340,87,-0.0020506872964335334,-0.0029639587675914124,-0.0012149215503895986,True,False
PARTICIPATION_NORMALIZED,brier_1x2,conservative_envelope,6340,,-0.0020506872964335334,-0.0029639587675914124,-0.0011809983790850678,True,False
PARTICIPATION_NORMALIZED,log_loss_1x2,tie_or_match,6340,6340,-0.0029036371239950934,-0.004104496041765108,-0.0017037336551739728,True,False
PARTICIPATION_NORMALIZED,log_loss_1x2,team_season,6340,1887,-0.0029036371239950934,-0.0037496793887606124,-0.001976502721694232,True,False
PARTICIPATION_NORMALIZED,log_loss_1x2,calendar_month,6340,87,-0.0029036371239950934,-0.004185996376412473,-0.0017346328574386533,True,False
PARTICIPATION_NORMALIZED,log_loss_1x2,conservative_envelope,6340,,-0.0029036371239950934,-0.004185996376412473,-0.0017037336551739728,True,False
