fold,test_season,model_arm,forecast_scale_multiplier,forecast_elo_scale,matches,brier_1x2,log_loss_1x2,accuracy_1x2,predicted_home_rate,observed_home_rate
1,2020/21,BASELINE,1.0,835.5614973262034,540,0.5296327831930847,0.9005782988482076,0.5944444444444444,0.5122466389793003,0.46296296296296297
1,2020/21,NESTED_FORECAST_SCALE,1.175,981.784759358289,540,0.5313472431261421,0.9029374471181754,0.5944444444444444,0.4978461784954578,0.46296296296296297
2,2021/22,BASELINE,1.0,835.5614973262034,816,0.5762709483211054,0.9711081738467205,0.5453431372549019,0.48609583251432864,0.4742647058823529
2,2021/22,NESTED_FORECAST_SCALE,1.125,940.0066844919788,816,0.5766350585167717,0.9719996676966393,0.5453431372549019,0.47529115307305975,0.4742647058823529
3,2022/23,BASELINE,1.0,835.5614973262034,804,0.5922543302028854,0.9933671776809765,0.5149253731343284,0.4865364766636686,0.472636815920398
3,2022/23,NESTED_FORECAST_SCALE,1.1,919.1176470588238,804,0.5914012398610793,0.9922035557499798,0.5149253731343284,0.47767780920216224,0.472636815920398
4,2023/24,BASELINE,1.0,835.5614973262034,806,0.5642390493784643,0.9534484792111946,0.5558312655086849,0.4866671894064272,0.4838709677419355
4,2023/24,NESTED_FORECAST_SCALE,1.1,919.1176470588238,806,0.5645786728318641,0.9540329485991633,0.5558312655086849,0.4779387372165374,0.4838709677419355
5,2024/25,BASELINE,1.0,835.5614973262034,957,0.5692229584595572,0.9607593419315186,0.5642633228840125,0.48526946937819765,0.5015673981191222
5,2024/25,NESTED_FORECAST_SCALE,1.075,898.2286096256686,957,0.5693553443405143,0.9607758569651756,0.5642633228840125,0.4786302829234349,0.5015673981191222
6,2025/26,BASELINE,1.0,835.5614973262034,961,0.5849804940716918,0.9829940088682141,0.5400624349635796,0.48587481193655263,0.48803329864724243
6,2025/26,NESTED_FORECAST_SCALE,1.075,898.2286096256686,961,0.5843038030961277,0.9817960751236346,0.5400624349635796,0.47918734727119006,0.48803329864724243
