cap,versus,metric,method,folds,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
0.4,0.65,seed_spearman,season_block_bootstrap,6,-0.005500938895475316,-0.012233310332135391,0.001091403346372875,False,False
0.4,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,-0.0021953168380280386,-0.004866066700118077,0.0008602129409521191,False,False
0.45,0.65,seed_spearman,season_block_bootstrap,6,-0.003950217654943365,-0.00921594874141877,0.001455957568202317,False,False
0.45,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,-0.0015699937912543132,-0.0037545865648205092,0.0010821458647172408,False,False
0.5,0.65,seed_spearman,season_block_bootstrap,6,-0.0024499770834183385,-0.006145807651380626,0.0009486243669307726,False,False
0.5,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,-0.0007575651936793474,-0.001952730783805497,0.0007397472888896472,False,False
0.55,0.65,seed_spearman,season_block_bootstrap,6,-0.0016236938179953382,-0.005146641707887978,0.0008891701593095694,False,False
0.55,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,-0.00047857629608420255,-0.0017575179339407443,0.0007761027315252172,False,False
0.6,0.65,seed_spearman,season_block_bootstrap,6,-0.0007277671121220242,-0.0032131847277704537,0.0012458016891899182,False,False
0.6,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,-3.88349012845531e-05,-0.0008550335401398425,0.0005866064474078752,False,False
0.675,0.65,seed_spearman,season_block_bootstrap,6,-6.381489869275447e-05,-0.0003539387928798622,0.000214385895783357,False,False
0.675,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,-8.125444609254535e-05,-0.00031935474964413696,0.00018437309812840974,False,False
0.7,0.65,seed_spearman,season_block_bootstrap,6,-1.5642871846401524e-05,-0.00077767427470396,0.0006803972644745526,False,False
0.7,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,-3.1316530017163244e-06,-0.00033207992805382264,0.00027696943111155115,False,False
0.725,0.65,seed_spearman,season_block_bootstrap,6,0.0008873061744922491,-0.0009086392318535622,0.0030111819998527335,False,False
0.725,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,0.00039240718270575997,-0.00036381777969008106,0.0011336668705382673,False,False
0.75,0.65,seed_spearman,season_block_bootstrap,6,0.0010905806192429701,-0.0006731675566068277,0.002854328795092768,False,False
0.75,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,0.0004146990195468085,-0.0003526703505972728,0.001100319999293007,False,False
0.775,0.65,seed_spearman,season_block_bootstrap,6,0.0015744307578667294,-0.00024976022453869945,0.0036464677059023787,False,False
0.775,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,0.00048755221588779135,-0.0003444582913073817,0.0012578760527375832,False,False
0.8,0.65,seed_spearman,season_block_bootstrap,6,0.0014624210604279413,-0.0006851029873851203,0.0038583506289387635,False,False
0.8,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,0.0004797276507854664,-0.0004927949147771801,0.0014412914057326605,False,False
0.825,0.65,seed_spearman,season_block_bootstrap,6,0.001384836551461488,-0.0009792186851651046,0.003966833058695551,False,False
0.825,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,0.0005302465046592708,-0.0005277164107681531,0.0015274185235202853,False,False
0.85,0.65,seed_spearman,season_block_bootstrap,6,0.0012375292730873826,-0.001344292794905674,0.004139065870429744,False,False
0.85,0.65,seed_pairwise_accuracy,season_block_bootstrap,6,0.00041066373498495806,-0.0007825455388290551,0.0015663390643722668,False,False
