cap,arm,minimum_domestic_weight,teams,seed_spearman,seed_pairwise_accuracy,selected_shrinkages,modal_shrinkage,participation_gain
0.4,BASELINE,0.6,1413,0.45643854795480987,0.6581570812957803,0|0|0|0|0|0,0.0,0.007260388010589924
0.4,PARTICIPATION_NORMALIZED,0.6,1413,0.4636989359653998,0.6608985752877401,0.75|0.75|0.35|0.35|0.2|0.2,0.75,0.007260388010589924
0.45,BASELINE,0.55,1413,0.4564860169817182,0.6582820854635341,0|0|0|0|0|0,0.0,0.008763802495789341
0.45,PARTICIPATION_NORMALIZED,0.55,1413,0.46524981947750754,0.6615238043715456,0.75|0.75|0.35|0.35|0.2|0.2,0.75,0.008763802495789341
0.5,BASELINE,0.5,1413,0.45686437847233646,0.6585665906526831,0|0|0|0|0|0,0.0,0.009882817027171753
0.5,PARTICIPATION_NORMALIZED,0.5,1413,0.4667471954995082,0.662333753096514,0.75|0.75|0.2|0.2|0.2|0.2,0.2,0.009882817027171753
0.55,BASELINE,0.45,1413,0.45761932526599597,0.6586662471918295,0|0|0|0|0|0,0.0,0.009952744867524899
0.55,PARTICIPATION_NORMALIZED,0.45,1413,0.46757207013352087,0.6626128044291589,0.75|0.75|0.1|0.1|0.1|0.1,0.1,0.009952744867524899
0.6,BASELINE,0.4,1413,0.45860807472816284,0.6591272481855671,0|0|0|0|0|0,0.0,0.009858768362758619
0.6,PARTICIPATION_NORMALIZED,0.4,1413,0.46846684309092146,0.6630512349425896,0.75|0.75|0.1|0.1|0.1|0.1,0.1,0.009858768362758619
0.65,BASELINE,0.35,1413,0.4597681129660161,0.6596557041961745,0|0|0|0|0|0,0.0,0.009433998285763245
0.65,PARTICIPATION_NORMALIZED,0.35,1413,0.46920211125177935,0.6630919165455432,0.75|0.2|0.2|0.2|0.2|0,0.2,0.009433998285763245
0.675,BASELINE,0.325,1413,0.4601748101649096,0.6598059248746269,0|0|0|0|0|0,0.0,0.008963812044047836
0.675,PARTICIPATION_NORMALIZED,0.325,1413,0.4691386222089574,0.6630118549601495,0.5|0.5|0.2|0.2|0.1|0,0.5,0.008963812044047836
0.7,BASELINE,0.3,1413,0.46033213091775615,0.6598673609959301,0|0|0|0|0|0,0.0,0.008854600440401095
0.7,PARTICIPATION_NORMALIZED,0.3,1413,0.46918673135815725,0.6630903464838159,0.75|0.75|0.2|0.2|0.1|0.1,0.75,0.008854600440401095
0.725,BASELINE,0.275,1413,0.4607783898656436,0.6600421471776938,0|0|0|0|0|0,0.0,0.009309577681724024
0.725,PARTICIPATION_NORMALIZED,0.275,1413,0.47008796754736765,0.6634854369473141,0.75|0.75|0.1|0.1|0.1|0.1,0.1,0.009309577681724024
0.75,BASELINE,0.25,1413,0.46097292308635046,0.6600676070229893,0|0|0|0|0|0,0.0,0.00932013886487526
0.75,PARTICIPATION_NORMALIZED,0.25,1413,0.4702930619512257,0.6635086658999763,0.75|0.75|0.2|0.2|0.1|0.1,0.75,0.00932013886487526
0.775,BASELINE,0.225,1413,0.4613229655556921,0.66014591081774,0|0|0|0|0|0,0.0,0.009455360115061484
0.775,PARTICIPATION_NORMALIZED,0.225,1413,0.47077832567075356,0.663581536993476,0.75|0.75|0.2|0.2|0.1|0,0.75,0.009455360115061484
0.8,BASELINE,0.2,1413,0.4612890445198476,0.6601205167876641,0|0|0|0|0|0,0.0,0.00937760229603607
0.8,PARTICIPATION_NORMALIZED,0.2,1413,0.47066664681588366,0.6635746112206102,0.75|0.75|0.75|0.2|0.1|0.1,0.75,0.00937760229603607
0.825,BASELINE,0.175,1413,0.46150980414484355,0.6603456581099506,0|0|0|0|0|0,0.0,0.00907931216594754
0.825,PARTICIPATION_NORMALIZED,0.175,1413,0.4705891163107911,0.663624181032421,0.75|0.75|0.1|0.2|0.1|0.1,0.1,0.00907931216594754
0.85,BASELINE,0.15,1413,0.4614240327555387,0.6602906601231888,0|0|0|0|0|0,0.0,0.009015066416054762
0.85,PARTICIPATION_NORMALIZED,0.15,1413,0.4704390991715935,0.6635037891130701,0.75|0.75|0.2|0.2|0.2|0.1,0.2,0.009015066416054762
