cap,arm,fold,test_season,seed_spearman,seed_pairwise_accuracy
0.4,BASELINE,1,2020/21,0.45971018587762796,0.6625843987932768
0.4,BASELINE,2,2021/22,0.4491572841100775,0.6543964339636207
0.4,BASELINE,3,2022/23,0.4577396970811743,0.6584105024359403
0.4,BASELINE,4,2023/24,0.4641354403068397,0.6587805418173766
0.4,BASELINE,5,2024/25,0.486867506438719,0.6687678875484548
0.4,BASELINE,6,2025/26,0.42111993178732376,0.6460084033613446
0.4,PARTICIPATION_NORMALIZED,1,2020/21,0.4617620388946774,0.6625484844131591
0.4,PARTICIPATION_NORMALIZED,2,2021/22,0.4517924228761597,0.6551513408584368
0.4,PARTICIPATION_NORMALIZED,3,2022/23,0.462135306704298,0.6603815686712039
0.4,PARTICIPATION_NORMALIZED,4,2023/24,0.4776725951909806,0.6640584631283679
0.4,PARTICIPATION_NORMALIZED,5,2024/25,0.4987469779099726,0.6734412926131218
0.4,PARTICIPATION_NORMALIZED,6,2025/26,0.4302414769316827,0.6498478701825557
0.45,BASELINE,1,2020/21,0.4597890686276244,0.6622252549920989
0.45,BASELINE,2,2021/22,0.4532655042116979,0.6563016751743476
0.45,BASELINE,3,2022/23,0.45609264801885124,0.6581129830042025
0.45,BASELINE,4,2023/24,0.4635036595789827,0.6584483649516498
0.45,BASELINE,5,2024/25,0.48650092371673703,0.6687316596022171
0.45,BASELINE,6,2025/26,0.41981841908993284,0.6458635178209214
0.45,PARTICIPATION_NORMALIZED,1,2020/21,0.4629574506260514,0.662907628214337
0.45,PARTICIPATION_NORMALIZED,2,2021/22,0.45602865861403863,0.6565892587533252
0.45,PARTICIPATION_NORMALIZED,3,2022/23,0.46269507568285245,0.66056751831604
0.45,PARTICIPATION_NORMALIZED,4,2023/24,0.48176020245023604,0.6656824389163652
0.45,PARTICIPATION_NORMALIZED,5,2024/25,0.498978888274564,0.673803572075499
0.45,PARTICIPATION_NORMALIZED,6,2025/26,0.4292348703032201,0.6496305418719212
0.5,BASELINE,1,2020/21,0.4619342286689552,0.6629435425944549
0.5,BASELINE,2,2021/22,0.45702213207289,0.6575598533323748
0.5,BASELINE,3,2022/23,0.4552031845995379,0.6579270333593663
0.5,BASELINE,4,2023/24,0.46574228958577024,0.6595187126301026
0.5,BASELINE,5,2024/25,0.48363445682841166,0.6685505198710285
0.5,BASELINE,6,2025/26,0.41768194787850194,0.6448855404230658
0.5,PARTICIPATION_NORMALIZED,1,2020/21,0.4650476181216705,0.6635900014365752
0.5,PARTICIPATION_NORMALIZED,2,2021/22,0.46014364010489806,0.6588539794377741
0.5,PARTICIPATION_NORMALIZED,3,2022/23,0.4639090153575313,0.6619063557588605
0.5,PARTICIPATION_NORMALIZED,4,2023/24,0.48731603252775074,0.6681184025983613
0.5,PARTICIPATION_NORMALIZED,5,2024/25,0.4986428921557859,0.6736224323443104
0.5,PARTICIPATION_NORMALIZED,6,2025/26,0.4255973911124763,0.6479643581570559
0.55,BASELINE,1,2020/21,0.4632256519760393,0.6636977445769285
0.55,BASELINE,2,2021/22,0.4597113619528842,0.6579912287008411
0.55,BASELINE,3,2022/23,0.45333839489216693,0.6562906764848079
0.55,BASELINE,4,2023/24,0.4669852444054384,0.6602568834428286
0.55,BASELINE,5,2024/25,0.4830519418181389,0.6682244683548889
0.55,BASELINE,6,2025/26,0.4193956899570728,0.6455013039698638
0.55,PARTICIPATION_NORMALIZED,1,2020/21,0.4665752389201724,0.6641287171383422
0.55,PARTICIPATION_NORMALIZED,2,2021/22,0.46052543321726064,0.6588180314904019
