baseline_model,candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,ALL,brier_1x2,tie_or_match,4884,3502,-0.0007065767095557288,-0.001744287134739297,0.0003499969031175732,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,ALL,brier_1x2,team_season,4884,1413,-0.0007065767095557288,-0.0014431542892012995,3.313961991047467e-05,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,ALL,brier_1x2,calendar_month,4884,65,-0.0007065767095557288,-0.0019968660653372486,0.00044702825763781286,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,ALL,brier_1x2,conservative_envelope,4884,,-0.0007065767095557288,-0.0019968660653372486,0.00044702825763781286,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,tie_or_match,4884,3502,-0.0012717738973188958,-0.0029070872699022044,0.0004020243046065336,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,team_season,4884,1413,-0.0012717738973188958,-0.002486057768079366,-6.523331376277689e-05,True,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,calendar_month,4884,65,-0.0012717738973188958,-0.0033547082172778356,0.0006067984556153351,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,conservative_envelope,4884,,-0.0012717738973188958,-0.0033547082172778356,0.0006067984556153351,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,tie_or_match,1384,1056,-0.002263270055092652,-0.004383284275786971,-4.643991313917985e-05,True,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,team_season,1384,478,-0.002263270055092652,-0.003673740108140689,-0.0008448827715391198,True,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,calendar_month,1384,65,-0.002263270055092652,-0.0049898875839788645,0.00015084205051138044,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,conservative_envelope,1384,,-0.002263270055092652,-0.0049898875839788645,0.00015084205051138044,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,tie_or_match,1384,1056,-0.0035795475095239215,-0.0068874619301593646,-0.00026149355420743343,True,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,team_season,1384,478,-0.0035795475095239215,-0.005726074841003981,-0.0014886581513833823,True,False
