model_arm,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
WALK_FORWARD_FORMAT_DRAW,brier_1x2,tie_or_match,4884,3502,-0.0003063700625366287,-0.0012213039792042294,0.0007109131500591861,False,False
WALK_FORWARD_FORMAT_DRAW,brier_1x2,team_season,4884,1413,-0.0003063700625366287,-0.0009796876921550975,0.0003926596715987715,False,False
WALK_FORWARD_FORMAT_DRAW,brier_1x2,calendar_month,4884,65,-0.0003063700625366287,-0.000983066127174755,0.00022604778766362367,False,False
WALK_FORWARD_FORMAT_DRAW,brier_1x2,conservative_envelope,4884,,-0.0003063700625366287,-0.0012213039792042294,0.0007109131500591861,False,False
WALK_FORWARD_FORMAT_DRAW,log_loss_1x2,tie_or_match,4884,3502,0.0005155119033261632,-0.002828615577225642,0.0041619891251802035,False,False
WALK_FORWARD_FORMAT_DRAW,log_loss_1x2,team_season,4884,1413,0.0005155119033261632,-0.0019421879576466863,0.003132238692644741,False,False
WALK_FORWARD_FORMAT_DRAW,log_loss_1x2,calendar_month,4884,65,0.0005155119033261632,-0.0015024597185928443,0.003050345840540045,False,False
WALK_FORWARD_FORMAT_DRAW,log_loss_1x2,conservative_envelope,4884,,0.0005155119033261632,-0.002828615577225642,0.0041619891251802035,False,False
PRESPECIFIED_SINGLE_DRAW_012,brier_1x2,tie_or_match,4884,3502,-0.0006575389106956512,-0.0012384060028952548,-2.9975614849180416e-05,True,False
PRESPECIFIED_SINGLE_DRAW_012,brier_1x2,team_season,4884,1413,-0.0006575389106956512,-0.0011015554755366812,-0.00022048096575666168,True,False
PRESPECIFIED_SINGLE_DRAW_012,brier_1x2,calendar_month,4884,65,-0.0006575389106956512,-0.0015761383423483694,1.5768498936172958e-05,False,False
PRESPECIFIED_SINGLE_DRAW_012,brier_1x2,conservative_envelope,4884,,-0.0006575389106956512,-0.0015761383423483694,1.5768498936172958e-05,False,False
PRESPECIFIED_SINGLE_DRAW_012,log_loss_1x2,tie_or_match,4884,3502,-0.0016170261735482699,-0.003125542497938804,-2.9515325194529143e-05,True,False
PRESPECIFIED_SINGLE_DRAW_012,log_loss_1x2,team_season,4884,1413,-0.0016170261735482699,-0.002775469543278964,-0.0004515474453434998,True,False
PRESPECIFIED_SINGLE_DRAW_012,log_loss_1x2,calendar_month,4884,65,-0.0016170261735482699,-0.003770903513152083,-3.2036107453155555e-05,True,False
PRESPECIFIED_SINGLE_DRAW_012,log_loss_1x2,conservative_envelope,4884,,-0.0016170261735482699,-0.003770903513152083,-2.9515325194529143e-05,True,False
