segment,competition,model_arm,matches,brier_1x2,log_loss_1x2,accuracy_1x2,predicted_draw_rate,observed_draw_rate,delta_vs_baseline_brier_1x2,delta_vs_baseline_log_loss_1x2,delta_vs_baseline_accuracy_1x2
ALL,ALL,BASELINE,4884,0.572750204366294,0.9659878634150515,0.5501638001638002,0.20497166300205527,0.20475020475020475,0.0,0.0,0.0
ALL,ALL,CANDIDATE,4884,0.5724438343037572,0.9665033753183775,0.5501638001638002,0.1974151104436232,0.20475020475020475,-0.0003063700625367538,0.0005155119033259936,0.0
ALL,ALL,PRESPECIFIED_012,4884,0.5720926654555982,0.9643708372415032,0.5501638001638002,0.20023898731775172,0.20475020475020475,-0.0006575389106957541,-0.0016170261735483082,0.0
ALL,UCL,BASELINE,1384,0.5539591473733748,0.9384372556519356,0.5722543352601156,0.20144147164782286,0.19436416184971098,0.0,0.0,0.0
ALL,UCL,CANDIDATE,1384,0.5532987227333385,0.9369740228545613,0.5722543352601156,0.19494642068851947,0.19436416184971098,-0.00066042464003635,-0.0014632327973742587,0.0
ALL,UCL,PRESPECIFIED_012,1384,0.5530893594826332,0.9359206916639493,0.5722543352601156,0.19713026225135905,0.19436416184971098,-0.0008697878907416579,-0.0025165639879862756,0.0
ALL,UECL,BASELINE,2073,0.5820720765514918,0.9794933209861542,0.5306319343945972,0.20905960259821085,0.21369995176073323,0.0,0.0,0.0
ALL,UECL,CANDIDATE,2073,0.5819211570043479,0.9791885108076605,0.5306319343945972,0.20875964482788206,0.21369995176073323,-0.00015091954714396838,-0.0003048101784937085,0.0
ALL,UECL,PRESPECIFIED_012,2073,0.5819287859045332,0.9792106048352235,0.5306319343945972,0.20878271850252275,0.21369995176073323,-0.00014329064695861593,-0.00028271615093067304,0.0
ALL,UEL,BASELINE,1427,0.5774331629074886,0.9730889339120771,0.5571128241065172,0.2024569370394955,0.2018220042046251,0.0,0.0,0.0
ALL,UEL,CANDIDATE,1427,0.5772443559962138,0.976715244933401,0.5571128241065172,0.1833292287635216,0.2018220042046251,-0.00018880691127476368,0.003626311021323936,0.0
ALL,UEL,PRESPECIFIED_012,1427,0.57623442983958,0.9704059901900327,0.5571128241065172,0.19084257578716815,0.2018220042046251,-0.0011987330679086305,-0.002682943722044362,0.0
SINGLE_MATCH,ALL,BASELINE,224,0.5260255343646122,0.8999318371478034,0.5982142857142857,0.20637846466195062,0.10714285714285714,0.0,0.0,0.0
SINGLE_MATCH,ALL,CANDIDATE,224,0.5193455728225189,0.9111718377542543,0.5982142857142857,0.0416186312004231,0.10714285714285714,-0.006679961542093271,0.011240000606450806,0.0
SINGLE_MATCH,ALL,PRESPECIFIED_012,224,0.5116888377581945,0.8646748914709742,0.5982142857142857,0.10318923233097531,0.10714285714285714,-0.014336696606417676,-0.03525694567682924,0.0
SINGLE_MATCH,UCL,BASELINE,56,0.5775323735849666,0.9668018836947864,0.4642857142857143,0.2130969215966417,0.08928571428571429,0.0,0.0,0.0
SINGLE_MATCH,UCL,CANDIDATE,56,0.5612104503383526,0.9306391302739649,0.4642857142857143,0.052576376459571736,0.08928571428571429,-0.016321923246613967,-0.036162753420821425,0.0
SINGLE_MATCH,UCL,PRESPECIFIED_012,56,0.5560361871423508,0.9046068022774136,0.4642857142857143,0.10654846079832085,0.08928571428571429,-0.02149618644261575,-0.06219508141737273,0.0
SINGLE_MATCH,UECL,BASELINE,5,0.4278979928035394,0.7603780211925063,1.0,0.2295922921445722,0.0,0.0,0.0,0.0
SINGLE_MATCH,UECL,CANDIDATE,5,0.36532674855765324,0.6340037211889182,1.0,0.10522980056626227,0.0,-0.06257124424588617,-0.12637430000358807,0.0
