fold,test_season,inner_validation_season,train_seasons,arm,domestic_candidate_key,selected_l2_strength,l2_surface,form_source,mu,elo_slope,attack_coefficient,defence_coefficient,venue_coefficient,form_attack,form_defence,l2_strength,use_reliability,use_venue,window,shrinkage,form_prior,rho,model_version
1,2022/23,2021/22,2018/19|2019/20|2020/21|2021/22,DOMESTIC_AD,lr0.02_carry0.9_shrink10_venue1,10.0,"[{""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 0.1, ""validation_goal_nll"": 2.9574579544371162}, {""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 1.0, ""validation_goal_nll"": 2.957452027319478}, {""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 2.9574146739578406}]",none,0.28028566677289535,0.655768803238526,0.06197170581040529,0.0527287447123123,0.07427449743908897,0.0,0.0,10.0,True,True,5,3.0,0.0,0.0,ao-domestic-form-goal-expectation-v1-research
1,2022/23,2021/22,2018/19|2019/20|2020/21|2021/22,DOMESTIC_AD_GOALS_FORM,lr0.02_carry0.9_shrink10_venue1,10.0,"[{""form_attack"": 0.0728909911564484, ""form_defence"": 0.0, ""l2_strength"": 0.1, ""validation_goal_nll"": 2.952080448439655}, {""form_attack"": 0.0729789617159121, ""form_defence"": 0.0, ""l2_strength"": 1.0, ""validation_goal_nll"": 2.952067141708155}, {""form_attack"": 0.07380645051461031, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 2.9519585879842225}]",goals,0.27903459025634936,0.6356379816951787,0.05173419330881098,0.05786100112028271,0.07322518023429754,0.1091214909169068,0.0,10.0,True,True,5,3.0,1.4103840682788051,0.0,ao-domestic-form-goal-expectation-v1-research
1,2022/23,2021/22,2018/19|2019/20|2020/21|2021/22,DOMESTIC_AD_XG_FORM,lr0.02_carry0.9_shrink10_venue1,10.0,"[{""form_attack"": 0.014342654185880764, ""form_defence"": 0.0, ""l2_strength"": 0.1, ""validation_goal_nll"": 2.956930088718513}, {""form_attack"": 0.014397226204110807, ""form_defence"": 0.0, ""l2_strength"": 1.0, ""validation_goal_nll"": 2.956921565410249}, {""form_attack"": 0.014808318792770628, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 2.9568627293027525}]",xg,0.2818472091749523,0.6502518594095633,0.05550825490026162,0.05369068944488178,0.07181095764645565,0.13249942119441174,0.0,10.0,True,True,5,3.0,1.406706507304117,0.0,ao-domestic-form-goal-expectation-v1-research
2,2023/24,2022/23,2018/19|2019/20|2020/21|2021/22|2022/23,DOMESTIC_AD,lr0.02_carry0.9_shrink10_venue1,0.1,"[{""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 0.1, ""validation_goal_nll"": 2.9371206993602197}, {""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 1.0, ""validation_goal_nll"": 2.937127871773696}, {""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 2.93721277790899}]",none,0.26240479834302627,0.6650970607206942,0.08365310242833064,0.06522382508379196,0.06882032578829485,0.0,0.0,0.1,True,True,5,3.0,0.0,0.0,ao-domestic-form-goal-expectation-v1-research
2,2023/24,2022/23,2018/19|2019/20|2020/21|2021/22|2022/23,DOMESTIC_AD_GOALS_FORM,lr0.02_carry0.9_shrink10_venue1,0.1,"[{""form_attack"": 0.1092415448457471, ""form_defence"": 0.0, ""l2_strength"": 0.1, ""validation_goal_nll"": 2.935379627385489}, {""form_attack"": 0.10926176938331916, ""form_defence"": 0.0, ""l2_strength"": 1.0, ""validation_goal_nll"": 2.9353848126605997}, {""form_attack"": 0.10944404983114125, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 2.9354490707131533}]",goals,0.26301172049978794,0.6449473542422532,0.07328343122573647,0.07050309359766603,0.06772776901326714,0.10385211837000667,0.0,0.1,True,True,5,3.0,1.3929756637168142,0.0,ao-domestic-form-goal-expectation-v1-research
2,2023/24,2022/23,2018/19|2019/20|2020/21|2021/22|2022/23,DOMESTIC_AD_XG_FORM,lr0.02_carry0.9_shrink10_venue1,0.1,"[{""form_attack"": 0.14013787345515613, ""form_defence"": 0.0014053139477101769, ""l2_strength"": 0.1, ""validation_goal_nll"": 2.933484811834093}, {""form_attack"": 0.1392967534839697, ""form_defence"": 0.0011310296280742252, ""l2_strength"": 1.0, ""validation_goal_nll"": 2.933503125733691}, {""form_attack"": 0.13156063083212302, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 2.933690072085658}]",xg,0.26697523902722275,0.6577783053448771,0.0741836947870435,0.06703214614328722,0.0674408470111292,0.1659056671790633,0.012941138968470564,0.1,True,True,5,3.0,1.3750340425531915,0.0,ao-domestic-form-goal-expectation-v1-research
3,2024/25,2023/24,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,DOMESTIC_AD,lr0.02_carry0.9_shrink10_venue0,10.0,"[{""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 0.1, ""validation_goal_nll"": 3.0047464036457496}, {""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 1.0, ""validation_goal_nll"": 3.004737644329141}, {""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 3.004660277802263}]",none,0.275655728352615,0.6592380029923951,0.10340599431956458,0.08054780618786853,0.0,0.0,0.0,10.0,True,False,5,3.0,0.0,0.0,ao-domestic-form-goal-expectation-v1-research
3,2024/25,2023/24,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,DOMESTIC_AD_GOALS_FORM,lr0.02_carry0.9_shrink10_venue0,10.0,"[{""form_attack"": 0.10424770907009563, ""form_defence"": 0.0, ""l2_strength"": 0.1, ""validation_goal_nll"": 3.0077473403530224}, {""form_attack"": 0.10427922702192108, ""form_defence"": 0.0, ""l2_strength"": 1.0, ""validation_goal_nll"": 3.0077416375907937}, {""form_attack"": 0.10457841832145401, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 3.00769325666932}]",goals,0.2777250163351769,0.6436843107045577,0.09482754676749856,0.08417256722454562,0.0,0.08357434004519092,0.0,10.0,True,False,5,3.0,1.413387607417458,0.0,ao-domestic-form-goal-expectation-v1-research
3,2024/25,2023/24,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,DOMESTIC_AD_XG_FORM,lr0.02_carry0.9_shrink10_venue0,10.0,"[{""form_attack"": 0.16893489034610576, ""form_defence"": 0.007389953573342051, ""l2_strength"": 0.1, ""validation_goal_nll"": 3.007775483131861}, {""form_attack"": 0.16829460707191646, ""form_defence"": 0.007154121896089481, ""l2_strength"": 1.0, ""validation_goal_nll"": 3.007742165282166}, {""form_attack"": 0.16220350167228242, ""form_defence"": 0.0049543441957197, ""l2_strength"": 10.0, ""validation_goal_nll"": 3.007435611281631}]",xg,0.280075312353639,0.6537604354684297,0.09648551142896868,0.0814943742063228,0.0,0.11785491639079472,0.0,10.0,True,False,5,3.0,1.3867551892551893,0.0,ao-domestic-form-goal-expectation-v1-research
4,2025/26,2024/25,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,DOMESTIC_AD,lr0.02_carry0.9_shrink10_venue1,0.1,"[{""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 0.1, ""validation_goal_nll"": 3.0727966648588847}, {""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 1.0, ""validation_goal_nll"": 3.0728046487969993}, {""form_attack"": 0.0, ""form_defence"": 0.0, ""l2_strength"": 10.0, ""validation_goal_nll"": 3.0728890655857777}]",none,0.2733203333369452,0.6697429529230376,0.09376233071660645,0.054067591756283374,0.026436935878392052,0.0,0.0,0.1,True,True,5,3.0,0.0,0.0,ao-domestic-form-goal-expectation-v1-research
