arm,reference,metric,folds,wins,record
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,exact_score_nll,4,3,3/4
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,total_goals_error,4,2,2/4
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,over_2_5_brier,4,1,1/4
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,btts_brier,4,3,3/4
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,exact_score_nll,4,3,3/4
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,total_goals_error,4,3,3/4
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,over_2_5_brier,4,3,3/4
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,btts_brier,4,3,3/4
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,exact_score_nll,4,3,3/4
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,total_goals_error,4,3,3/4
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,over_2_5_brier,4,2,2/4
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,btts_brier,4,2,2/4
