arm,segment,matches,exact_score_nll_vs_baseline,total_goals_error_vs_baseline,over_2_5_brier_vs_baseline,btts_brier_vs_baseline
DOMESTIC_AD_GOALS_FORM,ALL,3528,-0.00042980588846261306,-0.00022511374601072966,0.00022295909368546298,-0.00028947198008686775
DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,1876,-0.0017205801842916954,-0.0015900553142800507,7.05949176599235e-05,-0.00021904414837906912
DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,1652,0.0010359886508687177,0.0013249046450747705,0.000395982819002601,-0.0003694493482974185
DOMESTIC_AD_GOALS_FORM,XG_PRESENT,2074,-0.001307570575970381,-0.0013158140838897827,5.760209301175222e-05,-0.0002194187594109792
DOMESTIC_AD_GOALS_FORM,XG_ABSENT,1454,0.0008222463549287975,0.0013306720179240405,0.00045882595709486885,-0.00038939658784600974
DOMESTIC_AD_XG_FORM,ALL,3528,-0.0021488459057865785,-0.002405101626808199,-0.0002132025964918787,-0.00038592862279183466
DOMESTIC_AD_XG_FORM,PHASE:MAIN,1876,-0.006105854010217962,-0.005031803134654887,-0.0007056049968813521,-0.0004874198823881965
DOMESTIC_AD_XG_FORM,PHASE:QUALIFYING,1652,0.002344705670432112,0.0005777627973566849,0.00034596623106904884,-0.0002706758364705426
DOMESTIC_AD_XG_FORM,XG_PRESENT,2074,-0.005103561320583936,-0.004286782528595034,-0.0005872146586018457,-0.0004922159661143391
DOMESTIC_AD_XG_FORM,XG_ABSENT,1454,0.0020657894245364747,0.0002789466471298333,0.0003202919130102338,-0.00023431930363717568
