arm,test_season,matches,exact_score_nll,total_goals_error,over_2_5_brier,btts_brier,exact_score_nll_vs_baseline,total_goals_error_vs_baseline,over_2_5_brier_vs_baseline,btts_brier_vs_baseline
DOMESTIC_AD,2022/23,804,2.943970708687405,1.3451198297580167,0.24853554423732285,0.25358383527112927,0.0,0.0,0.0,0.0
DOMESTIC_AD_GOALS_FORM,2022/23,804,2.9425901298092056,1.345670780144141,0.24861151048253421,0.251763640899994,-0.0013805788781993122,0.0005509503861242937,7.596624521136186e-05,-0.0018201943711352864
DOMESTIC_AD_XG_FORM,2022/23,804,2.940361253470709,1.342425726426487,0.24812954762977213,0.25313857199934464,-0.003609455216695867,-0.0026941033315297513,-0.00040599660755072375,-0.0004452632717846239
DOMESTIC_AD,2023/24,806,3.005577968337429,1.374417988060955,0.24375192450886196,0.24666393948048637,0.0,0.0,0.0,0.0
DOMESTIC_AD_GOALS_FORM,2023/24,806,3.0118472537411294,1.3763661829705303,0.2450744858341847,0.24789229328421555,0.006269285403700309,0.0019481949095752071,0.0013225613253227408,0.001228353803729182
DOMESTIC_AD_XG_FORM,2023/24,806,3.0082623034965317,1.3751618790499183,0.24465623854401217,0.24678253782780274,0.002684335159102602,0.0007438909889632139,0.0009043140351502055,0.00011859834731636765
DOMESTIC_AD,2024/25,957,3.072514818575799,1.4127805260139696,0.2460575688429415,0.24816755528115722,0.0,0.0,0.0,0.0
DOMESTIC_AD_GOALS_FORM,2024/25,957,3.0715703127219696,1.4123515318551116,0.24656745360072305,0.24795812904004044,-0.000944505853829547,-0.0004289941588579982,0.000509884757781548,-0.000209426241116778
DOMESTIC_AD_XG_FORM,2024/25,957,3.0689034728203537,1.4070621277756048,0.24500174986622897,0.24744760268005092,-0.0036113457554454165,-0.005718398238364841,-0.0010558189767125303,-0.0007199526011062996
DOMESTIC_AD,2025/26,961,3.0549298072266113,1.398333969499769,0.24662275910130652,0.2506422493122748,0.0,0.0,0.0,0.0
DOMESTIC_AD_GOALS_FORM,2025/26,961,3.05306760228945,1.398714961558234,0.24670058245473342,0.24992824259372984,-0.0018622049371614935,0.0003809920584649795,7.78233534269035e-05,-0.0007140067185449628
DOMESTIC_AD_XG_FORM,2025/26,961,3.0507746483696585,1.3954861634574447,0.2461601260547828,0.2501547373913162,-0.004155158856952834,-0.0028478060423242635,-0.0004626330465237194,-0.0004875119209585832
